"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"149","3055","蔚華科","120.5","-7","-5.49","08/31","+35","+104","+310","+415","+991","+1,304","+389","+85","-1,075","+52"
"150","6449","鈺邦","232","-5","-2.11","08/31","-12","+276","+320","+412","+354","+453","+391","-502","-410","-546"
"151","6285","啟碁","244","-3","-1.21","08/31","+77","+97","+362","+409","-2","+506","+864","-8,583","+3,107","-7,206"
"152","3037","欣興","999","-111","-10","08/31","+1,052","+1,154","+444","+403","-939","-3,883","-5,059","-1,357","-85,566","-1,652"
"153","5309","系統電","53.9","-0.3","-0.55","08/31","+52","+138","+461","+400","+300","+415","+5,242","+6,816","+7,841","+6,863"
"154","6505","台塑化","73.5","+2.1","+2.94","08/31","+373","+440","-130","+386","-1,925","-5,849","-8,890","-3,307","-16,498","-6,114"
"155","00664R","國泰臺灣加權反1","1.61","+0.01","+0.62","08/31","+497","+647","+647","+382","+351","+401","-14,601","-16,872","-8,631","-12,280"
"156","8021","尖點","435","-19","-4.19","08/31","+245","+475","+376","+380","+781","+2,774","+3,386","+1,457","-915","-1,389"
"157","2611","志信","14.85","-0.05","-0.34","08/31","+9","+24","+44","+375","+430","+201","-275","-230","-308","-327"
"158","3016","嘉晶","103","+3.4","+3.41","08/31","+13","+219","+424","+375","+258","-285","+409","-1,857","-2,709","-3,719"
"159","1201","味全","12.25","0","0","08/31","+89","+124","+221","+374","+153","-239","+723","+2,611","+2,093","+2,309"
"160","2313","華通","248.5","+7.5","+3.11","08/31","-50","+940","+968","+372","-1,875","+3,968","+31,533","+38,821","+40,681","+31,938"
"161","3357","臺慶科","215.5","-7.5","-3.36","08/31","+103","+274","+350","+369","+412","+704","-50","+1,481","+2,890","+94"
"162","00959B","大華投等美債15Y+","9.13","0","0","08/31","0","+114","+361","+361","+461","+461","+461","-1,716","-1,883","-1,376"
"163","4956","光鋐","36.3","-0.65","-1.76","08/31","+38","+78","+194","+358","+356","+367","+134","-743","-457","-991"
"164","00410A","主動永豐科技趨勢","12.22","+0.05","+0.41","08/31","0","0","0","+346","+346","+446","","","",""
"165","3167","大量","794","+11","+1.4","08/31","+133","+204","+257","+344","+1,296","+1,179","+2,450","+1,062","+1,622","+414"
"166","9925","新保","39.3","-0.55","-1.38","08/31","+3","+197","+326","+340","+823","+2,016","+1,603","+2,953","+4,159","+3,969"
"167","4566","時碩工業","64.9","-0.8","-1.22","08/31","+5","+99","+189","+327","+339","-78","+365","+574","+599","+11"
"168","2017","官田鋼","9.13","-0.19","-2.04","08/31","+46","+125","+254","+317","+335","-47","-1,170","+427","+975","+1,016"
"169","2454","聯發科","3925","-60","-1.51","08/31","+133","+171","+356","+302","+1,907","+2,554","+2,320","+3,736","+1,791","-350"
"170","3149","正達","64.1","-2.3","-3.46","08/31","+356","+260","+185","+301","+818","-38","+58","+3,445","+3,815","-321"
"171","3529","力旺","2400","-140","-5.51","08/31","+138","+190","+176","+300","+639","+2,041","+1,131","-520","+3,039","+500"
"172","2890","永豐金","41.1","+1.3","+3.27","08/31","+2,404","+2,069","+2,073","+300","+2,369","+7,508","+43,342","+45,286","-106,297","+37,651"
"173","3533","嘉澤","1690","-45","-2.59","08/31","+214","+219","+238","+292","+491","+1,215","+317","-1,430","-1,599","-683"
"174","4739","康普","87.4","-1.2","-1.35","08/31","+80","+74","+281","+292","+308","+144","+2,282","+2,515","+1,214","+2,044"
"175","3540","曜越","25.5","+2.3","+9.91","08/31","+39","+65","+135","+284","+464","+537","+28","+905","+924","+1,311"
"176","2634","漢翔","66.9","-0.9","-1.33","08/31","+762","+1,372","+1,239","+282","-8,044","-7,279","-15,143","-5,269","-14,660","-15,815"
"177","2887I","台新新光辛特","9.51","0","0","08/31","+60","+77","+251","+279","+307","+307","-2,002","+346","+1,501","-52"
"178","2401","凌陽","25.25","-0.65","-2.51","08/31","+155","+185","+231","+273","+648","+191","-3,147","-9,620","-17,696","-11,590"
