項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),281110,266401,3808,8845947,8856848
融券(交易單位),16009,18286,762,199998,201513
融資金額(仟元),21480689,22688300,472283,546939324,545259430
