排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
132,1227,佳格,29.25,0.15,0.52,07/02,0.09,-1.34,-14.9,-16.7,-32.4,-57.7,-38.5,-23.7,52.9,-23.7
133,00642U,期元大S&P石油,22.19,-0.64,-2.8,07/02,0.0,0.0,-25.6,-16.6,-4.59,-8.77,-6.63,97.7,-65.5,97.7
134,00887,永豐中國科技50大,19.8,-1.15,-5.49,07/02,-14.4,-14.4,-15.7,-16.4,-32.5,0.53,-44.7,-63.4,-79.9,-63.4
135,4999,鑫禾,20.15,0.15,0.75,07/02,0.27,0.27,-12.0,-16.2,-16.2,-7.58,88.7,142.0,81.2,142.0
136,3227,原相,235.0,4.5,1.95,07/02,-13.0,-16.3,-19.3,-16.0,-26.0,-12.6,-35.9,-4.62,107.0,-4.62
137,2851,中再保,37.4,1.4,3.89,07/02,-6.73,-12.0,-16.3,-16.0,-13.6,-18.4,-10.9,-61.9,-73.2,-61.9
138,3533,嘉澤,2175.0,15.0,0.69,07/02,-2.25,-3.41,-18.5,-16.0,-32.2,-69.4,-81.7,-79.1,-52.6,-79.1
139,6523,達爾膚,94.6,-1.9,-1.97,07/02,-2.4,-2.4,-2.98,-16.0,-23.5,-26.9,7.95,-34.8,22.6,-34.8
140,3607,谷崧,15.35,0.1,0.66,07/02,-18.9,-18.9,-18.9,-15.8,-49.7,-55.7,-55.6,-55.8,-69.7,-55.8
141,6176,瑞儀,87.5,0.6,0.69,07/02,-1.86,-2.96,-4.73,-15.7,-43.4,-69.0,-24.3,8.05,64.5,8.05
142,1305,華夏,13.7,0.7,5.38,07/02,-4.69,-5.01,-11.1,-15.6,-21.0,-20.6,-31.5,43.9,31.8,43.9
143,4755,三福化,131.5,3.0,2.33,07/02,-2.64,-17.0,-17.0,-15.6,-25.2,-18.3,14.2,45.2,-8.21,45.2
144,2347,聯強,93.0,-0.6,-0.64,07/02,2.22,3.24,-8.58,-15.5,-19.2,33.3,96.6,53.9,-29.3,53.9
145,1336,台翰,14.7,0.3,2.08,07/02,0.0,0.0,-15.4,-15.4,-15.0,-14.6,-19.7,-26.6,-37.6,-26.6
146,8155,博智,384.0,8.0,2.13,07/02,-7.9,-9.59,-12.9,-15.3,-18.8,-40.4,34.4,-9.59,-58.5,-9.59
147,2739,寒舍,37.75,0.0,0.0,07/02,0.68,-12.5,-12.5,-15.0,-17.9,-41.7,-40.0,-45.6,-61.1,-45.6
148,2527,宏璟,41.0,0.3,0.74,07/02,-8.79,-13.0,-17.7,-14.8,-4.59,36.3,-4.91,21.0,-23.1,21.0
149,6770,力積電,74.7,0.4,0.54,07/02,3.81,0.13,-2.47,-14.7,-49.9,-41.9,10.0,62.3,5.27,62.3
150,6692,進能服,25.7,0.15,0.59,07/02,0.0,0.0,0.0,-14.7,-14.7,-27.0,-25.7,-54.7,-70.2,-54.7
151,2436,偉詮電,76.2,5.3,7.48,07/02,0.73,-4.4,-6.37,-14.7,-33.7,-33.5,17.1,-6.26,87.0,-6.26
152,3147,大綜,239.0,-4.5,-1.85,07/02,13.3,13.3,13.3,-14.5,-24.5,-48.0,-51.5,-50.0,-34.4,-50.0
