"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"601","1201","味全","12.2","0","0","26M03","7.36","0","14.6","0","0","0","0","0","0","0","7.36","0","14.6","0","0"
"602","1213","大飲","7.33","-0.27","-3.55","26M03","1.59","0","28.1","0","0","0","0","0","0","0","1.59","0","28.1","0","0"
"603","1215","卜蜂","107","-0.5","-0.47","26M03","8.37","0","28.4","0","0","0","0","0","0","0","8.37","0","28.4","0","0"
"604","1219","福壽","11.05","0","0","26M03","3.38","0","9.92","0","0","0","0","0","0","0","3.38","0","9.92","0","0"
"605","1220","台榮","11","-0.05","-0.45","26M03","4.12","0","23.3","0","0","0.01","0","0.07","0","0","4.13","0","23.3","0","0"
"606","1225","福懋油","24.75","-0.05","-0.2","26M03","3.63","0","15","0.32","8.82","0","0","0","0","0","3.63","0","15","0.32","8.82"
"607","1227","佳格","28.6","-0.3","-1.04","26M03","2.93","0","3.2","0","0","0","0","0","0","0","2.93","0","3.2","0","0"
"608","1232","大統益","152.5","-2","-1.29","26M03","9.76","-170","61","0","0","0","0","0","0","0","9.76","-170","61","0","0"
"609","1236","宏亞","25.4","+0.3","+1.2","26M03","1.45","0","16.7","0","0","0","0","0","0","0","1.45","0","16.7","0","0"
"610","1264","德麥","259.5","+0.5","+0.19","26M03","0.59","0","15.9","0","0","0","0","0","0","0","0.59","0","15.9","0","0"
"611","1268","漢來美食","181.5","+1.5","+0.83","26M03","0.68","0","16","0","0","0","0","0","0","0","0.68","0","16","0","0"
"612","1294","漢田生技","57.3","-0.9","-1.55","26M03","0.65","-45","21.1","0","0","0","0","0","0","0","0.65","-45","21.1","0","0"
"613","1295","生合","46.7","+0.3","+0.65","26M03","0.93","0","26.9","0","0","0","0","0","0","0","0.93","0","26.9","0","0"
"614","1301","台塑","60","+2.5","+4.35","26M03","92.1","0","14.5","0","0","0","0","0","0","0","92.1","0","14.5","0","0"
"615","1304","台聚","12","-0.2","-1.64","26M03","29","0","24.4","0","0","0","0","0","0","0","29","0","24.4","0","0"
"616","1305","華夏","11.8","-0.15","-1.26","26M03","19.3","0","33.1","0","0","0","0","0","0","0","19.3","0","33.1","0","0"
"617","1307","三芳","30.4","-0.15","-0.49","26M03","3.77","0","9.47","0","0","0","0","0","0","0","3.77","0","9.47","0","0"
"618","1308","亞聚","13.35","-0.25","-1.84","26M03","23","0","38.8","0","0","0","0","0","0","0","23","0","38.8","0","0"
"619","1309","台達化","12.95","-0.05","-0.38","26M03","15.7","0","39.4","0","0","0","0","0","0","0","15.7","0","39.4","0","0"
"620","1310","台苯","8.3","+0.16","+1.97","26M03","2.58","0","4.9","0.8","31","0","0","0","0","0","2.58","0","4.9","0.8","31"
"621","1316","上曜","10","0","0","26M03","2.01","0","5.47","0","0","0","0","0","0","0","2.01","0","5.47","0","0"
"622","1319","東陽","83.9","+4.7","+5.93","26M03","10.9","0","18.4","0","0","0","0","0","0","0","10.9","0","18.4","0","0"
