排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1,5274,信驊,櫃,08/03,,15975.0,1450.0,9.98,303,4797.0,14525.0,15640.0,15975.0,15265.0,4.89,136.0,101.31,,,,,
2,2059,川湖,市,08/03,,8635.0,785.0,10.0,614,5254.0,7850.0,8380.0,8635.0,8165.0,5.99,76.1,26.1,,,,,
3,7769,鴻勁,市,08/03,,6425.0,245.0,3.96,1998,13065.0,6180.0,6555.0,6680.0,6325.0,5.74,80.2,18.43,,,,,
4,6515,穎崴,市,08/03,,6250.0,435.0,7.48,440,2730.0,5815.0,5900.0,6375.0,5760.0,10.6,127.0,34.67,,,,,
5,6669,緯穎,市,08/03,,5925.0,535.0,9.93,3349,19512.0,5390.0,5530.0,5925.0,5475.0,8.35,19.9,7.86,,,,,
6,6223,旺矽,櫃,08/03,,5805.0,525.0,9.94,538,3054.0,5280.0,5475.0,5805.0,5450.0,6.72,155.0,36.1,,,,,
7,2383,台光電,市,08/03,,4980.0,235.0,4.95,4184,21242.0,4745.0,5135.0,5195.0,4930.0,5.58,77.9,30.59,,,,,
8,3443,創意,市,08/03,,4185.0,380.0,9.99,1306,5438.0,3805.0,4150.0,4185.0,4030.0,4.07,107.0,41.65,,,,,
9,3008,大立光,市,08/03,,3960.0,-75.0,-1.86,1847,7344.0,4035.0,3970.0,4030.0,3910.0,2.97,24.8,2.81,,,,,
10,2454,聯發科,市,08/03,,3910.0,355.0,9.99,7505,29245.0,3555.0,3910.0,3910.0,3780.0,3.66,64.5,14.71,,,,,
11,3653,健策,市,08/03,,3770.0,325.0,9.43,1822,6858.0,3445.0,3695.0,3785.0,3655.0,3.77,104.0,26.12,,,,,
12,7734,印能科技,櫃,08/03,,3690.0,320.0,9.5,294,1062.0,3370.0,3380.0,3695.0,3380.0,9.35,93.2,14.95,,,,,
13,3661,世芯-KY,市,08/03,,3250.0,190.0,6.21,1970,6327.0,3060.0,3070.0,3275.0,3050.0,7.35,47.5,6.14,,,,,
14,6510,精測,櫃,08/03,,2655.0,160.0,6.41,511,1349.0,2495.0,2595.0,2690.0,2470.0,8.82,62.5,8.63,,,,,
15,3017,奇鋐,市,08/03,,2550.0,230.0,9.91,4534,11389.0,2320.0,2400.0,2550.0,2400.0,6.47,41.9,22.16,,,,,
16,3131,弘塑,櫃,08/03,,2420.0,50.0,2.11,401,987.0,2370.0,2370.0,2550.0,2360.0,8.02,45.3,17.64,,,,,
17,3529,力旺,櫃,08/03,,2390.0,-85.0,-3.43,827,1983.0,2475.0,2410.0,2435.0,2330.0,4.24,80.2,51.18,,,,,
18,2330,台積電,市,08/03,,2370.0,-55.0,-2.27,33111,78696.0,2425.0,2390.0,2395.0,2365.0,1.24,31.9,10.43,,,,,
19,2345,智邦,市,08/03,,2335.0,210.0,9.88,3728,8570.0,2125.0,2335.0,2335.0,2215.0,5.65,44.2,19.98,,,,,
20,7750,新代,市,08/03,,2235.0,200.0,9.83,426,945.0,2035.0,2095.0,2235.0,2095.0,6.88,54.3,14.04,,,,,
21,3665,貿聯-KY,市,08/03,,2095.0,-5.0,-0.24,4818,10462.0,2100.0,2100.0,2300.0,2060.0,11.4,42.3,8.76,,,,,
22,3533,嘉澤,市,08/03,,2005.0,150.0,8.09,1220,2465.0,1855.0,2000.0,2040.0,1955.0,4.58,28.2,5.37,,,,,
23,2360,致茂,市,08/03,,1960.0,-140.0,-6.67,4883,9747.0,2100.0,2170.0,2170.0,1890.0,13.3,61.8,29.94,,,,,
24,3081,聯亞,櫃,08/03,,1790.0,160.0,9.82,669,1192.0,1630.0,1760.0,1790.0,1750.0,2.45,235.0,39.07,,,,,
