證券代號,證券名稱,交易別,成交價,成交股數,成交金額
2301,光寶科,配對交易,289.62,"134,685","39,007,470"
2301,光寶科,配對交易,289.60,"84,315","24,417,624"
2308,台達電,配對交易,"1,696.41","23,000","39,017,430"
2330,台積電,配對交易,"2,375.00","11,000","26,125,000"
2345,智邦,配對交易,"2,080.00","14,000","29,120,000"
2382,廣達,配對交易,323.50,"9,770,000","3,160,595,000"
2382,廣達,配對交易,293.00,"1,686,000","493,998,000"
2454,聯發科,配對交易,"3,691.46","118,360","436,921,206"
2454,聯發科,配對交易,"3,691.44","150,640","556,078,522"
2454,聯發科,配對交易,"3,682.50","5,000","18,412,500"
2881,富邦金,配對交易,119.00,"800,000","95,200,000"
2882,國泰金,配對交易,102.87,"424,000","43,616,880"
2885,元大金,配對交易,68.60,"1,400,000","96,040,000"
2891,中信金,配對交易,64.65,"289,000","18,683,850"
2891,中信金,配對交易,64.50,"1,260,000","81,270,000"
3006,晶豪科,配對交易,260.00,"542,985","141,176,100"
3036,文曄,配對交易,200.50,"1,500,000","300,750,000"
3665,貿聯-KY,配對交易,"2,020.00","32,000","64,640,000"
總計,,,,"18,244,985","5,665,069,581"
