排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
153,6285,啟碁,258.0,0.0,0.0,07/03,38.1,37.4,43.0,39.9,38.4,36.3,31.0,30.2,31.7,30.3,27.2,30.2
154,4755,三福化,133.0,1.5,1.14,07/03,35.5,34.3,42.8,41.6,43.6,41.2,32.6,29.1,28.6,25.1,16.4,29.1
155,6134,萬旭,33.75,-0.7,-2.03,07/03,43.8,37.7,42.7,34.6,33.6,32.9,26.4,23.6,21.4,20.6,13.9,23.6
156,6589,台康生技,49.7,2.8,5.97,07/03,22.5,40.7,42.7,37.9,37.9,37.5,43.5,41.5,37.0,28.8,,41.5
157,8155,博智,384.5,0.5,0.13,07/03,43.8,42.4,42.7,27.9,30.7,34.1,30.2,21.8,9.97,5.84,1.42,21.9
158,2450,神腦,29.15,0.35,1.22,07/03,29.0,34.6,42.6,46.6,44.8,35.2,28.3,26.3,33.5,25.5,22.7,26.3
159,2337,旺宏,142.5,-3.0,-2.06,07/03,49.3,47.3,42.4,47.5,36.8,33.7,29.8,26.2,26.5,28.1,23.7,26.0
160,8046,南電,1185.0,40.0,3.49,07/03,41.6,46.5,42.4,37.2,28.6,31.4,32.8,24.6,11.8,6.86,1.95,24.6
161,6890,來億-KY,212.0,19.0,9.84,07/03,24.5,46.3,42.4,36.6,35.9,28.6,35.3,25.8,12.0,,,25.8
162,1597,直得,156.0,-1.0,-0.64,07/03,47.8,42.8,42.4,39.8,38.1,34.7,26.1,26.0,26.8,22.8,12.6,26.0
163,4126,太醫,80.6,0.5,0.62,07/03,51.3,43.4,42.4,46.0,45.4,31.4,25.7,33.9,34.9,28.1,21.7,33.8
164,3062,建漢,24.9,0.25,1.01,07/03,38.7,36.2,42.3,37.3,41.2,44.5,30.3,26.9,25.8,23.6,19.3,26.8
165,2640,大車隊,162.0,5.5,3.51,07/03,30.0,29.8,42.3,28.6,32.9,40.1,40.4,38.2,31.8,24.2,13.8,38.2
166,8415,大國鋼,34.6,0.15,0.44,07/03,51.6,48.1,42.2,49.0,40.3,39.8,30.3,22.7,13.4,4.31,,22.7
167,3716,中化控股,35.0,0.35,1.01,07/03,30.7,37.2,42.1,36.0,31.3,25.6,24.4,22.4,23.4,,,22.5
168,2905,三商,15.05,0.35,2.38,07/03,32.9,36.5,42.1,43.8,34.7,31.3,34.0,37.1,38.9,34.2,27.2,37.1
169,6415,矽力*-KY,605.0,-19.0,-3.04,07/03,55.6,45.2,42.0,44.6,40.4,47.3,43.3,43.7,50.8,52.1,54.3,43.7
170,3376,新日興,204.5,10.5,5.41,07/03,34.9,36.7,41.8,42.1,42.6,36.9,33.5,33.8,32.3,29.2,26.6,33.9
171,2355,敬鵬,53.1,0.2,0.38,07/03,36.7,41.1,41.8,39.7,34.5,31.7,30.7,28.9,29.0,29.2,27.8,28.9
172,8932,智通*,105.5,-2.0,-1.86,07/03,52.4,39.7,41.7,40.7,29.8,30.3,33.3,25.8,13.7,6.47,4.59,25.9
173,1612,宏泰,35.1,0.2,0.57,07/03,40.8,29.0,41.7,46.3,43.8,39.9,33.5,31.6,30.5,27.1,22.0,31.6
174,6592,和潤企業,61.3,2.3,3.9,07/03,31.0,40.2,41.6,39.7,48.4,43.6,42.2,40.2,40.3,36.2,,40.2
175,3086,華義*,33.4,0.7,2.14,07/03,32.3,41.8,41.5,36.5,27.9,28.5,27.4,27.6,27.4,21.8,14.5,27.6
176,3008,大立光,4230.0,-65.0,-1.51,07/03,44.3,44.0,41.5,43.1,43.6,38.5,33.1,35.6,39.7,43.5,44.5,35.6
177,7749,意騰-KY,432.5,-6.5,-1.48,07/03,49.3,43.0,41.4,36.6,36.3,26.7,26.1,22.6,12.0,,,22.6
178,2013,中鋼構,41.65,0.05,0.12,07/03,44.2,43.0,41.4,42.7,36.5,33.2,35.4,33.5,29.9,23.6,13.1,33.4
179,3030,德律,321.5,2.5,0.78,07/03,41.4,50.1,41.3,39.8,37.5,37.8,33.2,32.7,31.3,30.4,26.1,32.7
180,5351,鈺創,81.8,-1.9,-2.27,07/03,52.1,41.6,41.3,43.0,35.9,32.1,30.3,27.5,26.0,23.9,16.4,27.4
181,3032,偉訓,79.0,0.3,0.38,07/03,42.6,43.2,41.2,40.8,30.8,28.3,29.5,32.6,28.1,23.6,21.3,32.6
182,9926,新海,49.8,0.15,0.3,07/03,34.5,53.9,41.2,26.7,27.9,34.4,21.8,4.82,3.04,1.7,1.09,4.82
183,8070,長華*,56.0,-0.5,-0.88,07/03,53.4,38.4,41.2,43.1,37.7,29.7,30.2,25.9,14.4,4.87,2.7,25.9
184,2024,志聯,13.95,0.15,1.09,07/03,39.7,52.3,41.2,23.6,19.3,16.6,9.25,10.9,1.12,4.1,5.53,10.9
185,6278,台表科,212.0,-5.0,-2.3,07/03,44.9,38.6,41.1,36.0,33.6,33.6,28.4,29.1,31.2,33.6,20.6,29.1
186,5515,建國,40.25,-0.15,-0.37,07/03,25.1,34.4,41.1,35.1,43.1,35.9,32.3,31.1,29.2,26.4,20.2,31.2
187,4961,天鈺,173.0,7.0,4.22,07/03,24.6,40.6,41.0,46.8,41.0,37.3,31.3,34.7,35.5,29.9,,34.7
188,1476,儒鴻,323.5,8.5,2.7,07/03,23.8,37.0,41.0,52.7,49.2,55.8,59.3,64.6,63.4,62.4,48.3,64.4
189,4971,IET-KY,498.0,18.0,3.75,07/03,46.6,43.7,41.0,42.5,39.6,32.2,27.9,25.4,22.4,22.0,18.0,25.3
190,6446,藥華藥,1395.0,0.0,0.0,07/03,40.3,41.6,40.9,33.4,32.9,31.4,31.1,29.7,33.3,31.9,,29.6
191,1560,中砂,756.0,-13.0,-1.69,07/03,58.6,51.0,40.8,41.2,37.8,40.8,35.1,35.4,32.0,28.7,22.2,35.5
192,2889,國票金,15.0,0.2,1.35,07/03,13.5,28.9,40.7,47.0,34.5,32.5,37.9,40.4,34.8,34.4,28.8,40.8
193,3211,順達,401.0,-5.5,-1.35,07/03,28.4,26.7,40.7,37.6,34.7,30.8,28.6,28.9,29.7,25.0,22.0,28.9
194,4960,誠美材,25.75,-1.3,-4.81,07/03,55.8,46.4,40.7,39.3,35.2,33.6,26.0,23.3,23.3,26.2,18.6,23.3
195,2834,臺企銀,17.95,0.2,1.13,07/03,19.7,32.4,40.7,44.6,38.4,34.6,41.1,47.6,41.5,38.0,33.8,47.6
196,6743,安普新,31.3,-0.2,-0.63,07/03,29.9,55.1,40.7,43.2,34.6,33.8,27.3,27.6,27.2,28.1,,27.6
197,7827,漢康-KY創,161.5,-0.5,-0.31,07/03,42.3,41.4,40.6,35.9,31.4,27.9,,,,,,
198,2241,艾姆勒,47.6,1.15,2.48,07/03,40.4,36.9,40.6,43.0,39.5,28.3,26.9,28.0,27.3,22.7,,28.0
199,8044,網家,28.15,0.05,0.18,07/03,34.2,37.2,40.5,44.4,39.8,32.5,26.8,23.2,12.8,3.45,0.85,23.3
200,3305,昇貿,136.0,1.5,1.12,07/03,40.1,41.4,40.4,37.1,31.1,30.5,26.4,24.0,21.2,21.9,20.0,24.0
201,8085,福華,12.25,0.2,1.66,07/03,50.2,40.7,40.4,36.5,34.8,37.6,25.7,18.6,8.37,1.18,0.28,18.6
202,6768,志強-KY,73.5,1.0,1.38,07/03,34.1,39.9,40.4,37.3,32.6,30.1,33.4,35.7,34.3,32.9,,35.6
203,3501,維熹,41.05,0.45,1.11,07/03,47.2,42.9,40.3,21.1,19.1,24.7,23.6,22.2,25.9,27.8,18.8,22.2
204,2912,統一超,231.0,2.5,1.09,07/03,34.4,31.9,40.2,49.1,53.7,58.1,65.5,60.7,61.6,63.6,67.4,60.5
205,8390,金益鼎,109.0,2.0,1.87,07/03,30.3,26.3,40.2,42.2,33.6,30.3,27.4,19.8,6.28,2.58,0.7,19.8
206,6015,宏遠證,17.85,0.6,3.48,07/03,24.4,34.8,40.2,41.1,38.4,34.1,26.8,23.8,22.4,22.0,16.5,23.8
207,8210,勤誠,1305.0,-5.0,-0.38,07/03,30.8,33.6,40.0,41.0,36.8,39.5,35.2,23.4,11.1,3.79,1.43,23.6
208,9938,百和,45.9,1.0,2.23,07/03,22.1,43.8,40.0,39.7,38.9,36.0,48.1,36.7,21.6,5.02,1.47,37.0
209,9911,櫻花,85.2,1.1,1.31,07/03,29.4,37.3,40.0,48.5,45.3,47.5,43.3,25.9,17.7,4.07,1.63,25.9
210,3714,富采,62.3,0.2,0.32,07/03,36.4,37.0,39.9,32.3,30.2,27.7,27.5,27.6,28.9,30.5,,27.6
211,6569,醫揚,105.5,1.0,0.96,07/03,29.2,33.2,39.9,35.8,21.0,20.1,16.4,16.2,18.5,18.2,,16.2
212,2477,美隆電,22.3,-0.05,-0.22,07/03,22.0,45.1,39.8,34.2,28.4,30.0,28.7,26.4,23.5,21.8,15.2,26.4
213,6214,精誠,133.5,1.5,1.14,07/03,35.4,34.8,39.8,38.6,39.7,38.8,31.4,32.3,33.2,30.4,26.4,32.4
