排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
151,8016,矽創,市,08/28,,296.0,-4.0,-1.33,514,153.0,300.0,303.0,304.5,296.0,2.83,14.8,2.63,,,,,
152,2451,創見,市,08/28,,294.0,-4.0,-1.34,4263,1260.0,298.0,299.0,300.5,292.5,2.68,5.09,3.3,,,,,
153,3030,德律,市,08/28,,293.5,-3.0,-1.01,694,205.0,296.5,298.5,299.5,292.5,2.36,22.2,7.12,,,,,
154,6937,天虹,市,08/28,,292.5,11.5,4.09,661,193.0,281.0,282.5,297.0,282.5,5.16,64.4,5.57,,,,,
155,7768,頌勝科技,市,08/28,,290.5,0.5,0.17,57,16.8,290.0,290.0,293.5,290.0,1.21,57.3,4.54,,,,,
156,7722,LINEPAY,市,08/28,,290.0,2.0,0.69,27,7.67,288.0,289.5,290.0,287.0,1.04,34.5,1.79,,,,,
157,6672,騰輝電子-KY,市,08/28,,289.5,8.0,2.84,4031,1167.0,281.5,283.5,294.5,282.0,4.44,40.3,4.92,,,,,
158,3413,京鼎,市,08/28,,287.5,0.0,0.0,685,197.0,287.5,289.0,289.5,286.0,1.22,14.3,1.93,,,,,
159,6239,力成,市,08/28,,287.0,10.0,3.61,25799,7441.0,277.0,278.5,294.5,278.0,5.96,28.4,3.71,,,,,
160,3526,凡甲,櫃,08/28,,286.0,4.5,1.6,239,68.3,281.5,282.0,287.5,281.5,2.13,16.1,4.62,,,,,
161,4542,科嶠,櫃,08/28,,286.0,17.0,6.32,744,208.0,269.0,271.0,288.5,269.0,7.25,127.0,10.5,,,,,
162,3675,德微,櫃,08/28,,277.5,-1.0,-0.36,1803,517.0,278.5,280.0,297.5,277.5,7.18,48.5,5.01,,,,,
163,6613,朋億*,櫃,08/28,,275.5,9.5,3.57,837,229.0,266.0,274.0,279.5,265.5,5.26,16.3,3.34,,,,,
