排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
301,3406,玉晶光,546.0,-1.0,-0.18,26M06,0.86,-2.0,7.65,0.17,19.7,0.0,0.0,0.0,0.0,0.0,0.86,-2.0,7.66,0.17,19.7
302,2231,為升,98.8,-3.7,-3.61,26M06,3.76,0.0,27.6,0.74,19.7,0.0,0.0,0.01,0.0,0.0,3.76,0.0,27.6,0.74,19.7
303,2613,中櫃,20.4,0.1,0.49,26M06,5.1,0.0,34.3,1.0,19.6,0.0,0.0,0.0,0.0,0.0,5.1,0.0,34.3,1.0,19.6
304,6411,晶焱,76.6,-1.7,-2.17,26M06,1.41,0.0,14.2,0.28,19.5,0.0,0.0,0.03,0.0,0.0,1.42,0.0,14.2,0.28,19.5
305,2436,偉詮電,61.6,0.2,0.33,26M06,1.2,0.0,6.01,0.23,19.5,0.01,0.0,0.03,0.0,0.0,1.21,0.0,6.05,0.23,19.4
306,6771,平和環保-創,38.05,-0.05,-0.13,26M06,0.42,0.0,13.4,0.08,19.2,0.0,0.0,0.0,0.0,0.0,0.42,0.0,13.4,0.08,19.2
307,2233,宇隆,201.0,-3.0,-1.47,26M06,2.0,0.0,33.2,0.38,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.2,0.38,19.0
308,1414,東和,19.55,0.2,1.03,26M06,3.63,55.0,18.4,0.69,18.9,0.0,0.0,0.0,0.0,0.0,3.63,55.0,18.4,0.69,18.9
309,6271,同欣電,193.5,1.5,0.78,26M06,1.2,0.0,5.74,0.23,18.8,0.0,0.0,0.0,0.0,0.0,1.2,0.0,5.74,0.23,18.8
310,9929,秋雨,11.45,0.05,0.44,26M06,1.46,0.0,14.4,0.27,18.8,0.0,0.0,0.0,0.0,0.0,1.46,0.0,14.4,0.27,18.8
311,5381,光譜,23.9,0.15,0.63,26M06,8.78,0.0,42.3,1.64,18.7,0.0,0.0,0.0,0.0,0.0,8.78,0.0,42.3,1.64,18.7
312,6703,軒郁,107.0,0.0,0.0,26M06,0.66,0.0,19.9,0.12,18.6,0.0,0.0,0.0,0.0,0.0,0.66,0.0,19.9,0.12,18.6
313,8415,大國鋼,38.05,0.2,0.53,26M06,59.9,237.0,58.0,11.1,18.6,0.0,0.0,0.0,0.0,0.0,59.9,237.0,58.0,11.1,18.6
314,2359,所羅門,143.5,-1.0,-0.69,26M06,3.41,0.0,19.9,0.63,18.6,0.0,0.0,0.0,0.0,0.0,3.41,0.0,19.9,0.63,18.6
315,2867,三商壽,9.81,0.04,0.41,26M06,184.0,-1260.0,31.1,34.0,18.5,0.0,0.0,0.0,0.0,0.0,184.0,-1260.0,31.1,34.0,18.5
316,1466,聚隆,16.25,0.3,1.88,26M06,2.69,244.0,24.2,0.5,18.4,0.0,0.0,0.0,0.0,0.0,2.69,244.0,24.2,0.5,18.4
317,9951,皇田,53.0,0.3,0.57,26M06,1.08,-552.0,14.8,0.2,18.4,0.0,0.0,0.0,0.0,0.0,1.08,-552.0,14.8,0.2,18.4
318,6464,台數科,78.0,0.7,0.91,26M06,0.93,166.0,7.25,0.17,18.4,0.0,0.0,0.0,0.0,0.0,0.93,166.0,7.25,0.17,18.4
319,5301,寶得利,5.34,0.14,2.69,26M06,0.21,0.0,3.21,0.04,19.9,0.02,0.0,0.26,0.0,0.0,0.23,0.0,3.47,0.04,18.4
320,5607,遠雄港,48.95,0.1,0.2,26M06,6.59,0.0,17.8,1.2,18.2,0.0,0.0,0.0,0.0,0.0,6.59,0.0,17.8,1.2,18.2
321,8401,白紗科,22.75,0.05,0.22,26M06,1.03,10.0,14.6,0.29,18.2,0.0,0.0,0.0,0.0,0.0,1.03,10.0,14.6,0.29,18.2
322,6277,宏正,79.2,3.9,5.18,26M06,1.39,0.0,11.7,0.25,18.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,11.7,0.25,18.0
323,3147,大綜,223.0,-21.5,-8.79,26M06,1.01,-60.0,23.2,0.18,17.8,0.0,0.0,0.0,0.0,0.0,1.01,-60.0,23.2,0.18,17.8
324,3580,友威科,77.0,-1.6,-2.04,26M06,0.36,13.0,9.13,0.06,17.5,0.0,0.0,0.0,0.0,0.0,0.36,13.0,9.13,0.06,17.5
325,4526,東台,29.95,-0.2,-0.66,26M06,3.63,-2210.0,14.3,0.62,17.1,0.0,0.0,0.0,0.0,0.0,3.63,-2210.0,14.3,0.62,17.1
326,6113,亞矽,23.6,0.8,3.51,26M06,1.48,6.0,28.2,0.25,16.9,0.0,0.0,0.03,0.0,0.0,1.48,6.0,28.2,0.25,16.9
327,8462,柏文,168.5,4.0,2.43,26M06,2.85,0.0,35.5,0.48,16.8,0.0,0.0,0.0,0.0,0.0,2.85,0.0,35.5,0.48,16.8
328,4139,馬光-KY,36.15,-2.85,-7.31,26M06,0.25,0.0,5.44,0.04,16.8,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.44,0.04,16.8
329,2820,華票,16.35,0.05,0.31,26M06,46.0,0.0,34.2,7.68,16.7,0.0,0.0,0.0,0.0,0.0,46.0,0.0,34.2,7.68,16.7
330,6606,建德工業,25.9,-0.1,-0.38,26M06,2.39,0.0,21.7,0.4,16.7,0.02,0.0,0.16,0.0,0.0,2.41,0.0,21.9,0.4,16.6
331,5871,中租-KY,109.0,0.0,0.0,26M06,7.6,0.0,4.44,1.26,16.6,0.0,0.0,0.0,0.0,0.0,7.6,0.0,4.44,1.26,16.6
332,4764,雙鍵,236.5,-26.0,-9.9,26M06,1.92,-100.0,22.5,0.32,16.6,0.01,0.0,0.15,0.0,0.0,1.94,-100.0,22.6,0.32,16.5
333,5312,寶島科,88.9,-1.4,-1.55,26M06,1.6,0.0,26.7,0.26,16.5,0.0,0.0,0.0,0.0,0.0,1.6,0.0,26.7,0.26,16.5
334,2312,金寶,31.3,-0.9,-2.8,26M06,13.4,-2830.0,8.93,2.2,16.4,0.0,0.0,0.0,0.0,0.0,13.4,-2830.0,8.93,2.2,16.4
335,3645,達邁,68.4,-0.9,-1.3,26M06,2.05,0.0,15.0,0.34,16.4,0.0,0.0,0.0,0.0,0.0,2.05,0.0,15.0,0.34,16.4
336,5371,中光電,83.0,-3.7,-4.27,26M06,2.39,0.0,6.11,0.39,16.3,0.0,0.0,0.0,0.0,0.0,2.39,0.0,6.11,0.39,16.3
337,8087,麗升能源,29.5,0.6,2.08,26M06,0.71,0.0,18.4,0.12,16.3,0.0,0.0,0.0,0.0,0.0,0.71,0.0,18.4,0.12,16.3
338,3015,全漢,54.8,-2.2,-3.86,26M06,5.11,45.6,27.3,0.83,16.2,0.0,0.0,0.0,0.0,0.0,5.11,45.6,27.3,0.83,16.2
339,6246,臺龍,12.3,-0.15,-1.2,26M06,0.88,0.0,23.4,0.14,16.1,0.0,0.0,0.0,0.0,0.0,0.88,0.0,23.4,0.14,16.1
340,8034,榮群,19.1,-0.45,-2.3,26M06,0.56,0.0,9.87,0.09,16.1,0.0,0.0,0.0,0.0,0.0,0.56,0.0,9.87,0.09,16.1
341,6199,天品,96.0,-0.3,-0.31,26M06,2.77,-21.0,44.8,0.45,16.1,0.0,0.0,0.0,0.0,0.0,2.77,-21.0,44.8,0.45,16.1
342,4916,事欣科,108.0,0.0,0.0,26M06,1.39,0.0,12.6,0.22,15.8,0.0,0.0,0.0,0.0,0.0,1.39,0.0,12.6,0.22,15.8
343,2013,中鋼構,41.3,0.6,1.47,26M06,9.0,0.0,45.0,1.42,15.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,45.0,1.42,15.7
344,2606,裕民,67.5,3.1,4.81,26M06,34.3,0.0,40.6,5.4,15.7,0.0,0.0,0.0,0.0,0.0,34.3,0.0,40.6,5.4,15.7
345,6190,萬泰科,65.8,-2.2,-3.24,26M06,1.59,0.0,8.55,0.25,15.7,0.0,0.0,0.01,0.0,0.0,1.6,0.0,8.55,0.25,15.7
346,6869,雲豹能源,68.0,0.2,0.29,26M06,0.32,0.0,2.32,0.05,15.6,0.0,0.0,0.0,0.0,0.0,0.32,0.0,2.32,0.05,15.6
347,1614,三洋電,30.95,-0.2,-0.64,26M06,8.98,0.0,33.4,1.4,15.6,0.0,0.0,0.02,0.0,0.0,8.99,0.0,33.4,1.4,15.6
348,7703,銳澤,178.0,-3.5,-1.93,26M06,1.8,-712.0,51.9,0.28,15.6,0.0,0.0,0.0,0.0,0.0,1.8,-712.0,51.9,0.28,15.6
349,2509,全坤建,13.0,0.05,0.39,26M06,1.94,0.0,8.66,0.3,15.4,0.0,0.0,0.0,0.0,0.0,1.94,0.0,8.66,0.3,15.4
350,2734,易飛網,14.9,0.05,0.34,26M06,1.55,0.0,27.0,0.24,15.4,0.0,0.0,0.0,0.0,0.0,1.55,0.0,27.0,0.24,15.4
351,6462,神盾,99.6,-0.4,-0.4,26M06,0.91,0.0,10.0,0.14,15.3,0.0,0.0,0.0,0.0,0.0,0.91,0.0,10.0,0.14,15.3
352,4720,德淵,19.35,-0.2,-1.02,26M06,2.33,-20.0,20.4,0.36,15.5,0.03,0.0,0.28,0.0,0.0,2.36,-20.0,20.6,0.36,15.3
353,6508,惠光,26.7,0.8,3.09,26M06,2.62,0.0,30.3,0.4,15.3,0.0,0.0,0.0,0.0,0.0,2.62,0.0,30.3,0.4,15.3
