排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
105,2369,菱生,41.15,-1.35,-3.18,07/13,6.98,0.72,4.5,26.9,14.2,-42.1,-45.5,-41.8,2.56,-42.8
106,6792,詠業,59.6,-2.1,-3.4,07/13,9.0,13.0,19.8,26.7,33.7,19.8,47.3,51.4,86.3,51.4
107,4128,中天,16.15,-1.0,-5.83,07/13,3.19,10.6,17.5,26.7,27.9,34.0,87.8,83.2,26.1,76.7
108,6585,鼎基,124.0,-0.5,-0.4,07/13,3.33,11.9,15.7,26.5,13.6,32.5,51.2,-5.78,24.5,-1.27
109,5230,雷笛克光學,20.2,-0.35,-1.7,07/13,1.39,11.0,22.6,26.4,36.8,11.7,14.5,-32.0,-50.2,-39.7
110,6173,信昌電,247.5,-27.5,-10.0,07/13,4.85,6.01,8.68,26.1,13.7,19.8,-35.9,-60.8,59.8,-65.3
111,6416,瑞祺電通,96.7,-1.7,-1.73,07/13,2.18,8.49,25.1,26.0,27.4,29.2,-7.62,4.61,-39.7,19.8
112,2637,慧洋-KY,84.7,1.7,2.05,07/13,3.02,24.6,25.7,25.7,23.6,-18.1,-80.8,-80.0,-95.5,-88.1
113,5519,隆大,28.9,-0.75,-2.53,07/13,7.35,12.4,16.6,25.6,37.4,11.0,91.9,94.7,-5.26,102.0
114,00713,元大台灣高息低波,60.55,0.0,0.0,07/13,-1.33,-1.53,0.08,25.6,12.3,1.33,63.4,-40.4,-74.6,-54.9
115,3707,漢磊,85.5,6.0,7.55,07/13,0.86,7.77,13.6,25.5,87.7,65.3,72.6,-26.4,-18.3,1.13
116,6015,宏遠證,17.3,-0.35,-1.98,07/13,-0.53,9.75,13.4,25.4,45.4,120.0,128.0,92.2,-18.8,96.1
117,2462,良得電,21.9,-0.95,-4.16,07/13,1.78,4.58,8.38,25.3,7.08,-37.6,-19.1,10.9,86.5,14.3
118,6936,永鴻生技,32.3,-0.35,-1.07,07/13,0.0,0.0,0.0,25.0,33.3,900.0,-55.6,17.6,,42.9
119,6423,億而得,80.2,-7.3,-8.34,07/13,7.07,15.1,23.1,24.9,30.9,27.0,140.0,1929.0,2549.0,2067.0
120,1563,巧新,64.3,-3.4,-5.02,07/13,4.58,5.16,8.32,24.8,-5.26,-22.4,-56.8,-42.0,-43.8,-32.3
121,3023,信邦,324.0,-2.0,-0.61,07/13,3.25,3.48,7.22,24.5,98.6,140.0,58.8,57.5,302.0,43.5
122,3268,海德威,20.5,-0.45,-2.15,07/13,8.02,10.9,15.6,24.4,38.6,24.0,52.0,48.4,47.3,49.6
123,6411,晶焱,93.2,-3.8,-3.92,07/13,12.0,8.26,15.1,24.4,19.5,-8.92,-32.1,-43.5,42.6,-44.8
124,3014,聯陽,138.0,-1.5,-1.08,07/13,1.39,5.53,10.2,24.3,31.0,58.9,42.6,216.0,611.0,213.0
125,2356,英業達,64.7,-5.1,-7.31,07/13,6.75,19.6,21.3,23.6,31.9,30.9,-23.0,-13.4,-7.92,-11.2
126,3570,大塚,163.0,-1.0,-0.61,07/13,2.44,2.44,7.69,23.5,-17.6,-47.5,-63.2,-68.2,-30.0,-67.4
127,6224,聚鼎,67.3,-7.2,-9.66,07/13,0.51,1.59,1.43,23.5,26.4,21.1,199.0,102.0,666.0,70.9
128,1294,漢田生技,57.7,-1.3,-2.2,07/13,14.5,31.7,36.2,23.4,54.9,-2.47,5.33,16.2,,16.2
129,00929,復華台灣科技優息,30.02,-0.17,-0.56,07/13,1.43,3.11,23.3,23.3,29.6,31.0,33.0,62.3,70.5,53.9
130,5309,系統電,62.1,-1.0,-1.58,07/13,3.71,6.18,13.3,23.2,35.3,29.0,5.2,28.0,63.2,51.2
131,4542,科嶠,354.0,-11.5,-3.15,07/13,12.6,12.6,22.0,23.2,44.0,24.4,248.0,79.5,102.0,95.5
132,1817,凱撒衛,38.55,-0.2,-0.52,07/13,-0.98,-0.98,-0.98,23.2,-8.18,-48.2,-45.4,-48.7,-61.7,-48.7
133,8487,愛爾達-創,77.0,-1.6,-2.04,07/13,17.1,20.0,20.0,23.1,23.1,33.3,41.2,65.5,860.0,65.5
134,3211,順達,457.5,3.5,0.77,07/13,0.47,4.91,5.36,22.8,19.2,17.3,-39.8,-3.34,1.56,-16.6
135,00990A,主動元大AI新經濟,17.6,-0.36,-2.0,07/13,3.35,4.52,9.33,22.8,24.6,-31.5,29.4,-62.9,,-80.3
136,2430,燦坤,18.0,0.0,0.0,07/13,7.16,13.1,19.3,22.4,28.4,29.3,128.0,190.0,130.0,190.0
137,1590,亞德客-KY,1320.0,40.0,3.12,07/13,2.71,4.86,2.9,22.2,44.9,203.0,81.8,13.3,-6.79,25.2
138,6944,兆聯實業,1045.0,47.0,4.71,07/13,0.89,2.25,10.7,22.1,31.7,33.8,154.0,340.0,,381.0
139,4807,日成-KY,41.4,3.75,9.96,07/13,0.56,0.84,7.45,22.0,37.8,36.1,156.0,56.2,13.8,53.5
140,8150,南茂,115.0,-2.0,-1.71,07/13,10.9,9.7,17.7,21.9,32.2,-17.2,-7.3,-25.3,-6.01,-34.9
