排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
301,6762,達亞,櫃,07/09,,176.5,8.5,5.06,13,2.19,168.0,168.0,179.5,168.0,6.85,,4.84,,,,,
302,8255,朋程,櫃,07/09,,176.5,-5.0,-2.75,981,177.0,181.5,183.0,183.5,176.5,3.86,31.0,2.3,,,,,
303,2236,百達-KY,市,07/09,,176.0,0.5,0.28,407,71.7,175.5,177.0,179.5,174.0,3.13,,4.68,,,,,
304,2753,八方雲集,市,07/09,,176.0,-3.0,-1.68,366,64.5,179.0,178.0,178.0,175.5,1.4,13.0,3.3,,,,,
305,4961,天鈺,市,07/09,,176.0,1.0,0.57,638,112.0,175.0,175.0,178.5,174.5,2.29,21.3,1.2,,,,,
306,6712,長聖,櫃,07/09,,175.5,-7.5,-4.1,2164,383.0,183.0,184.0,184.0,173.5,5.74,35.2,6.0,,,,,
307,1773,勝一,市,07/09,,174.5,-0.5,-0.29,474,83.0,175.0,178.0,179.5,173.0,3.71,24.1,4.41,,,,,
308,2478,大毅,市,07/09,,174.0,-5.0,-2.79,7501,1343.0,181.0,182.0,184.5,172.0,6.98,47.0,3.42,,,,,
309,3217,優群,櫃,07/09,,173.5,-0.5,-0.29,795,139.0,174.0,175.5,176.0,172.5,2.01,13.8,3.01,,,,,
310,3228,金麗科,櫃,07/09,,173.5,-6.0,-3.34,409,71.9,179.5,179.5,180.5,173.5,3.9,,19.47,,,,,
311,3265,台星科,櫃,07/09,,173.5,5.0,2.97,1186,206.0,168.5,172.0,177.0,169.0,4.75,30.4,3.92,,,,,
312,5347,世界,櫃,07/09,,173.0,-3.5,-1.98,20792,3620.0,176.5,177.5,178.0,170.5,4.25,41.2,4.72,,,,,
313,8043,蜜望實,櫃,07/09,,173.0,-6.0,-3.35,8130,1454.0,179.0,182.0,184.0,173.0,6.15,51.8,4.93,,,,,
314,6182,合晶,櫃,07/09,,172.5,12.5,7.81,182050,30748.0,160.0,161.0,175.0,159.0,10.0,,6.48,,,,,
315,7714,創泓科技,櫃,07/09,,172.5,15.5,9.87,435,75.1,157.0,172.5,172.5,172.5,0.0,25.1,6.86,,,,,
316,3135,凌航,市,07/09,,172.0,0.5,0.29,872,151.0,171.5,174.5,177.0,170.5,3.79,10.8,4.74,,,,,
317,4536,拓凱,市,07/09,,171.5,-1.5,-0.87,248,42.7,173.0,173.5,173.5,171.5,1.16,12.8,1.7,,,,,
318,8416,實威,櫃,07/09,,171.5,0.5,0.29,1,0.2,171.0,171.5,171.5,171.5,0.0,12.2,2.74,,,,,
319,1513,中興電,市,07/09,,168.5,3.0,1.81,3188,535.0,171.5,167.0,169.0,166.5,1.51,20.4,3.87,,,,,
320,2597,潤弘,市,07/09,,168.5,1.5,0.9,190,31.7,167.0,167.5,168.5,164.5,2.4,14.8,5.62,,,,,
321,4569,六方科-KY,市,07/09,,168.0,-1.5,-0.88,30,4.98,169.5,168.0,170.5,167.5,1.77,34.6,1.87,,,,,
322,6579,研揚,市,07/09,,168.0,-4.5,-2.61,714,120.0,172.5,172.5,172.5,165.5,4.06,22.8,2.73,,,,,
