排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1742,6924,榮惠-KY創,110.0,-4.0,-3.51,26M06,0.17,0.0,8.06,0,0,0.0,0.0,0.0,0,0,0.17,0.0,8.06,0,0
1743,6929,佑全,23.95,0.65,2.79,26M06,3.46,0.0,76.7,0,0,0.0,0.0,0.0,0,0,3.46,0.0,76.7,0,0
1744,6933,AMAX-KY,164.5,-4.5,-2.66,26M06,2.41,-86.0,56.8,0,0,0.0,0.0,0.0,0,0,2.41,-86.0,56.8,0,0
1745,6934,心誠鎂,72.3,-0.9,-1.23,26M06,0.97,0.0,26.9,0,0,0.0,0.0,0.0,0,0,0.97,0.0,26.9,0,0
1746,6936,永鴻生技,31.9,0.0,0.0,26M06,3.64,0.0,50.0,0,0,0.0,0.0,0.0,0,0,3.64,0.0,50.0,0,0
1747,6937,天虹,246.0,-16.5,-6.29,26M06,0.79,0.0,11.7,0,0,0.0,0.0,0.0,0,0,0.79,0.0,11.7,0,0
1748,6945,圓祥生技,99.6,2.7,2.79,26M06,2.69,0.0,31.4,0,0,0.0,0.0,0.0,0,0,2.69,0.0,31.4,0,0
1749,6947,台鎔科技,80.6,-1.0,-1.23,26M06,2.47,16272.0,26.2,0,0,0.0,0.0,0.0,0,0,2.47,16272.0,26.2,0,0
1750,6949,沛爾生醫-創,943.0,-34.0,-3.48,26M06,1.2,0.0,18.4,0,0,0.0,0.0,0.0,0,0,1.2,0.0,18.4,0,0
1751,6951,青新-創,70.8,0.0,0.0,26M06,2.94,0.0,63.9,0,0,0.0,0.0,0.0,0,0,2.94,0.0,63.9,0,0
1752,6953,家碩,215.5,0.0,0.0,26M06,1.52,0.0,50.5,0,0,0.0,0.0,0.0,0,0,1.52,0.0,50.5,0,0
1753,6955,邦睿生技-創,122.0,-0.5,-0.41,26M06,0.97,0.0,38.9,0,0,0.0,0.0,0.0,0,0,0.97,0.0,38.9,0,0
1754,6957,裕慶-KY,208.0,-2.0,-0.95,26M06,0.79,0.0,14.3,0,0,0.0,0.0,0.02,0,0,0.79,0.0,14.3,0,0
1755,6958,日盛台駿,18.35,-0.1,-0.54,26M06,24.8,0.0,61.8,0,0,0.0,0.0,0.0,0,0,24.8,0.0,61.8,0,0
1756,6961,旅天下,51.3,0.3,0.59,26M06,0.97,0.0,36.2,0,0,0.0,0.0,0.0,0,0,0.97,0.0,36.2,0,0
1757,6965,中傑-KY,77.3,0.6,0.78,26M06,0.61,425.0,3.88,0,0,0.0,0.0,0.0,0,0,0.61,425.0,3.88,0,0
1758,6967,汎瑋材料,68.1,-0.9,-1.3,26M06,0.56,0.0,22.6,0,0,0.0,0.0,0.0,0,0,0.56,0.0,22.6,0,0
1759,6969,成信實業*-創,35.5,0.7,2.01,26M06,0.9,0.0,20.5,0,0,0.0,0.0,0.0,0,0,0.9,0.0,20.5,0,0
1760,6971,惠民實業,25.5,0.0,0.0,26M06,1.11,0.0,28.6,0,0,0.0,0.0,0.0,0,0,1.11,0.0,28.6,0,0
