項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),270242,275895,12617,8828363,8810093
融券(交易單位),17298,27525,1171,188334,197390
融資金額(仟元),24006948,22338728,1450833,548190238,548407625
