排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
2101,3555,博士旺,193.5,8.0,4.31,26W35,08/28,22.3,0.0,22.3,0.0,77.7,0.0
2102,3702,大聯大,104.0,2.0,1.96,26W35,08/28,20.7,0.69,22.2,1.01,77.8,-1.01
2103,8464,億豐,373.5,6.0,1.63,26W35,08/28,19.8,-0.4,22.2,-0.04,77.8,0.04
2104,2890,永豐金,42.85,0.25,0.59,26W35,08/28,21.4,0.39,22.2,0.35,77.8,-0.35
2105,2433,互盛電,41.6,0.05,0.12,26W35,08/28,22.2,0.0,22.2,0.0,77.8,0.0
2106,1735,日勝化,20.25,0.15,0.75,26W35,08/28,22.2,-0.01,22.2,-0.01,77.8,0.01
2107,2897B,王道銀乙特,11.7,0.0,0.0,26W35,08/28,20.6,0.04,22.2,0.04,77.8,-0.04
2108,5278,尚凡*,24.2,-0.1,-0.41,26W35,08/28,21.0,-0.04,22.2,-0.04,77.8,0.04
2109,6464,台數科,77.6,0.8,1.04,26W35,08/28,19.3,-0.75,22.1,-0.74,77.9,0.74
2110,1307,三芳,30.45,0.1,0.33,26W35,08/28,21.9,0.03,22.1,0.03,77.9,-0.03
2111,6666,羅麗芬-KY,44.35,0.3,0.68,26W35,08/28,22.0,0.0,22.0,0.0,78.0,0.0
2112,3332,幸康,61.0,0.0,0.0,26W35,08/28,20.2,0.0,22.0,0.0,78.0,0.0
2113,9940,信義,20.5,0.2,0.99,26W35,08/28,21.4,0.01,22.0,0.0,78.0,0.0
2114,1459,聯發,15.65,0.35,2.29,26W35,08/28,21.0,0.08,22.0,-0.25,78.0,0.25
2115,4148,全宇生技-KY,31.8,0.5,1.6,26W35,08/28,21.9,0.04,21.9,0.04,78.1,-0.04
2116,2105,正新,30.95,0.25,0.81,26W35,08/28,21.1,-0.02,21.9,0.01,78.1,-0.01
2117,2597,潤弘,169.0,1.0,0.6,26W35,08/28,21.0,0.01,21.9,0.01,78.1,-0.01
2118,6199,天品,96.1,0.9,0.95,26W35,08/28,21.9,0.02,21.9,0.02,78.1,-0.02
2119,6101,寬魚國際,37.95,0.25,0.66,26W35,08/28,18.4,0.52,21.8,-0.33,78.2,0.33
