排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
55,3693,營邦,587.0,39.0,7.12,08/28,-7366.0,-10277.0,-13119.0,-24456,-34365.0,-47154.0,-26799.0,-10873.0,-13247.0,-10.3
56,8112,至上,90.9,-1.3,-1.41,08/28,8970.0,-18374.0,-17785.0,-23263,-61498.0,-230627.0,-92612.0,-91314.0,-88765.0,-227288.0
57,00988A,主動統一全球創新,16.39,-0.14,-0.85,08/28,0.0,-1353.0,205.0,-22867,-23849.0,-64130.0,-148167.0,30427.0,,40559.0
58,3661,世芯-KY,4065.0,195.0,5.04,08/28,-13628.0,-5776.0,-8159.0,-21044,-211053.0,-672647.0,-543580.0,-1849527.0,-779448.0,-806603.0
59,2316,楠梓電,164.0,3.5,2.18,08/28,-1250.0,425.0,-18976.0,-20478,-24961.0,-2558.0,-28211.0,17875.0,-8790.0,24879.0
60,1590,亞德客-KY,1415.0,-65.0,-4.39,08/28,5013.0,13344.0,15701.0,-19753,-50743.0,-75529.0,8644.0,8802.0,-9924.0,-42471.0
61,5536,聖暉*,871.0,17.0,1.99,08/28,-173.0,-173.0,-3764.0,-19209,-57866.0,-132785.0,-296527.0,-534116.0,18664.0,-304204.0
62,00992A,主動群益科技創新,18.68,0.23,1.25,08/28,-1302.0,-2629.0,-19517.0,-19036,-22644.0,-34242.0,-70056.0,4756.0,,6437.0
63,1802,台玻,60.8,1.6,2.7,08/28,-2324.0,-983.0,-874.0,-17800,-15237.0,6075.0,140154.0,350438.0,152628.0,45501.0
64,5347,世界,153.0,2.0,1.32,08/28,-4587.0,-3227.0,-48303.0,-17766,5111.0,14213.0,-433841.0,-48652.0,-184892.0,-279719.0
65,3363,上詮,701.0,-3.0,-0.43,08/28,-23390.0,-40218.0,-42848.0,-17191,-18773.0,-63024.0,-60260.0,245605.0,322076.0,288075.0
66,2474,可成,206.5,-1.0,-0.48,08/28,-5976.0,-8395.0,-15518.0,-16943,-36923.0,-17629.0,-530939.0,-419948.0,-76630.0,-390027.0
67,7610,聯友金屬-創,1495.0,-100.0,-6.27,08/28,0.0,-808.0,-22374.0,-16629,-3427.0,9647.0,10762.0,,,
68,00935,野村臺灣新科技50,58.2,1.0,1.75,08/28,-11.7,-10481.0,-16062.0,-16062,-7888.0,-42142.0,-8270.0,10988.0,13274.0,10085.0
69,9921,巨大,103.0,-2.0,-1.9,08/28,-4216.0,-9490.0,-10892.0,-15576,-12574.0,-9881.0,-3078.0,37404.0,23552.0,43748.0
70,0052,富邦科技,62.35,0.45,0.73,08/28,0.0,-4669.0,-15442.0,-15526,-24236.0,-42326.0,-43092.0,-100229.0,37257.0,12672.0
71,2634,漢翔,67.8,-2.5,-3.56,08/28,4208.0,3249.0,1870.0,-15500,-63330.0,-52761.0,-102588.0,-53853.0,-108068.0,-110919.0
72,2542,興富發,47.0,-0.75,-1.57,08/28,618.0,-1338.0,-794.0,-15249,-73942.0,-41827.0,162603.0,185452.0,287936.0,164278.0
73,9945,潤泰新,28.0,-0.6,-2.1,08/28,1079.0,1354.0,-13084.0,-15229,-55164.0,-60090.0,-39843.0,42474.0,-10831.0,33471.0
74,5876,上海商銀,43.15,0.1,0.23,08/28,9452.0,15074.0,-5358.0,-15214,-34079.0,-273336.0,-55078.0,281240.0,222412.0,252769.0
75,2204,中華,53.4,-0.6,-1.11,08/28,-2714.0,-2865.0,-12395.0,-14740,-23554.0,-31437.0,-25434.0,8254.0,24977.0,25734.0
76,8016,矽創,296.0,-4.0,-1.33,08/28,983.0,1371.0,-10672.0,-14667,-22890.0,-42038.0,-25515.0,11344.0,21846.0,-9351.0
77,4977,眾達-KY,172.0,0.5,0.29,08/28,-523.0,-1014.0,-7773.0,-14198,-20811.0,-3968.0,-30118.0,-52573.0,-62052.0,-57005.0
78,1504,東元,72.6,-0.8,-1.09,08/28,8421.0,4879.0,790.0,-14066,-151761.0,-189182.0,-232786.0,72325.0,433441.0,246327.0
79,4938,和碩,88.5,-0.9,-1.01,08/28,-9154.0,-1816.0,-6722.0,-14063,-13930.0,-94806.0,85682.0,510912.0,613800.0,364671.0
80,00937B,群益ESG投等債20+,14.34,-0.07,-0.49,08/28,-1658.0,-1369.0,-433.0,-13955,-34149.0,16676.0,1237.0,-2306.0,-127277.0,-61450.0
