項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),380702,363668,5865,8881554,8892723
融券(交易單位),14618,19072,1212,210591,213833
融資金額(仟元),41690941,34055406,376783,559918784,567177536
