日期,成交千股,成交金額(千元),成交筆數,櫃買指數,漲跌點數
115/08/03,"682,447","132,226,012","654,724",362.89,15.04
115/08/04,"783,768","159,489,264","752,912",375.03,12.14
115/08/05,"882,982","182,591,031","889,250",383.75,8.72
115/08/06,"842,892","224,818,071","875,358",391.37,7.62
115/08/07,"818,224","206,043,637","924,146",384.19,-7.18
115/08/10,"871,512","188,766,082","920,975",391.61,7.42
115/08/11,"853,989","183,880,347","915,282",391.68,0.07
115/08/12,"940,559","200,917,880","1,025,870",402.02,10.34
115/08/13,"1,042,907","248,782,296","1,134,959",406.12,4.1
115/08/14,"992,501","237,372,937","1,234,054",400.95,-5.17
115/08/17,"745,811","173,191,189","910,429",398.32,-2.63
115/08/18,"1,026,031","237,768,204","1,176,424",390.83,-7.49
115/08/19,"790,217","179,226,416","962,148",384.79,-6.04
115/08/20,"863,156","183,188,159","908,031",389.96,5.17
115/08/21,"856,940","197,673,238","943,833",387.27,-2.69
115/08/24,"802,939","186,358,091","918,273",386.1,-1.17
115/08/25,"701,017","168,782,272","809,034",389.41,3.31
115/08/26,"930,889","237,979,116","1,025,737",395.66,6.25
115/08/27,"1,036,269","280,346,805","1,144,794",400.38,4.72
115/08/28,"1,258,761","291,031,167","1,302,585",402.83,2.45
