排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1239,4536,拓凱,162.0,-2.5,-1.52,26M08,1.93,0.0,21.3,0,0,0.0,0.0,0.0,0,0,1.93,0.0,21.3,0,0
1240,4538,大詠城,17.35,-0.25,-1.42,26M08,1.55,45.0,26.1,0,0,0.0,0.0,0.0,0,0,1.55,45.0,26.1,0,0
1241,4540,全球傳動,58.1,0.1,0.17,26M08,0.94,0.0,8.19,0,0,0.0,0.0,0.0,0,0,0.94,0.0,8.19,0,0
1242,4541,晟田,57.0,-1.0,-1.72,26M08,0.83,0.0,12.2,0,0,0.0,0.0,0.0,0,0,0.83,0.0,12.2,0,0
1243,4543,萬在,28.05,-0.6,-2.09,26M08,0.43,206.0,7.23,0,0,0.0,0.0,0.0,0,0,0.43,206.0,7.23,0,0
1244,4545,銘鈺,32.6,1.2,3.82,26M08,5.01,-180.0,65.0,0,0,0.0,0.0,0.0,0,0,5.01,-180.0,65.0,0,0
1245,4549,桓達,94.2,-2.1,-2.18,26M08,0.92,0.0,16.1,0,0,0.0,0.0,0.0,0,0,0.92,0.0,16.1,0,0
1246,4550,長佳,23.25,-0.7,-2.92,26M08,0.73,0.0,19.3,0,0,0.0,0.0,0.0,0,0,0.73,0.0,19.3,0,0
1247,4551,智伸科,157.0,-2.0,-1.26,26M08,1.25,0.0,10.8,0,0,0.0,0.0,0.0,0,0,1.25,0.0,10.8,0,0
1248,4552,力達-KY,15.7,-0.4,-2.48,26M08,4.61,0.0,39.8,0,0,0.0,0.0,0.0,0,0,4.61,0.0,39.8,0,0
1249,4554,橙的,28.05,-0.6,-2.09,26M08,1.29,1679.0,48.9,0,0,0.0,0.0,0.0,0,0,1.29,1679.0,48.9,0,0
1250,4555,氣立,42.5,0.3,0.71,26M08,2.01,0.0,28.7,0,0,0.0,0.0,0.0,0,0,2.01,0.0,28.7,0,0
1251,4556,旭然,94.6,8.6,10.0,26M08,1.36,0.0,32.1,0,0,0.0,0.0,0.0,0,0,1.36,0.0,32.1,0,0
1252,4557,永新-KY,50.0,-0.4,-0.79,26M08,0.13,0.0,2.67,0,0,0.0,0.0,0.0,0,0,0.13,0.0,2.67,0,0
1253,4558,寶緯,17.3,-0.3,-1.7,26M08,0.75,0.0,15.1,0,0,0.0,0.0,0.0,0,0,0.75,0.0,15.1,0,0
1254,4560,強信-KY,29.45,-0.2,-0.67,26M08,2.73,0.0,40.0,0,0,0.0,0.0,0.0,0,0,2.73,0.0,40.0,0,0
1255,4561,健椿,40.4,-0.8,-1.94,26M08,1.17,0.0,20.0,0,0,0.0,0.0,0.0,0,0,1.17,0.0,20.0,0,0
1256,4564,元翎,15.7,0.05,0.32,26M08,3.24,0.0,13.9,0,0,0.0,0.0,0.0,0,0,3.24,0.0,13.9,0,0
1257,4568,科際精密,38.5,0.0,0.0,26M08,0.52,0.0,16.4,0,0,0.0,0.0,0.0,0,0,0.52,0.0,16.4,0,0
1258,4569,六方科-KY,155.0,-3.5,-2.21,26M08,1.29,0.0,42.3,0,0,0.0,0.0,0.03,0,0,1.29,0.0,42.3,0,0
1259,4571,鈞興-KY,150.5,0.0,0.0,26M08,0.72,0.0,13.5,0,0,0.0,0.0,0.0,0,0,0.72,0.0,13.5,0,0
1260,4572,駐龍,142.5,1.5,1.06,26M08,0.8,0.0,20.0,0,0,0.0,0.0,0.0,0,0,0.8,0.0,20.0,0,0
1261,4577,達航科技,84.1,-3.7,-4.21,26M08,0.67,0.0,13.6,0,0,0.0,0.0,0.0,0,0,0.67,0.0,13.6,0,0
1262,4581,光隆精密-KY,47.15,-0.1,-0.21,26M08,0.45,0.0,13.3,0,0,0.0,0.0,0.0,0,0,0.45,0.0,13.3,0,0
1263,4582,聚恆-創,22.7,-0.2,-0.87,26M08,1.22,10.0,16.2,0,0,0.0,0.0,0.0,0,0,1.22,10.0,16.2,0,0
1264,4583,台灣精銳,433.0,-9.0,-2.04,26M08,2.57,0.0,32.1,0,0,0.0,0.0,0.0,0,0,2.57,0.0,32.1,0,0
1265,4584,君帆,37.8,-0.25,-0.66,26M08,0.53,0.0,17.6,0,0,0.0,0.0,0.0,0,0,0.53,0.0,17.6,0,0
1266,4585,達明,298.0,7.5,2.58,26M08,8.0,0.0,76.4,0,0,0.0,0.0,0.0,0,0,8.0,0.0,76.4,0,0
1267,4588,玖鼎電力,50.6,-0.4,-0.78,26M08,0.89,0.0,20.7,0,0,0.0,0.0,0.0,0,0,0.89,0.0,20.7,0,0
1268,4590,富田-創,89.9,-2.1,-2.28,26M08,1.11,0.0,20.2,0,0,0.0,0.0,0.0,0,0,1.11,0.0,20.2,0,0
1269,4609,唐鋒,4.24,0.04,0.95,26M08,0.91,0.0,19.0,0,0,0.0,0.0,0.0,0,0,0.91,0.0,19.0,0,0
1270,4702,中美實,9.23,-0.11,-1.18,26M08,3.08,0.0,42.6,0,0,0.0,0.0,0.0,0,0,3.08,0.0,42.6,0,0
1271,4706,大恭,35.75,-0.1,-0.28,26M08,4.52,130.0,57.1,0,0,0.0,0.0,0.0,0,0,4.52,130.0,57.1,0,0
1272,4711,永純,16.3,-0.35,-2.1,26M08,1.13,0.0,18.5,0,0,0.0,0.0,0.0,0,0,1.13,0.0,18.5,0,0
1273,4714,永捷,11.7,0.7,6.36,26M08,2.27,0.0,10.2,0,0,0.0,0.0,0.0,0,0,2.27,0.0,10.2,0,0
1274,4721,美琪瑪,72.1,-0.8,-1.1,26M08,0.67,0.0,8.97,0,0,0.0,0.0,0.0,0,0,0.67,0.0,8.97,0,0
1275,4728,雙美,391.0,0.0,0.0,26M08,0.43,-1.0,7.96,0,0,0.0,0.0,0.0,0,0,0.43,-1.0,7.96,0,0
1276,4729,熒茂,18.25,-0.25,-1.35,26M08,1.66,65.0,21.0,0,0,0.0,0.0,0.0,0,0,1.66,65.0,21.0,0,0
1277,4735,豪展,36.55,0.9,2.52,26M08,0.82,0.0,19.8,0,0,0.0,0.0,0.0,0,0,0.82,0.0,19.8,0,0
1278,4736,泰博,127.5,-0.5,-0.39,26M08,0.49,0.0,5.12,0,0,0.0,0.0,0.01,0,0,0.49,0.0,5.14,0,0
1279,4741,泓瀚,37.35,-0.65,-1.71,26M08,1.08,0.0,30.9,0,0,0.0,0.0,0.0,0,0,1.08,0.0,30.9,0,0
1280,4743,合一,43.9,-1.65,-3.62,26M08,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
1281,4744,皇將,26.7,0.2,0.75,26M08,0.59,678.0,10.3,0,0,0.0,0.0,0.0,0,0,0.59,678.0,10.3,0,0
1282,4749,新應材,721.0,-36.0,-4.76,26M08,1.12,0.0,12.1,0,0,0.0,0.0,0.0,0,0,1.12,0.0,12.1,0,0
1283,4754,國碳科,37.35,-0.35,-0.93,26M08,0.69,0.0,22.9,0,0,0.01,0.0,0.32,0,0,0.7,0.0,23.3,0,0
1284,4755,三福化,112.0,-1.5,-1.32,26M08,3.56,0.0,35.4,0,0,0.0,0.0,0.01,0,0,3.56,0.0,35.4,0,0
1285,4763,材料*-KY,48.85,0.5,1.03,26M08,40.8,0.0,41.2,0,0,0.0,0.0,0.0,0,0,40.8,0.0,41.2,0,0
1286,4766,南寶,337.0,-2.0,-0.59,26M08,1.58,0.0,13.1,0,0,0.0,0.0,0.0,0,0,1.58,0.0,13.1,0,0
1287,4767,誠泰科技,27.9,-1.35,-4.62,26M08,0.45,0.0,14.4,0,0,0.0,0.0,0.0,0,0,0.45,0.0,14.4,0,0
1288,4768,晶呈科技,296.0,-11.0,-3.58,26M08,0.73,108.0,15.4,0,0,0.0,-405.0,0.0,0,0,0.73,-297.0,15.4,0,0
1289,4770,上品,231.0,-8.0,-3.35,26M08,1.49,0.0,18.6,0,0,0.0,0.0,0.0,0,0,1.49,0.0,18.6,0,0
1290,4771,望隼,201.5,-1.5,-0.74,26M08,1.25,0.0,21.3,0,0,0.0,0.0,0.0,0,0,1.25,0.0,21.3,0,0
1291,4772,台特化,234.0,-8.0,-3.31,26M08,4.39,280.0,29.7,0,0,0.0,0.0,0.0,0,0,4.39,280.0,29.7,0,0
1292,4806,桂田文創,9.07,-0.09,-0.98,26M08,1.29,5.0,12.9,0,0,0.0,0.0,0.0,0,0,1.29,5.0,12.9,0,0
1293,4807,日成-KY,28.65,-0.6,-2.05,26M08,1.78,0.0,36.3,0,0,0.0,0.0,0.0,0,0,1.78,0.0,36.3,0,0
1294,4903,聯光通,33.4,-2.5,-6.96,26M08,0.82,0.0,7.75,0,0,0.0,0.0,0.0,0,0,0.82,0.0,7.75,0,0
1295,4904,遠傳,105.5,1.0,0.96,26M08,107.0,0.0,29.7,0,0,0.0,0.0,0.0,0,0,107.0,0.0,29.7,0,0
1296,4905,台聯電,79.3,-5.1,-6.04,26M08,0.75,0.0,25.6,0,0,0.0,0.0,0.0,0,0,0.75,0.0,25.6,0,0
1297,4906,正文,35.9,-0.45,-1.24,26M08,2.03,200.0,4.67,0,0,0.0,0.0,0.0,0,0,2.03,200.0,4.67,0,0
1298,4907,富宇,43.4,-0.65,-1.48,26M08,0.9,0.0,7.59,0,0,0.0,0.0,0.0,0,0,0.9,0.0,7.59,0,0
1299,4908,前鼎,237.5,-11.5,-4.62,26M08,1.03,0.0,13.1,0,0,0.0,0.0,0.0,0,0,1.03,0.0,13.1,0,0
1300,4909,新復興,34.0,-0.8,-2.3,26M08,0.56,0.0,6.0,0,0,0.0,0.0,0.0,0,0,0.56,0.0,6.0,0,0
1301,4911,德英,28.7,-0.1,-0.35,26M08,1.69,1253.0,24.6,0,0,0.04,28.7,0.56,0,0,1.73,1281.0,25.1,0,0
1302,4919,新唐,112.5,-4.0,-3.43,26M08,22.8,890.0,54.4,0,0,0.0,0.0,0.0,0,0,22.8,890.0,54.4,0,0
1303,4923,力士,51.7,-3.4,-6.17,26M08,0.53,0.0,15.7,0,0,0.0,0.0,0.0,0,0,0.53,0.0,15.7,0,0
1304,4924,欣厚-KY,12.5,-0.4,-3.1,26M08,0.41,0.0,11.1,0,0,0.0,0.0,0.0,0,0,0.41,0.0,11.1,0,0
1305,4927,泰鼎-KY,41.3,-1.45,-3.39,26M08,0.16,0.0,0.59,0,0,0.0,0.0,0.01,0,0,0.16,0.0,0.6,0,0
1306,4930,燦星網,15.85,-0.1,-0.63,26M08,3.55,0.0,44.4,0,0,0.0,0.0,0.0,0,0,3.55,0.0,44.4,0,0
1307,4931,新盛力,234.0,-10.0,-4.1,26M08,0.23,0.0,3.48,0,0,0.0,0.0,0.0,0,0,0.23,0.0,3.48,0,0
1308,4933,友輝,51.1,-0.7,-1.35,26M08,4.02,0.0,48.6,0,0,0.0,0.0,0.0,0,0,4.02,0.0,48.6,0,0
1309,4934,太極,13.4,-0.25,-1.83,26M08,6.11,0.0,27.2,0,0,0.0,0.0,0.0,0,0,6.11,0.0,27.2,0,0
1310,4935,茂林-KY,31.9,-0.85,-2.6,26M08,2.35,0.0,18.2,0,0,0.0,0.0,0.0,0,0,2.35,0.0,18.2,0,0
1311,4938,和碩,91.0,0.0,0.0,26M08,15.9,0.0,5.93,0,0,0.0,0.0,0.0,0,0,15.9,0.0,5.93,0,0
1312,4939,亞電,82.4,0.0,0.0,26M08,0.83,0.0,8.49,0,0,0.0,0.0,0.0,0,0,0.83,0.0,8.49,0,0
1313,4942,嘉彰,31.9,-0.5,-1.54,26M08,2.29,508.0,16.1,0,0,0.0,0.0,0.0,0,0,2.29,508.0,16.1,0,0
1314,4943,康控-KY,7.29,0.09,1.25,26M08,2.0,0.0,15.8,0,0,0.0,0.0,0.0,0,0,2.0,0.0,15.8,0,0
1315,4946,辣椒,92.9,-1.7,-1.8,26M08,0.4,0.0,45.3,0,0,0.01,0.0,1.02,0,0,0.41,0.0,46.3,0,0
1316,4949,有成精密,76.5,-0.2,-0.26,26M08,1.01,54.0,14.9,0,0,0.0,0.0,0.0,0,0,1.01,54.0,14.9,0,0
1317,4950,金耘國際,15.75,0.0,0.0,26M08,3.15,0.0,54.5,0,0,0.0,0.0,0.0,0,0,3.15,0.0,54.5,0,0
1318,4951,精拓科,83.1,1.0,1.22,26M08,0.34,0.0,10.1,0,0,0.0,0.0,0.0,0,0,0.34,0.0,10.1,0,0
1319,4952,凌通,47.25,-0.85,-1.77,26M08,3.71,0.0,34.1,0,0,0.0,0.0,0.0,0,0,3.71,0.0,34.1,0,0
1320,4953,緯致,118.5,1.0,0.85,26M08,2.06,127.0,28.2,0,0,0.0,0.0,0.0,0,0,2.06,127.0,28.2,0,0
1321,4956,光鋐,32.05,-1.75,-5.18,26M08,2.03,-44.0,20.3,0,0,0.0,0.0,0.0,0,0,2.03,-44.0,20.3,0,0
1322,4961,天鈺,170.0,-2.5,-1.45,26M08,0.13,0.0,1.11,0,0,0.0,0.0,0.0,0,0,0.13,0.0,1.11,0,0
1323,4967,十銓,280.5,4.0,1.45,26M08,0.4,0.0,4.75,0,0,0.0,0.0,0.0,0,0,0.4,0.0,4.75,0,0
1324,4968,立積,88.2,-0.6,-0.68,26M08,0.79,0.0,8.58,0,0,0.0,0.0,0.01,0,0,0.79,0.0,8.59,0,0
1325,4972,湯石照明,16.25,-0.15,-0.91,26M08,0.69,0.0,12.1,0,0,0.0,0.0,0.0,0,0,0.69,0.0,12.1,0,0
1326,4973,廣穎,138.5,-5.5,-3.82,26M08,0.6,0.0,9.18,0,0,0.0,0.0,0.0,0,0,0.6,0.0,9.18,0,0
1327,4974,亞泰,71.8,-0.2,-0.28,26M08,1.9,0.0,26.2,0,0,0.0,0.0,0.0,0,0,1.9,0.0,26.2,0,0
1328,4976,佳凌,36.1,-0.8,-2.17,26M08,2.93,0.0,20.7,0,0,0.0,0.0,0.0,0,0,2.93,0.0,20.7,0,0
1329,4977,眾達-KY,175.0,2.0,1.16,26M08,0.09,0.0,1.09,0,0,0.0,0.0,0.0,0,0,0.09,0.0,1.09,0,0
1330,4979,華星光,531.0,-40.0,-7.01,26M08,0.0,0.0,0.01,0,0,0.0,0.0,0.01,0,0,0.0,0.0,0.02,0,0
1331,4989,榮科,60.1,-2.1,-3.38,26M08,1.27,0.0,7.34,0,0,0.0,0.0,0.0,0,0,1.27,0.0,7.34,0,0
1332,4991,環宇-KY,448.5,-39.5,-8.09,26M08,0.0,0.0,0.02,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.02,0,0
1333,4999,鑫禾,18.05,-0.05,-0.28,26M08,1.27,0.0,17.1,0,0,0.0,0.0,0.0,0,0,1.27,0.0,17.1,0,0
1334,5007,三星,55.8,-0.4,-0.71,26M08,2.64,0.0,8.94,0,0,0.0,0.0,0.02,0,0,2.64,0.0,8.96,0,0
1335,5009,榮剛,32.35,-0.2,-0.61,26M08,6.29,0.0,10.4,0,0,0.0,0.0,0.0,0,0,6.29,0.0,10.4,0,0
1336,5011,久陽,18.3,-0.2,-1.08,26M08,0.02,0.0,0.19,0,0,0.0,0.0,0.0,0,0,0.02,0.0,0.19,0,0
1337,5015,華祺,21.85,0.0,0.0,26M08,0.93,0.0,15.4,0,0,0.0,0.0,0.0,0,0,0.93,0.0,15.4,0,0
1338,5016,松和,24.45,-0.1,-0.41,26M08,1.19,0.0,23.9,0,0,0.03,0.0,0.53,0,0,1.21,0.0,24.4,0,0
1339,5202,力新,11.75,0.05,0.43,26M08,1.51,15001.0,17.0,0,0,0.0,0.0,0.0,0,0,1.51,15001.0,17.0,0,0
1340,5203,訊連,55.8,0.2,0.36,26M08,1.51,0.0,19.5,0,0,0.01,0.0,0.09,0,0,1.52,0.0,19.6,0,0
1341,5205,中茂,19.85,0.05,0.25,26M08,0.45,700.0,33.3,0,0,0.0,0.0,0.0,0,0,0.45,700.0,33.3,0,0
1342,5206,坤悅,22.45,-0.3,-1.32,26M08,1.28,0.0,7.11,0,0,0.0,0.0,0.0,0,0,1.28,0.0,7.11,0,0
1343,5209,新鼎,172.5,6.0,3.6,26M08,1.25,0.0,43.6,0,0,0.0,0.0,0.0,0,0,1.25,0.0,43.6,0,0
1344,5211,蒙恬,19.95,-0.35,-1.72,26M08,0.64,0.0,19.9,0,0,0.0,0.0,0.0,0,0,0.64,0.0,19.9,0,0
