排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
231,2317,鴻海,260.0,-4.5,-1.7,26W29,07/17,67.7,0.0,66.8,-0.04,66.0,-0.07
232,00876,元大全球5G,88.0,0.0,0.0,26W29,07/17,24.2,14.1,22.5,13.5,21.6,12.5
233,911868,同方友友-DR,1.19,0.01,0.85,26W29,07/17,30.7,-0.11,26.9,0.34,23.7,0.33
234,5536,聖暉*,1060.0,-10.0,-0.93,26W29,07/17,48.8,0.9,39.3,0.35,37.9,0.35
235,1315,達新,63.9,0.0,0.0,26W29,07/17,75.4,0.0,71.2,0.0,70.2,0.0
236,6873,泓德能源,77.7,-0.9,-1.15,26W29,07/17,58.0,0.42,54.4,-0.01,52.5,0.01
237,4935,茂林-KY,34.8,0.15,0.43,26W29,07/17,60.3,-0.07,59.1,-0.68,56.9,0.02
238,00671R,富邦NASDAQ反1,2.43,0.0,0.0,26W29,07/17,61.6,0.0,57.0,-0.11,51.7,-0.3
239,4766,南寶,326.5,6.5,2.03,26W29,07/17,65.5,0.13,64.3,0.13,62.0,0.13
240,6257,矽格,199.5,-7.5,-3.62,26W29,07/17,47.9,-0.59,43.9,-0.76,42.3,0.14
241,3653,健策,4380.0,-70.0,-1.57,26W29,07/17,65.5,-0.2,61.6,-1.21,59.6,-0.1
242,2426,鼎元,67.8,3.9,6.1,26W29,07/17,40.7,-2.26,39.6,-2.25,37.8,-2.84
243,2363,矽統,53.7,0.7,1.32,26W29,07/17,35.4,-0.59,34.2,-0.78,31.3,-1.43
244,2374,佳能,70.0,0.4,0.57,26W29,07/17,26.1,-0.55,24.2,0.08,23.1,0.08
245,1795,美時,188.0,-0.5,-0.27,26W29,07/17,55.3,-0.45,54.5,-0.19,52.7,-0.51
246,00991B,貝萊德A級公司債,15.04,-0.13,-0.86,,,,,,,,
247,00647L,元大S&P500正2,141.45,-1.25,-0.88,26W29,07/17,27.5,0.75,27.5,0.75,27.5,0.75
248,00904,台新臺灣半導體30,39.15,-0.31,-0.79,26W29,07/17,11.5,-0.72,8.42,-1.26,6.15,-0.69
249,2302,麗正,42.9,-0.15,-0.35,26W29,07/17,59.5,-0.41,57.8,0.0,56.7,0.0
250,2618,長榮航,44.4,1.15,2.66,26W29,07/17,78.6,0.24,77.4,0.2,76.6,0.25
251,4707,磐亞,31.9,-1.95,-5.76,26W29,07/17,70.1,0.53,68.5,0.18,66.2,0.14
252,1563,巧新,58.8,1.2,2.08,26W29,07/17,42.7,0.73,40.3,0.81,35.7,0.8
253,2498,宏達電,39.9,-0.7,-1.72,26W29,07/17,36.8,-0.28,34.7,-0.03,33.8,-0.04
254,00958B,永豐ESG銀行債15+,9.23,-0.05,-0.54,26W29,07/17,19.9,0.16,19.4,0.16,18.0,0.92
255,1519,華城,653.0,-9.0,-1.36,26W29,07/17,69.2,-0.45,67.1,-0.76,65.4,-0.86
256,00786B,元大10年IG銀行債,32.64,-0.31,-0.94,26W29,07/17,25.0,-0.02,25.0,-0.02,20.7,0.22
257,8044,網家,28.0,0.65,2.38,26W29,07/17,59.1,0.33,57.5,0.03,54.8,-0.02
258,8261,富鼎,172.0,-14.5,-7.77,26W29,07/17,50.9,-0.02,49.7,1.21,44.4,0.44
259,2069,運錩,19.6,0.2,1.03,26W29,07/17,59.4,0.06,53.8,0.04,52.2,0.03
260,3362,先進光,173.5,-2.5,-1.42,26W29,07/17,56.2,0.59,52.0,0.6,48.8,-0.68
261,00706L,期元大S&P日圓正2,19.22,-0.17,-0.88,26W29,07/17,25.7,0.24,22.6,0.26,19.6,0.23
262,3622,洋華,54.4,0.4,0.74,26W29,07/17,56.9,-0.48,55.5,-0.57,53.7,0.02
263,6175,立敦,74.9,-2.0,-2.6,26W29,07/17,61.9,4.32,59.8,3.83,59.1,3.2
264,2605,新興,32.55,0.55,1.72,26W29,07/17,51.0,0.56,49.9,0.57,49.1,0.42
265,912000,晨訊科-DR,2.62,-0.04,-1.5,26W29,07/17,28.9,0.62,25.5,0.65,23.2,0.65
266,7777,能率亞洲,40.35,-1.35,-3.24,26W29,07/17,68.5,-0.06,65.9,-1.2,63.0,-0.69
267,8932,智通*,98.0,-3.0,-2.97,26W29,07/17,78.9,0.03,76.5,0.03,75.1,-0.46
268,00850,元大臺灣ESG永續,88.0,-0.5,-0.56,26W29,07/17,16.7,-0.12,16.5,-0.12,15.6,0.12
269,2312,金寶,31.3,-0.9,-2.8,26W29,07/17,45.2,-0.01,43.9,-0.1,42.9,0.02
270,00688L,國泰20年美債正2,6.44,-0.13,-1.98,26W29,07/17,41.2,0.06,36.9,0.2,33.0,0.34
271,00910,第一金太空衛星,61.05,-0.05,-0.08,26W29,07/17,11.9,-0.5,11.4,-0.46,10.7,-1.12
272,2337,旺宏,121.5,-7.5,-5.81,26W29,07/17,42.3,-1.23,40.6,-1.22,39.9,-1.16
273,2316,楠梓電,159.5,-3.0,-1.85,26W29,07/17,63.3,-0.67,60.3,-1.12,58.7,-1.11
274,1711,永光,34.6,-0.9,-2.54,26W29,07/17,41.9,0.57,40.9,1.09,39.7,1.09
275,2637,慧洋-KY,87.9,2.4,2.81,26W29,07/17,80.8,0.94,79.1,1.03,78.0,1.05
276,6241,鑫永洋,15.85,0.45,2.92,26W29,07/17,43.6,-0.31,40.6,0.0,38.8,0.0
277,3624,光頡,74.8,-0.8,-1.06,26W29,07/17,57.6,-2.06,54.7,-3.78,52.5,-4.43
278,3062,建漢,20.3,-0.35,-1.69,26W29,07/17,21.1,-0.72,17.9,-0.51,16.0,-0.77
279,3702,大聯大,122.5,-3.0,-2.39,26W29,07/17,82.3,0.12,80.4,0.26,79.0,0.07
280,009815,大華美國MAG7+,11.69,0.0,0.0,26W29,07/17,19.3,0.34,17.6,0.43,16.2,0.41
281,1536,和大,51.4,0.4,0.78,26W29,07/17,31.7,1.22,30.0,1.29,28.4,1.32
282,00967B,元大優息美債,9.05,-0.08,-0.88,26W29,07/17,67.2,0.12,66.1,0.17,62.4,-0.32
283,4722,國精化,232.0,2.0,0.87,26W29,07/17,55.3,0.72,49.7,0.69,47.0,-0.19
284,6188,廣明,71.1,-0.8,-1.11,26W29,07/17,40.2,-0.66,38.0,-0.37,36.1,-0.34
285,5355,佳總,5.6,0.07,1.27,26W29,07/17,68.4,0.09,65.9,0.51,62.6,0.0
286,00980T,平衡凱基美國TOP,12.05,0.01,0.08,26W29,07/17,46.2,3.47,43.1,3.56,43.1,3.56
287,6120,達運,13.45,0.0,0.0,26W29,07/17,58.4,-0.28,57.2,-0.65,56.4,-0.2
288,2102,泰豐,18.65,-0.1,-0.53,26W29,07/17,79.1,0.03,77.7,0.03,76.5,0.03
289,7721,微程式,62.0,0.6,0.98,26W29,07/17,56.8,0.01,55.6,0.0,52.0,0.0
290,6443,元晶,26.0,-0.7,-2.62,26W29,07/17,15.4,0.15,14.7,0.25,14.0,-0.08
291,2379,瑞昱,750.0,6.0,0.81,26W29,07/17,68.2,0.33,63.5,0.1,59.0,-0.49
292,00927,群益半導體收益,35.54,-0.44,-1.22,26W29,07/17,10.2,1.82,9.25,1.69,8.56,1.92
293,2732,六角,64.0,0.0,0.0,26W29,07/17,53.5,0.04,53.5,0.04,53.5,0.04
294,2495,普安,36.85,-2.15,-5.51,26W29,07/17,47.5,-0.93,45.7,-1.21,43.3,-1.61
295,2329,華泰,44.0,-0.6,-1.35,26W29,07/17,49.5,-0.56,48.1,-1.05,46.9,-0.97
296,6220,岳豐,26.0,-0.65,-2.44,26W29,07/17,58.9,0.02,56.5,0.57,53.6,0.67
297,8163,達方,31.15,0.3,0.97,26W29,07/17,43.7,0.41,41.9,0.49,41.0,-0.1
298,3312,弘憶股,48.0,0.3,0.63,26W29,07/17,43.2,-0.47,42.5,-0.07,42.5,-0.07
299,6285,啟碁,233.0,-14.0,-5.67,26W29,07/17,60.7,0.42,58.4,0.12,56.7,-0.26
300,3715,定穎投控,114.5,-2.0,-1.72,26W29,07/17,27.4,-1.32,24.1,-1.77,21.8,-1.44
