排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1501,4426,利勤,市,7.81,0.0,0.0,63,08/21,11,0,0,11,3.85,2.2,＋・・
1502,7705,三商餐飲,市,30.95,0.1,0.32,18,08/21,1,0,0,1,1.48,2.2,＋・・
1503,4930,燦星網,市,16.15,-0.05,-0.31,14,08/21,6,0,0,6,1.78,2.2,＋・・
1504,00640L,富邦日本正2,市,106.6,0.7,0.66,37,08/21,2,0,10,12,0.14,2.2,＋・＋
1505,2022,聚亨,市,7.77,0.01,0.13,343,08/21,83,0,0,83,7.43,2.2,＋・・
1506,4577,達航科技,櫃,75.8,-1.4,-1.81,184,08/21,-46,0,0,-46,1.08,2.2,－・－
1507,3276,宇環,櫃,14.35,-0.15,-1.03,80,08/21,-36,0,0,-36,1.53,2.2,－・－
1508,9908,大台北,市,29.2,0.05,0.17,123,08/21,46,0,9,55,11.4,2.2,＋・＋
1509,00682U,期元大美元指數,市,20.29,0.0,0.0,0,08/21,0,0,0,0,0.17,2.2,・・－
1510,00927,群益半導體收益,市,35.45,0.15,0.42,4140,08/21,434,0,-92,342,29.6,2.2,＋・－
1511,00984A,主動安聯台灣高息,市,15.15,-0.03,-0.2,2470,08/21,-176,0,364,188,14.2,2.2,－・＋
1512,3346,麗清,市,20.5,0.4,1.99,240,08/21,20,0,0,20,2.65,2.2,＋・－
1513,009804,聯邦台精彩50,市,21.93,0.1,0.46,198,08/21,-6,0,90,84,3.41,2.2,－・＋
1514,3058,立德,市,8.26,0.11,1.35,275,08/21,130,0,0,130,4.38,2.2,＋・・
1515,4916,事欣科,市,98.7,-0.6,-0.6,1579,08/21,-160,0,-8,-168,2.41,2.2,－・－
1516,6226,光鼎,市,21.2,-0.8,-3.64,7638,08/21,33,0,-10,23,2.51,2.2,＋・－
1517,4972,湯石照明,櫃,16.6,0.05,0.3,14,08/21,0,0,0,0,1.23,2.2,・・＋
1518,6432,今展科,櫃,66.1,-0.4,-0.6,339,08/21,-55,0,-2,-57,0.74,2.2,－・－
1519,7835,永悅健康-創,市,20.65,-0.05,-0.24,60,08/21,6,0,-3,3,1.01,2.2,＋・－
1520,4729,熒茂,櫃,19.0,0.0,0.0,41,08/21,-14,0,1,-13,1.7,2.2,－・＋
1521,6023,元大期,櫃,82.8,0.3,0.36,655,08/21,62,0,0,62,7.93,2.2,＋・・
1522,6229,研通,櫃,23.4,-0.15,-0.64,47,08/21,7,0,0,7,0.87,2.2,＋・－
1523,3623,富晶通,櫃,21.7,0.15,0.7,48,08/21,3,0,0,3,0.63,2.1,＋・＋
1524,4707,磐亞,櫃,32.9,0.35,1.08,2266,08/21,106,0,2,109,8.68,2.1,＋・＋
1525,6658,聯策,市,161.0,-3.0,-1.83,174,08/21,-23,0,-1,-24,0.78,2.1,－・－
1526,2597,潤弘,市,169.5,0.5,0.3,111,08/21,17,0,4,21,6.64,2.1,＋・＋
1527,3094,聯傑,市,35.75,-0.15,-0.42,458,08/21,25,0,1,26,1.77,2.1,＋・＋
1528,6792,詠業,市,58.8,-0.2,-0.34,21,08/21,-1,0,2,1,1.02,2.1,－・＋
1529,7786,東方風能,市,122.0,-1.0,-0.81,91,08/21,-10,0,-25,-35,3.76,2.1,－・－
1530,8403,盛弘,櫃,19.7,0.05,0.25,129,08/21,32,0,0,32,2.94,2.1,＋・・
1531,00913,兆豐台灣晶圓製造,市,45.65,0.16,0.35,905,08/21,317,0,-234,83,1.25,2.1,＋・－
1532,1468,昶和,市,13.25,0.15,1.15,63,08/21,2,0,-1,1,3.41,2.1,＋・－
1533,3339,泰谷,櫃,38.15,0.2,0.53,805,08/21,143,0,0,143,1.41,2.1,＋・－
1534,8927,北基,櫃,20.4,0.4,2.0,237,08/21,140,0,1,141,8.87,2.1,＋・＋
1535,2348,海悅,市,72.4,0.6,0.84,509,08/21,150,0,-5,146,3.19,2.1,＋・－
1536,3027,盛達,市,18.1,-0.1,-0.55,69,08/21,33,0,0,33,2.73,2.1,＋・・
1537,4121,優盛,櫃,13.05,-0.15,-1.14,41,08/21,-5,0,0,-5,1.75,2.1,－・＋
1538,5299,杰力,櫃,98.5,-0.2,-0.2,153,08/21,-13,0,-1,-14,1.07,2.1,－・－
1539,6133,金橋,市,22.2,0.05,0.23,234,08/21,68,0,0,68,2.45,2.1,＋・・
1540,7704,明遠精密,櫃,62.6,-0.4,-0.63,25,08/21,-2,0,0,-2,0.71,2.1,－・－
1541,3252,海灣,櫃,16.3,0.5,3.16,67,08/21,8,0,0,8,1.05,2.1,＋・・
1542,2017,官田鋼,市,9.19,0.0,0.0,324,08/21,-5,0,5,0,9.29,2.1,－・＋
1543,3321,同泰,市,18.15,0.15,0.83,143,08/21,33,0,-2,31,1.78,2.1,＋・－
1544,3379,彬台,櫃,28.85,-0.4,-1.37,58,08/21,1,0,0,1,0.79,2.1,＋・＋
1545,4989,榮科,市,61.9,-0.1,-0.16,2917,08/21,328,0,-21,307,3.59,2.1,＋・－
1546,6875,國邑*,櫃,32.2,-0.5,-1.53,24,08/21,-11,0,0,-11,2.69,2.1,－・－
1547,7819,精誠金融,櫃,35.3,-0.15,-0.42,13,08/21,7,0,0,7,0.52,2.1,＋・・
1548,00762,元大全球AI,市,112.6,0.35,0.31,17,08/21,-1,0,1,0,0.99,2.0,－・＋
1549,2729,瓦城,櫃,161.0,0.5,0.31,28,08/21,11,0,0,11,0.88,2.0,＋・・
1550,6194,育富,櫃,29.45,0.0,0.0,13,08/21,-2,0,0,-2,0.99,2.0,－・・
1551,7730,暉盛-創,市,167.0,3.5,2.14,29,08/21,3,0,0,3,0.76,2.0,＋・・
1552,4438,廣越,市,60.7,0.0,0.0,24,08/21,8,0,0,8,2.31,2.0,＋・・
1553,1464,得力,市,10.3,0.1,0.98,171,08/21,59,0,0,59,8.66,2.0,＋・・
1554,4113,聯上,櫃,14.8,0.1,0.68,32,08/21,8,0,0,8,4.71,2.0,＋・＋
1555,6925,意藍,櫃,50.8,0.1,0.2,5,08/21,0,0,0,0,0.41,2.0,・・・
1556,9930,中聯資源,市,64.1,0.5,0.79,79,08/21,26,0,6,32,5.03,2.0,＋・＋
1557,1570,力肯,櫃,33.45,0.4,1.21,12,08/21,2,0,0,2,1.04,2.0,＋・・
1558,1603,華電,市,30.8,0.0,0.0,96,08/21,22,0,0,22,3.84,2.0,＋・・
1559,5210,寶碩,櫃,28.6,-0.05,-0.17,51,08/21,11,0,0,11,1.64,2.0,＋・・
1560,1264,德麥,櫃,255.0,-1.0,-0.39,30,08/21,-11,0,-1,-12,0.74,2.0,－・－
1561,1294,漢田生技,櫃,56.0,0.3,0.54,5,08/21,0,0,0,0,0.73,2.0,・・・
1562,1459,聯發,市,14.7,0.2,1.38,134,08/21,18,0,0,18,5.31,2.0,＋・・
1563,6129,普誠,櫃,13.7,-0.15,-1.08,535,08/21,-49,0,0,-49,3.58,2.0,－・－
1564,1457,宜進,市,14.5,0.15,1.05,80,08/21,23,0,1,24,6.22,2.0,＋・＋
1565,00737,國泰AI機器人,市,40.81,-0.26,-0.63,38,08/21,-1,0,-17,-18,0.44,2.0,－・－
1566,3712,永崴投控,市,20.65,0.15,0.73,781,08/21,-28,0,0,-28,4.81,2.0,－・・
1567,6276,安鈦克,櫃,19.7,0.1,0.51,28,08/21,-1,0,0,-1,0.43,2.0,－・－
1568,7777,能率亞洲,櫃,40.9,2.9,7.63,3929,08/21,835,0,24,859,3.65,2.0,＋・＋
1569,4503,金雨,櫃,24.0,-0.35,-1.44,185,08/21,26,0,0,26,1.53,1.9,＋・－
1570,4550,長佳,櫃,24.45,0.05,0.2,39,08/21,0,0,0,0,0.73,1.9,・・－
1571,4711,永純,櫃,16.7,0.0,0.0,95,08/21,12,0,0,12,1.18,1.9,＋・・
1572,00799B,國泰A級醫療債,櫃,28.5,-0.27,-0.94,161,08/21,-44,0,14,-30,0.5,1.9,－・＋
1573,1460,宏遠,市,6.74,0.12,1.81,321,08/21,2,0,0,2,13.4,1.9,＋・・
1574,1524,耿鼎,市,27.45,0.2,0.73,307,08/21,73,0,0,73,3.16,1.9,＋・・
1575,1809,中釉,市,38.35,0.4,1.05,668,08/21,115,0,0,116,3.21,1.9,＋・＋
1576,3494,誠研,市,7.1,0.01,0.14,35,08/21,-11,0,0,-11,1.82,1.9,－・・
1577,3652,精聯,市,34.1,-0.3,-0.87,96,08/21,-56,0,11,-45,1.44,1.9,－・＋
1578,8072,陞泰,市,26.35,0.0,0.0,54,08/21,-16,0,0,-16,1.53,1.9,－・・
1579,1339,昭輝,市,45.5,0.3,0.66,55,08/21,9,0,1,10,1.41,1.9,＋・＋
1580,6790,永豐實,市,38.35,-0.15,-0.39,75,08/21,3,0,0,3,5.09,1.9,＋・・
1581,3128,昇銳,櫃,22.25,0.1,0.45,55,08/21,16,0,0,16,0.9,1.9,＋・＋
1582,3710,連展投控,櫃,5.25,0.0,0.0,184,08/21,60,0,0,60,5.44,1.9,＋・・
1583,5014,建錩,櫃,10.25,0.1,0.99,222,08/21,-40,0,0,-40,3.46,1.9,－・－
1584,2038,海光,市,12.75,-0.05,-0.39,398,08/21,12,0,2,14,3.65,1.9,＋・＋
1585,4440,宜新實業,市,17.5,0.0,0.0,55,08/21,13,0,2,15,1.27,1.9,＋・＋
1586,4806,桂田文創,櫃,9.27,0.0,0.0,18,08/21,0,0,0,0,1.88,1.9,－・・
