單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"10,711,456,439","10,816,477,933","-105,021,494"
自營商(避險),"24,975,099,693","31,182,896,786","-6,207,797,093"
投信,"22,397,527,818","13,541,891,287","8,855,636,531"
外資及陸資(不含外資自營商),"388,458,385,571","386,438,567,431","2,019,818,140"
外資自營商,0,0,0
合計,"446,542,469,521","441,979,833,437","4,562,636,084"
