排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1847,1457,宜進,14.5,0.05,0.35,26W37,09/11,17.5,-0.04,20.7,-0.03,25.0,-0.01,27.6,-0.01
1848,4442,竣邦-KY,55.0,1.0,1.85,26W37,09/11,12.2,-0.07,14.8,0.48,24.9,0.87,30.9,0.86
1849,4556,旭然,94.6,8.6,10.0,26W37,09/11,20.5,-0.57,23.3,0.01,24.9,0.02,24.9,0.02
1850,7750,新代,1995.0,-220.0,-9.93,26W37,09/11,13.4,0.08,17.7,0.55,24.8,-0.09,32.7,-0.1
1851,2504,國產,31.3,-0.15,-0.48,26W37,09/11,18.0,-0.06,21.7,-0.05,24.8,-0.1,27.0,-0.13
1852,4764,雙鍵,215.0,-5.5,-2.49,26W37,09/11,16.4,0.1,19.8,-0.41,24.8,-0.12,29.7,0.0
1853,5880,合庫金,27.2,0.35,1.3,26W37,09/11,16.5,-0.31,20.9,-0.26,24.8,-0.25,26.8,-0.19
1854,1339,昭輝,42.95,-0.15,-0.35,26W37,09/11,21.4,-0.15,23.6,0.03,24.8,0.03,25.5,-0.02
1855,9928,中視,17.6,-0.1,-0.56,26W37,09/11,17.8,-0.17,20.2,0.0,24.8,0.0,28.9,0.0
1856,6671,三能-KY,23.0,0.0,0.0,26W37,09/11,13.9,-0.01,18.3,-0.01,24.8,-0.01,34.7,0.0
1857,7839,達人網,42.15,-1.8,-4.1,26W37,09/11,12.2,0.01,17.1,0.0,24.8,0.0,35.2,0.0
1858,5438,東友,16.6,-0.1,-0.6,26W37,09/11,19.8,0.0,21.5,0.0,24.8,0.0,25.6,0.0
1859,2073,雄順,25.25,-1.35,-5.08,26W37,09/11,10.4,0.0,14.5,0.0,24.8,0.0,32.7,0.0
1860,2603,長榮,234.5,3.5,1.52,26W37,09/11,20.2,0.23,22.4,0.29,24.8,0.29,26.7,0.3
1861,6757,台灣虎航,54.2,0.0,0.0,26W37,09/11,21.9,0.13,23.1,0.13,24.7,-0.06,25.9,0.13
1862,2491,吉祥全,39.6,-1.5,-3.65,26W37,09/11,19.4,0.82,21.9,0.89,24.7,1.55,30.0,3.02
1863,2357,華碩,924.0,-65.0,-6.57,26W37,09/11,16.8,-0.11,20.4,-0.06,24.7,-0.2,28.6,-0.01
1864,1617,榮星,17.5,-0.55,-3.05,26W37,09/11,19.1,0.01,21.8,0.01,24.7,0.27,26.7,-0.03
1865,1605,華新,37.4,-0.4,-1.06,26W37,09/11,20.5,-0.05,22.6,-0.06,24.6,-0.01,25.7,-0.04
1866,7744,崴寶,497.0,-17.0,-3.31,26W37,09/11,13.6,0.3,18.7,0.39,24.6,0.29,26.2,0.31
1867,3168,眾福科,42.75,0.3,0.71,26W37,09/11,15.4,-0.14,17.8,-0.01,24.5,-0.01,27.3,0.0
1868,1301,台塑,64.6,-1.0,-1.52,26W37,09/11,20.1,0.14,22.5,0.15,24.5,0.18,25.6,0.21
1869,6870,騰雲,306.5,20.0,6.98,26W37,09/11,15.9,0.26,18.1,-0.46,24.5,0.3,32.8,0.29
1870,7780,大研生醫*,16.4,-0.15,-0.91,26W37,09/11,21.1,-0.1,22.8,-0.09,24.4,-0.1,25.4,0.03
1871,5344,立衛,13.5,0.25,1.89,26W37,09/11,21.5,0.04,23.5,0.0,24.4,0.0,25.7,0.0
1872,00751B,元大AAA至A公司債,29.82,-0.16,-0.53,26W37,09/11,16.6,-0.01,21.2,0.02,24.4,0.01,25.8,0.0
1873,2887,台新新光金,42.65,0.5,1.19,26W37,09/11,17.0,0.0,21.0,-0.01,24.4,-0.03,26.2,-0.04
1874,6863,永道-KY,91.2,-8.0,-8.06,26W37,09/11,17.5,0.11,21.0,-0.15,24.4,0.02,25.7,0.0
1875,8478,東哥遊艇,141.5,0.5,0.35,26W37,09/11,20.0,-0.11,22.1,-0.02,24.3,0.0,24.3,0.0
1876,3188,鑫龍騰,23.65,-0.25,-1.05,26W37,09/11,15.8,0.0,20.0,-0.03,24.3,-0.06,28.1,0.0
1877,1453,大將,10.95,-0.15,-1.35,26W37,09/11,20.9,-0.05,22.7,-0.24,24.3,0.0,25.6,0.0
1878,2845,遠東銀,13.7,0.25,1.86,26W37,09/11,15.7,-0.07,20.1,-0.07,24.3,-0.07,26.4,-0.06
1879,1535,中宇,45.05,-0.15,-0.33,26W37,09/11,21.1,-0.05,22.6,-0.04,24.3,-0.04,24.7,-0.04
1880,00656R,國泰中國A50反1,5.93,0.09,1.54,26W37,09/11,16.5,-0.03,22.9,-0.03,24.2,-1.09,38.6,-1.09
1881,1233,天仁,28.2,0.2,0.71,26W37,09/11,12.9,-0.04,18.1,-0.04,24.2,-0.07,28.3,-0.07
1882,4585,達明,298.0,7.5,2.58,26W37,09/11,21.4,-0.3,23.4,0.03,24.1,0.0,24.7,0.0
1883,2423,固緯,72.2,-0.8,-1.1,26W37,09/11,15.3,0.01,18.7,-0.11,24.1,-0.02,27.0,-0.02
1884,6585,鼎基,103.0,-0.5,-0.48,26W37,09/11,18.3,0.26,21.1,0.29,24.1,0.16,25.5,0.89
