"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"402","3450","聯鈞","市","526","-19","-3.49","8,653","09/22","-1,997","-450","+53","-2,394","25.3","17.3","－－＋"
"403","4931","新盛力","櫃","240.5","+1","+0.42","5,285","09/22","-514","0","+48","-466","11.3","17.3","－・＋"
"404","6510","精測","櫃","3700","+215","+6.17","1,531","09/22","-252","-10","+17","-245","5.65","17.2","－－＋"
"405","8021","尖點","市","477","+11","+2.36","13,223","09/22","-522","+1,852","-137","+1,193","24.9","17.2","－＋－"
"406","6005","群益證","市","32.4","+0.15","+0.47","10,840","09/22","-297","-1","0","-298","418","17","－－・"
"407","2929","淘帝-KY","市","5.79","0","0","47","09/22","+16","0","-1","+15","18.6","17","＋・－"
"408","8383","千附","櫃","66.4","-0.6","-0.9","608","09/22","-116","0","-4","-119","19.3","17","－・－"
"409","2401","凌陽","市","25.75","-0.5","-1.9","3,058","09/22","+303","0","-46","+258","100","16.9","＋・－"
"410","3526","凡甲","櫃","271.5","+1","+0.37","177","09/22","+39","-43","+1","-4","11.1","16.9","＋－＋"
"411","4139","馬光-KY","櫃","41","+0.25","+0.61","21","09/22","-2","0","0","-2","7.61","16.9","－・・"
"412","2834","臺企銀","市","18.25","-0.1","-0.54","16,456","09/22","-4,378","0","+2","-4,375","1,741","16.7","－・＋"
"413","1714","和桐","市","16.1","+0.15","+0.94","7,401","09/22","+1,853","0","-73","+1,780","164","16.5","＋・－"
"414","9939","宏全","市","125.5","-0.5","-0.4","780","09/22","-161","0","-1","-162","48.7","16.5","－・－"
"415","2801","彰銀","市","28.35","-0.1","-0.35","14,996","09/22","+11","-143","+38","-95","1,984","16.4","＋－＋"
"416","6202","盛群","市","57.8","+0.3","+0.52","2,040","09/22","+852","0","+3","+855","37.9","16.4","＋・＋"
"417","6770","力積電","市","71.8","-0.9","-1.24","95,975","09/22","+8,723","-27","+626","+9,322","768","16.3","＋－＋"
"418","8086","宏捷科","櫃","110","+0.5","+0.46","1,983","09/22","+466","0","+51","+516","32.1","16.3","＋・＋"
"419","7750","新代","市","1945","-15","-0.77","171","09/22","-64","0","-2","-66","11.7","16.2","－・－"
"420","8227","巨有科技","櫃","305","+17.5","+6.09","1,714","09/22","+5","0","+43","+48","6.38","16.1","＋・＋"
"421","5287","數字","櫃","137.5","+0.5","+0.36","83","09/22","-29","+18","0","-11","9.72","16.1","－＋＋"
"422","9907","統一實","市","14.9","-0.05","-0.33","1,387","09/22","-520","+461","0","-59","254","16.1","－＋・"
"423","2408","南亞科","市","497","-19","-3.68","63,282","09/22","-22,445","-103","-1,155","-23,703","498","16.1","－－－"
"424","00683L","期元大美元指正2","市","21.82","+0.09","+0.41","136","09/22","+37","0","+9","+46","1.84","16","＋・＋"
"425","4939","亞電","櫃","76.7","-2.1","-2.66","5,817","09/22","-603","0","-75","-678","15.8","16","－・－"
"426","6426","統新","市","356","-18","-4.81","3,057","09/22","-433","0","0","-433","6.17","16","－・＋"
"427","3035","智原","市","203","+12","+6.28","15,188","09/22","+2,688","0","+734","+3,421","41.6","16","＋・＋"
"428","6538","倉和","櫃","445.5","+19","+4.45","4,261","09/22","-148","0","-64","-212","6.21","16","－・－"
"429","3317","尼克森","櫃","60.5","+4.3","+7.65","1,595","09/22","+21","0","+13","+34","14.3","15.9","＋・＋"
"430","7856","漢測","櫃","4730","+2480","+110","2,112","09/22","+327","+249","0","+576","5.25","15.9","＋＋・"
"431","6525","捷敏-KY","市","133","+0.5","+0.38","558","09/22","+227","0","0","+226","20.5","15.9","＋・－"
"432","6693","廣閎科","櫃","179.5","+1.5","+0.84","586","09/22","+101","0","+6","+107","7.24","15.8","＋・＋"
"433","9925","新保","市","39.65","+0.05","+0.13","311","09/22","-29","0","-2","-31","61.4","15.8","－・－"
"434","4766","南寶","市","342","-1.5","-0.44","81","09/22","+9","0","-1","+8","19.1","15.8","＋・－"
"435","1612","宏泰","市","35.05","+0.05","+0.14","287","09/22","+104","0","+4","+108","50","15.8","＋・＋"
"436","5227","立凱-KY","櫃","30.85","0","0","269","09/22","+17","0","0","+17","10.8","15.8","＋・－"
"437","3545","敦泰","市","52","+0.3","+0.58","804","09/22","+337","0","0","+337","35","15.7","＋・＋"
"438","3689","湧德","櫃","108","-1.5","-1.37","532","09/22","-59","0","-4","-63","13.9","15.6","－・－"
"439","3490","單井","櫃","45.5","+0.3","+0.66","3,080","09/22","-221","0","0","-221","8.58","15.6","－・＋"
"440","5609","中菲行","櫃","78.7","-0.1","-0.13","43","09/22","-7","0","+2","-5","22.3","15.6","－・＋"
"441","4943","康控-KY","市","7.01","-0.09","-1.27","18","09/22","0","0","0","0","19.8","15.6","・・・"
"442","2459","敦吉","市","65.6","+0.1","+0.15","40","09/22","-18","0","0","-18","16.4","15.5","－・・"
"443","6754","匯僑設計","市","41.8","-0.45","-1.07","7","09/22","-2","0","0","-2","10.2","15.5","－・・"
"444","6499","益安","櫃","73.5","-1.6","-2.13","316","09/22","-86","0","0","-86","15","15.4","－・・"
"445","1537","廣隆","市","115","-1","-0.86","55","09/22","-13","0","0","-13","12.6","15.4","－・・"
"446","6190","萬泰科","櫃","69","-1.2","-1.71","2,178","09/22","-460","0","-4","-464","28.7","15.4","－・－"
"447","6805","富世達","市","2500","+85","+3.52","1,915","09/22","-151","+431","-9","+271","10.5","15.4","－＋－"
"448","3455","由田","櫃","247.5","-9","-3.51","1,675","09/22","+22","0","-64","-43","9.18","15.3","＋・－"
"449","3005","神基","市","118.5","-0.5","-0.42","1,816","09/22","-692","+335","+24","-332","95.7","15.3","－＋＋"
"450","6605","帝寶","市","140","0","0","155","09/22","+29","0","0","+28","25.4","15.3","＋・－"
"451","2109","華豐","市","14.8","+0.05","+0.34","30","09/22","+2","0","0","+2","42.7","15.3","＋・・"
"452","00643","群益深証中小","市","18.32","+0.1","+0.55","2,927","09/22","+24","0","+40","+64","11.8","15.3","＋・＋"
"453","3576","聯合再生","市","17.6","-0.1","-0.56","13,075","09/22","+1,441","0","0","+1,441","248","15.2","＋・・"
"454","2610","華航","市","20.5","+0.25","+1.23","20,155","09/22","+5,252","+5,133","+89","+10,474","930","15.2","＋＋＋"
"455","3707","漢磊","櫃","69.5","+6.1","+9.62","19,868","09/22","+28","0","+39","+67","59.9","15.1","＋・＋"
