"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"514","6535","順藥","櫃","07/29","","88.1","-4.5","-4.86","178","15.9","92.6","94.6","94.6","86.8","8.42","","10.58","","","","",""
"515","2211","長榮鋼","市","07/29","","88","0","0","882","77.1","88","88.5","88.6","86.2","2.73","10.8","1.35","","","","",""
"516","3022","威強電","市","07/29","","88","-1.2","-1.35","2,960","261","89.2","91.8","92.1","85.1","7.85","24.9","1.35","","","","",""
"517","8064","東捷","櫃","07/29","","87.8","-6.3","-6.7","4,846","421","94.1","94.3","95.3","84.7","11.3","37.2","3.75","","","","",""
"518","4968","立積","市","07/29","","87.6","-4.7","-5.09","1,507","131","92.3","92.4","93.4","84","10.2","29.6","2.88","","","","",""
"519","6620","漢達","櫃","07/29","","87.6","+0.3","+0.34","1,284","115","87.3","87.9","93.5","86.4","8.13","18.6","2.76","","","","",""
"520","9921","巨大","市","07/29","","87.4","+2.4","+2.82","2,766","239","85","85.8","87.5","85.5","2.35","218","1","","","","",""
"521","00731","復華富時高息低波","市","07/29","","87.3","-0.9","-1.02","749","65.5","88.2","89.1","89.1","86.3","3.17","","0.9965","","","","",""
"522","2114","鑫永銓","市","07/29","","87.3","+0.1","+0.11","61","5.3","87.2","88","88","86.5","1.72","15.2","2.07","","","","",""
"523","6854","錼創科技-KY創","市","07/29","","87.3","-3.2","-3.54","878","75.1","90.5","89.1","90.9","82.5","9.28","","2.81","","","","",""
"524","2745","五福","櫃","07/29","","87.2","-2.8","-3.11","302","26.4","90","90.2","90.3","85","5.89","9.52","2.64","","","","",""
"525","8279","生展","櫃","07/29","","86.6","-1.5","-1.7","15","1.29","88.1","88.1","88.2","86.6","1.82","10.4","1","","","","",""
"526","6104","創惟","櫃","07/29","","86.5","-3.1","-3.46","1,409","121","89.6","90.3","90.5","82.8","8.59","18.8","3.93","","","","",""
"527","6023","元大期","櫃","07/29","","86.4","0","0","1,150","99.7","86.4","86.6","88","85.6","2.78","10.1","1.37","","","","",""
"528","2535","達欣工","市","07/29","","86.3","-0.1","-0.12","538","45.9","86.4","86.7","87.3","84.2","3.59","10.3","2.27","","","","",""
"529","6756","威鋒電子","市","07/29","","86.3","-3.4","-3.79","286","24.7","89.7","90.6","90.8","83","8.7","56.8","2.07","","","","",""
"530","6596","寬宏藝術","櫃","07/29","","86.1","-0.8","-0.92","227","19.5","86.9","87","87.6","85.2","2.76","5.04","3.17","","","","",""
"531","3138","耀登","市","07/29","","86","-4","-4.44","1,070","90","90","90","91.5","81.5","11.1","51.8","1.8","","","","",""
"532","4549","桓達","櫃","07/29","","85.6","-3.9","-4.36","242","21","92.5","89.5","91.3","82.9","9.39","28.3","2.47","","","","",""
"533","2347","聯強","市","07/29","","85.4","-0.6","-0.7","3,817","327","86","88","88.4","83.4","5.81","14.9","1.81","","","","",""
"534","3706","神達","市","07/29","","85.3","-2.9","-3.29","17,395","1,490","88.2","88.5","89.2","83.5","6.46","16.3","1.7","","","","",""
"535","7772","耀穎","櫃","07/29","","85.2","-4","-4.48","117","9.93","89.2","89.2","94.9","84","12.2","87.8","3.04","","","","",""
"536","2615","萬海","市","07/29","","85","+1.4","+1.67","16,364","1,393","83.6","84.8","86.2","83.7","2.99","7.86","0.83","","","","",""
"537","6143","振曜","櫃","07/29","","84.9","-3.2","-3.63","1,046","89.3","88.1","89.5","89.8","82.6","8.17","12.6","2.72","","","","",""
"538","3441","聯一光","櫃","07/29","","84.8","+7.6","+9.84","58,723","4,720","77.2","77.5","84.9","75","12.8","74.4","4.07","","","","",""
"539","00735","國泰臺韓科技","市","07/29","","84.6","-5.2","-5.79","7,580","647","89.8","90","90.65","82.1","9.52","","1.0017","","","","",""
"540","8446","華研","櫃","07/29","","84.6","-1.1","-1.28","91","7.71","85.7","85.8","88.5","84.5","4.67","9.66","2.35","","","","",""
"541","6215","和椿","市","07/29","","84.4","-4.8","-5.38","1,706","143","89.2","89.5","91","80.3","12","29.6","4.31","","","","",""
"542","4129","聯合","櫃","07/29","","84","-3.5","-4","293","24.9","87.5","87.1","87.9","83","5.6","17.6","1.93","","","","",""
"543","6176","瑞儀","市","07/29","","83.9","-0.5","-0.59","7,728","640","84.4","84","84.8","81.5","3.91","8.94","1.07","","","","",""
"544","7842","天能綠電","櫃","07/29","","82.9","-2.9","-3.38","49","4.07","85.8","84","84.5","78.2","7.34","18.8","2.98","","","","",""
"545","5443","均豪","櫃","07/29","","82.8","-7.2","-8","2,827","235","90","90.7","91.4","81","11.6","36","1.1","","","","",""
"546","3605","宏致","市","07/29","","82.5","-2.3","-2.71","9,016","747","84.8","86","87.4","78.8","10.1","23.4","1.7","","","","",""
"547","1723","中碳","市","07/29","","82.3","-1.5","-1.79","910","74.7","83.8","84.4","84.4","80.5","4.65","33.2","2.37","","","","",""
"548","9911","櫻花","市","07/29","","82.3","-0.2","-0.24","623","51","82.5","83.2","83.2","81.3","2.3","12.8","2.9","","","","",""
"549","3158","嘉實","櫃","07/29","","82","+0.2","+0.24","21","1.67","81.8","81.4","82","81.1","1.1","12.2","2.31","","","","",""
"550","4938","和碩","市","07/29","","82","-1.2","-1.44","10,810","890","83.2","84.2","85.1","80.3","5.77","18.9","1.08","","","","",""
"551","9941","裕融","市","07/29","","82","-0.2","-0.24","1,639","134","82.2","82.5","83","80.6","2.92","11.4","1.32","","","","",""
"552","5388","中磊","市","07/29","","81.9","-4.5","-5.21","7,967","656","86.4","87.6","87.8","79.2","9.95","20.4","1.56","","","","",""
"553","6577","勁豐","櫃","07/29","","81.8","-1.6","-1.92","352","28.1","83.4","83.5","83.6","77.2","7.67","13.9","3.08","","","","",""
"554","2439","美律","市","07/29","","81.3","-0.6","-0.73","1,716","140","81.9","81.7","83.1","80","3.79","16.4","1.22","","","","",""
"555","00663L","國泰臺灣加權正2","市","07/29","","80.8","-6.05","-6.97","28,783","2,356","86.85","87.05","87.25","77.25","11.5","","0.9877","","","","",""
"556","5520","力泰","櫃","07/29","","80.8","-0.8","-0.98","4","0.33","81.6","81.2","81.2","80.8","0.49","8.05","1.74","","","","",""
"557","00692","富邦公司治理","市","07/29","","80.5","-2.9","-3.48","2,420","196","83.4","83.2","83.4","78.85","5.46","","1.0046","","","","",""
"558","2637","慧洋-KY","市","07/29","","80.4","-1.5","-1.83","2,586","207","81.9","82.9","83.4","77.8","6.84","11.3","1.19","","","","",""
"559","4580","捷流閥業","櫃","07/29","","79.9","-0.3","-0.37","113","8.98","80.2","80.2","80.2","79","1.5","13.2","1.31","","","","",""
"560","00861","元大全球未來通訊","市","07/29","","79.75","-2.9","-3.51","374","29.9","82.65","82.5","82.5","78.8","4.48","","0.9966","","","","",""
"561","6191","精成科","市","07/29","","79.6","-4.4","-5.24","5,662","452","84","84.2","84.5","77.1","8.81","12.4","1.44","","","","",""
"562","6208","日揚","櫃","07/29","","79.6","+1.1","+1.4","561","43.9","78.5","78.6","80","77.3","3.44","20.9","2.42","","","","",""
"563","6464","台數科","市","07/29","","79.5","+0.2","+0.25","60","4.73","79.3","79.2","79.5","79","0.63","19.6","1.23","","","","",""
"564","6028","公勝保經","櫃","07/29","","79.2","-0.1","-0.13","40","3.18","79.3","79.3","79.4","78.6","1.01","11","2.48","","","","",""
"565","9914","美利達","市","07/29","","79.2","+2","+2.59","4,376","346","77.2","78.4","80.9","77.5","4.4","21.3","1.18","","","","",""
"566","00661","元大日經225","市","07/29","","79.05","-1.35","-1.68","156","12.4","80.4","80.45","80.75","78.2","3.17","","0.9946","","","","",""
"567","6576","逸達","櫃","07/29","","79","-1.7","-2.11","245","19.2","80.7","79.8","80","76.7","4.09","","8.93","","","","",""
"568","8054","安國","櫃","07/29","","79","-5","-5.95","2,118","166","84","84.5","85.5","75.6","11.8","","3.22","","","","",""
"569","6617","共信-KY","櫃","07/29","","78.9","-2.6","-3.19","423","32.9","81.5","81","81","76.1","6.01","","3.98","","","","",""
"570","00850","元大臺灣ESG永續","市","07/29","","78.75","-3.6","-4.37","2,002","158","82.35","82.35","82.65","77.5","6.25","","0.9985","","","","",""
"571","3528","安馳","市","07/29","","78.5","-2.3","-2.85","550","42.9","80.8","82","82.5","75.4","8.79","25.2","2.51","","","","",""
"572","6965","中傑-KY","市","07/29","","78.5","0","0","73","5.71","78.5","79.7","79.7","77.4","2.93","49.1","1","","","","",""
"573","1726","永記","市","07/29","","78.4","+1","+1.29","97","7.6","77.4","77.5","78.9","77.3","2.07","13.2","1.17","","","","",""
"574","4912","聯德控股-KY","市","07/29","","78.4","-2.8","-3.45","583","45.5","81.2","80.8","81.8","75","8.37","34.8","1.28","","","","",""
"575","1216","統一","市","07/29","","78.2","+0.8","+1.03","23,042","1,791","77.4","77.6","78.2","76.9","1.68","21.2","3.07","","","","",""
"576","5609","中菲行","櫃","07/29","","78.2","-0.8","-1.01","259","20.3","79","79","79.3","77.9","1.77","9.76","1.83","","","","",""
"577","6873","泓德能源","市","07/29","","78.1","-2.6","-3.22","1,109","86.4","80.7","82.1","82.2","75","8.92","24.1","1.03","","","","",""
"578","5534","長虹","市","07/29","","78","+0.1","+0.13","1,208","93.3","77.9","78.3","78.5","76.3","2.82","14.9","1.09","","","","",""
"579","7642","昶瑞機電","櫃","07/29","","77.9","-3.2","-3.95","53","4.1","81.1","78.3","78.9","73.4","6.78","33.4","2.53","","","","",""
"580","00830","國泰費城半導體","市","07/29","","77.75","-3.2","-3.95","24,102","1,879","80.95","79.9","79.9","76.5","4.2","","0.9819","","","","",""
"581","2228","劍麟","市","07/29","","77.7","-0.2","-0.26","249","19","77.9","78.2","78.6","75","4.62","18.2","1.19","","","","",""
"582","4590","富田-創","市","07/29","","77.5","-2.6","-3.25","289","22.4","80.1","82.3","82.3","75.4","8.61","18.7","1.21","","","","",""
"583","6412","群電","市","07/29","","77.5","-1.2","-1.52","1,411","108","78.7","79","80","74.8","6.61","14.9","2.15","","","","",""
"584","6469","大樹","櫃","07/29","","77.5","-0.3","-0.39","598","46.4","77.8","78.5","79","76.5","3.21","20.7","3.26","","","","",""
"585","6245","立端","櫃","07/29","","77.4","-2.6","-3.25","1,074","82","80","80.3","80.3","74.4","7.37","19","1.79","","","","",""
"586","3016","嘉晶","市","07/29","","77.3","-7.5","-8.84","5,721","447","84.8","83.6","83.7","76.4","8.61","189","4.56","","","","",""
"587","00876","元大全球5G","市","07/29","","77.2","-5.1","-6.2","842","65.5","82.3","81.5","81.5","75.8","6.93","","0.996","","","","",""
"588","7823","奧義賽博-KY創","市","07/29","","76.8","-3.2","-4","44","3.43","80","82.6","82.6","76.3","7.87","","4.69","","","","",""
"589","8112","至上","市","07/29","","76.7","-1.5","-1.92","13,784","1,039","78.2","78.7","78.7","73.5","6.65","8.86","2.19","","","","",""
"590","6277","宏正","市","07/29","","76.3","-1.6","-2.05","793","59.8","77.9","77.5","77.5","74.3","4.11","23.5","1.96","","","","",""
"591","8341","日友","市","07/29","","76.2","-0.3","-0.39","359","27.2","76.5","76.8","76.9","75.3","2.09","16.2","1.94","","","","",""
"592","4105","東洋","櫃","07/29","","75.7","-0.7","-0.92","748","56.6","76.4","76.6","76.6","75","2.09","11.7","2.87","","","","",""
"593","4126","太醫","櫃","07/29","","75.6","+0.1","+0.13","74","5.56","75.5","75.6","75.7","75.2","0.66","15.5","1.79","","","","",""
"594","00646","元大S&P500","市","07/29","","75.55","+0.4","+0.53","5,279","399","75.15","75.7","75.85","75.4","0.6","","1","","","","",""
"595","3013","晟銘電","市","07/29","","75.5","-3.9","-4.91","3,228","240","79.4","79.6","80.2","72","10.3","16.6","2.82","","","","",""
"596","6486","互動","櫃","07/29","","75.3","-1.2","-1.57","179","13.5","76.5","76.7","77.5","74.7","3.66","15.6","2.17","","","","",""
"597","6794","向榮生技","市","07/29","","75.3","-1","-1.31","35","2.62","76.3","76.3","76.3","73.7","3.41","","5.68","","","","",""
"598","2348","海悅","市","07/29","","75.2","-1.2","-1.57","739","55.3","76.4","76.4","77","73.5","4.58","16.2","1.63","","","","",""
"599","4951","精拓科","櫃","07/29","","75.2","-2.8","-3.59","509","37.7","78","77.7","78.3","72","8.08","11.7","2.87","","","","",""
"600","6874","倍力","櫃","07/29","","75","-2.4","-3.1","46","3.45","77.4","76.4","76.4","72.9","4.52","18.5","3.17","","","","",""
