排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
157,3466,德晉,24.35,-0.5,-2.01,178,08/06,0.0,-2.33,5.0,110.0,82.6,425.0,7.69,-60.7,-87.9,-81.2
158,6967,汎瑋材料,69.0,-1.0,-1.43,68,08/06,110.0,110.0,110.0,110.0,95.6,,8700.0,4300.0,,2100.0
159,8996,高力,1135.0,100.0,9.66,4366,08/06,48.3,32.0,51.7,110.0,3.94,-45.7,-17.0,-76.0,-51.6,-78.3
160,5425,台半,84.9,1.4,1.68,6541,08/06,16.5,-7.59,8.06,109.0,,-76.9,-2.19,88.7,931.0,97.1
161,6830,汎銓,425.0,20.5,5.07,2956,08/06,-13.4,-19.3,-10.1,109.0,39.2,82.1,-62.2,-78.9,115.0,54.3
162,3135,凌航,186.5,10.0,5.67,4828,08/06,19.6,74.8,98.4,108.0,169.0,614.0,,,,
163,9802,鈺齊-KY,69.9,0.6,0.87,664,08/06,0.0,22.0,78.6,108.0,525.0,355.0,212.0,163.0,72.4,85.2
164,4939,亞電,61.4,2.0,3.37,17708,08/06,7.81,5.88,0.98,108.0,-41.2,254.0,475.0,18.3,1328.0,-49.9
165,5471,松翰,54.4,-0.6,-1.09,1330,08/06,-32.7,-28.3,-5.71,106.0,10.0,3200.0,312.0,560.0,94.1,
166,1402,遠東新,27.0,0.3,1.12,19943,08/06,7.89,0.0,105.0,105.0,-45.3,-26.8,242.0,-50.0,-60.6,-36.9
167,2451,創見,293.0,10.5,3.72,10811,08/06,-3.03,7.72,4.62,103.0,889.0,76.1,580.0,260.0,10780.0,228.0
168,00992A,主動群益科技創新,16.93,0.38,2.3,52456,08/06,29.9,16.3,146.0,101.0,89.3,86.9,-50.8,2361.0,,
169,00401A,主動摩根台灣鑫收,13.39,-0.02,-0.15,13865,08/06,0.0,0.0,0.0,100.0,0.0,0.0,,,,
170,00402A,主動安聯美國科技,9.77,-0.15,-1.51,5562,08/06,0.0,100.0,100.0,100.0,,100.0,,,,
171,00404A,主動聯博動能50,9.46,-0.03,-0.32,4207,08/06,,,,100.0,,,,,,
172,00911,兆豐洲際半導體,54.05,-1.25,-2.26,599,08/06,0.0,100.0,100.0,100.0,,,,,,
173,009802,富邦旗艦50,18.74,-0.08,-0.43,2216,08/06,0.0,-60.0,-62.5,100.0,0.0,-76.0,500.0,500.0,-84.6,
174,00984A,主動安聯台灣高息,14.97,0.18,1.22,3672,08/06,0.0,0.0,0.0,100.0,,,,,,
175,00999A,主動野村臺灣高息,10.88,0.13,1.21,18550,08/06,0.0,0.0,0.0,100.0,100.0,,-80.0,,,
176,2101,南港,34.6,0.15,0.44,1517,08/06,0.0,0.0,-33.3,100.0,-86.7,-86.7,100.0,-60.0,-99.1,-91.7
177,2241,艾姆勒,35.1,-0.2,-0.57,2135,08/06,0.0,-14.3,50.0,100.0,100.0,-91.8,500.0,-88.7,-80.0,-90.6
178,2527,宏璟,45.95,3.2,7.49,1328,08/06,-11.1,0.0,33.3,100.0,-55.6,300.0,,,,700.0
179,3003,健和興,60.8,2.3,3.93,773,08/06,,,,100.0,-77.8,-88.9,-60.0,-83.3,-92.9,-85.7
180,3551,世禾,178.0,0.5,0.28,481,08/06,100.0,100.0,100.0,100.0,-33.3,0.0,-55.6,-78.9,-91.7,-91.8
181,3583,辛耘,737.0,34.0,4.84,880,08/06,42.9,66.7,66.7,100.0,11.1,-75.6,-98.4,-16.7,-75.6,100.0
182,3615,安可,35.75,0.05,0.14,337,08/06,-9.09,0.0,-61.5,100.0,-75.0,-44.4,-23.1,42.9,900.0,150.0
183,4906,正文,35.5,-2.15,-5.71,12831,08/06,5.62,54.1,70.9,100.0,-12.1,-8.74,-94.0,-17.5,-23.6,-25.4
184,5278,尚凡*,24.65,0.25,1.02,50,08/06,0.0,0.0,0.0,100.0,,,,,-97.2,
185,6113,亞矽,22.8,0.35,1.56,56,08/06,0.0,,-33.3,100.0,-33.3,-85.7,-80.0,-71.4,-83.3,-75.0
186,6246,臺龍,12.45,-0.25,-1.97,31,08/06,0.0,0.0,0.0,100.0,100.0,100.0,,,100.0,
187,6526,達發,637.0,5.0,0.79,1343,08/06,100.0,100.0,100.0,100.0,0.0,,-88.2,,,
188,6913,鴻呈,139.0,12.5,9.88,1034,08/06,100.0,100.0,100.0,100.0,100.0,-42.9,,33.3,300.0,-55.6
189,6962,奕力-KY,31.35,0.15,0.48,984,08/06,0.0,0.0,-42.9,100.0,14.3,-52.9,-93.7,-93.1,-57.9,-89.0
190,7715,裕山,36.0,0.4,1.12,242,08/06,100.0,100.0,100.0,100.0,100.0,100.0,,,,
191,7730,暉盛-創,160.0,0.0,0.0,65,08/06,100.0,100.0,100.0,100.0,-33.3,-33.3,,,,
192,7750,新代,2365.0,-95.0,-3.86,520,08/06,100.0,100.0,100.0,100.0,-60.0,,,,,
193,7799,禾榮科,357.0,-4.5,-1.24,249,08/06,33.3,33.3,0.0,100.0,0.0,33.3,,,,
194,8074,鉅橡,55.5,0.6,1.09,607,08/06,55.6,75.0,100.0,100.0,100.0,-62.2,0.0,-93.9,-72.0,-97.4
195,8415,大國鋼,37.85,0.75,2.02,575,08/06,0.0,0.0,0.0,100.0,,0.0,100.0,,,
196,9939,宏全,142.5,8.5,6.34,5264,08/06,100.0,100.0,100.0,100.0,0.0,,,-33.3,-77.8,-60.0
197,6426,統新,187.0,17.0,10.0,1261,08/06,50.0,68.8,238.0,92.9,440.0,440.0,125.0,-86.8,170.0,-75.5
198,2369,菱生,34.25,0.55,1.63,8771,08/06,2.34,-1.13,25.9,92.3,3.55,-43.9,34.6,-26.5,,-35.4
199,2301,光寶科,252.5,3.5,1.41,40399,08/06,-39.0,-18.7,63.3,91.5,134.0,210.0,131.0,254.0,-31.4,26.8
200,2464,盟立,178.0,8.0,4.71,25511,08/06,-1.14,11.9,19.0,89.3,30.9,3.14,-18.1,333.0,227.0,552.0
201,3189,景碩,853.0,25.0,3.02,23356,08/06,-4.42,-3.1,30.1,88.6,210.0,792.0,38.4,-31.8,-14.1,-44.2
