項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),490794,510139,4220,9144265,9120700
融券(交易單位),32051,35122,6073,188324,185322
融資金額(仟元),35075616,27395104,387890,507462771,514755393
