"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"281","00852L","國泰美國道瓊正2","35.51","-0.17","-0.48","08/19","0","0","-10.8","-10.8","-10.8","-10.8","-93.4","-93.4","-94.5","-93.4"
"282","6188","廣明","69.1","-0.1","-0.14","08/19","+0.47","-8.71","-9.66","-10.7","-15.1","-20.4","-55.7","-63.5","+70.1","-37.8"
"283","5274","信驊","15830","-1225","-7.18","08/19","+3.82","+0.93","-6.06","-10.7","-19.3","-21.1","-50.1","-81.6","-68.7","-85.7"
"284","6234","高僑","35.3","-0.7","-1.94","08/19","-4.27","-4.51","-6.33","-10.7","-15.1","-21.6","+26.6","+8.62","-4.81","-9.93"
"285","4566","時碩工業","70","-3.5","-4.76","08/19","+3.39","-4.72","-10.3","-10.7","-14.5","-22.3","+8.53","-5.33","-3.64","-15.8"
"286","2065","世豐","35.35","-0.5","-1.39","08/19","0","0","0","-10.6","-7.7","-9.2","+17.5","-2.33","-72.4","-33.9"
"287","8049","晶采","24.35","-0.25","-1.02","08/19","0","-3.63","-12.5","-10.6","-38.2","-47.3","-21","-15.6","-34.5","-25.2"
"288","9136","巨騰-DR","12","0","0","08/19","-9.05","-10.2","-10.6","-10.6","-11.1","-15.7","+127","+38.9","+21.2","+64.6"
"289","5452","佶優","26.7","-0.05","-0.19","08/19","-4.25","-8.25","-10.7","-10.6","-10.3","-12.9","-28.6","-22.1","-25.1","-19.9"
"290","7709","榮田","71","-0.3","-0.42","08/19","0","-10.5","-15","-10.5","-27.1","+37.8","-12.1","+2,960","",""
"291","9941","裕融","85.2","+1","+1.19","08/19","-0.37","-8.19","-8.99","-10.5","-15.6","-26.5","+18.4","-6.63","+225","+88.4"
"292","1709","和益","32.55","-0.15","-0.46","08/19","-5.06","-8.05","-15.6","-10.4","+5.26","+3.78","+19.4","+82.5","+32.9","+43"
"293","9908","大台北","28.95","-0.05","-0.17","08/19","0","-3.44","-3.12","-10.4","-6.15","+10.8","-41.9","+236","+108","+203"
"294","6720","久昌","137.5","+5.5","+4.17","08/19","0","-8.08","-8.08","-10.3","-12.7","-5.18","+69.3","+53.4","+45.3","+49.2"
"295","3029","零壹","110","+2.5","+2.33","08/19","-0.42","-1.43","-1.75","-10.3","-16.8","-24.5","-44","-31.3","+8.46","-10.8"
"296","2520","冠德","36.7","+0.8","+2.23","08/19","-0.38","-4.61","-6.42","-10.3","-10.8","-16.9","-31.3","-4.18","-51.7","-41"
"297","6005","群益證","30.2","-0.3","-0.98","08/19","+2.8","+5.23","+10.5","-10.3","+3.89","-12.6","-72.4","+63.2","-41.4","-26.9"
"298","3272","東碩","14.1","0","0","08/19","-1.34","-6.84","-10.2","-10.2","-10.2","-14","-9.14","+5.86","+15.1","+7.4"
"299","6874","倍力","78.6","+0.9","+1.16","08/19","0","0","-10.2","-10.2","-17.2","-17.2","-3.64","+17.8","+8.16","+47.2"
"300","2417","圓剛","45.65","+2.4","+5.55","08/19","-4.77","-8.41","-10.9","-10.2","+0.34","+10.5","+59.1","-24.9","-32.3","+2.03"
