"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"161","009819","中信數據及電力","9.89","-0.02","-0.2","3,964","08/27","+10","+90","+180","+373","+202","-1,298","-210","","",""
"162","7795","長廣","564","+19","+3.49","1,043","08/27","+142","+175","+337","+370","+734","+2,359","","","",""
"163","6139","亞翔","775","-9","-1.15","2,585","08/27","+244","+277","+381","+368","+768","+1,640","+2,628","+4,299","+2,549","+3,774"
"164","5534","長虹","75.3","-0.4","-0.53","1,117","08/27","+48","-34","+5","+367","+226","+74","-261","+396","+479","+661"
"165","3036","文曄","196","+3","+1.55","5,301","08/27","+340","+392","+391","+361","+109","-1,349","+5,651","+8,650","+9,807","+9,475"
"166","3081","聯亞","3305","-65","-1.93","3,279","08/27","+114","+144","+341","+361","+667","+979","+1,638","+1,369","-1,025","-773"
"167","2308","台達電","1830","+60","+3.39","13,398","08/27","-24","+202","+345","+360","+251","+812","+3,755","+2,006","+4,013","+153"
"168","6547","高端疫苗","65","+1.9","+3.01","11,985","08/27","-1,301","+398","+298","+348","+403","+1,034","+2,679","+5,352","+6,426","+5,888"
"169","5388","中磊","77.5","0","0","1,778","08/27","+55","+52","+110","+346","+1,320","+2,761","+2,638","+3,791","+5,163","+5,479"
"170","1605","華新","39","+0.1","+0.26","17,822","08/27","-1,070","-1,214","-599","+343","-164","-12,226","-6,550","-43,645","+6,595","-26,666"
"171","5263","智崴","99.5","+0.5","+0.51","393","08/27","+55","+198","+201","+332","+280","+236","-469","-897","+2,237","+1,701"
"172","2029","盛餘","22.15","-0.1","-0.45","263","08/27","+59","+60","+177","+327","+333","+386","+350","+324","+274","+397"
"173","1444","力麗","7.17","+0.01","+0.14","876","08/27","+24","+50","+111","+321","+278","+266","-164","-885","-2,817","-3,097"
"174","2352","佳世達","28.2","+0.2","+0.71","2,871","08/27","+86","+191","+230","+320","+504","-280","+239","+2,214","-1,597","+1,508"
"175","2031","新光鋼","45.4","-0.5","-1.09","723","08/27","+6","+190","+147","+317","+825","+1,370","+1,368","+653","-106","+523"
"176","2908","特力","21.95","-0.05","-0.23","195","08/27","-33","+83","+215","+309","+757","+680","+542","+3,093","+4,031","+4,567"
"177","6933","AMAX-KY","260","+23.5","+9.94","1,953","08/27","+23","+263","+306","+304","+325","+567","+624","+699","+768","+670"
"178","2375","凱美","133","+2.5","+1.92","19,480","08/27","+296","+405","+345","+300","+622","+623","-2,359","+1,453","+3,897","+769"
"179","2201","裕隆","28.4","-0.25","-0.87","2,306","08/27","+70","-7","-19","+297","+406","+424","-2,186","-860","+2,391","+526"
"180","00998A","主動復華金融股息","17.77","-0.19","-1.06","5,599","08/27","-576","-176","-153","+292","+316","+807","+841","","",""
"181","6187","萬潤","1365","-65","-4.55","6,213","08/27","+96","+365","+439","+291","+553","+721","+1,220","+574","-1,289","+74"
"182","2241","艾姆勒","35.5","+0.15","+0.42","249","08/27","+76","+75","+75","+285","+310","+1,110","+3,191","+5,567","+3,778","+2,376"
"183","1708","東鹼","51","+0.3","+0.59","3,674","08/27","-81","-292","-247","+283","+600","-641","+867","+3,348","+3,159","+3,552"
"184","3017","奇鋐","3360","+20","+0.6","4,035","08/27","-38","+298","+350","+282","+233","+180","+405","-267","-863","-1,212"
"185","2401","凌陽","25.9","+0.15","+0.58","1,771","08/27","+59","+62","+61","+280","+299","-565","-3,234","-4,148","-4,303","-4,559"
"186","2428","興勤","262","+9","+3.56","3,339","08/27","+154","+207","+208","+280","+88","+419","+54","+131","+300","+11"
"187","4976","佳凌","39.15","-0.85","-2.12","3,490","08/27","+382","+137","+165","+280","+310","+385","+251","+314","-385","+976"
"188","009821","野村稀土關鍵資源","15.92","0","0","7,953","08/27","+91","+553","+479","+278","-2,321","-5,045","","","",""
"189","5864","致和證","35.95","+1.3","+3.75","4,152","08/27","+3","+64","+85","+278","+369","-2,034","+945","-2,362","+4,349","+2,698"
"190","6016","康和證","21.35","+1","+4.91","9,570","08/27","+215","+238","+200","+277","-33","-299","-4,662","-2,875","+3,358","+3,887"
"191","8240","華宏","44.8","-0.9","-1.97","392","08/27","+23","+273","+274","+273","+270","-86","-626","+274","-179","+22"
"192","2049","上銀","354","-5.5","-1.53","3,577","08/27","+141","+159","+130","+272","+223","+453","-1,149","-2,177","-2,068","-1,672"
"193","3209","全科","51.9","+0.5","+0.97","3,695","08/27","+261","+292","+261","+270","+101","-543","-2,170","+2,971","+2,860","+3,136"
"194","4989","榮科","68.2","+1.9","+2.87","15,472","08/27","+266","+247","+214","+268","+508","-327","-5,766","-3,007","+9,790","+585"
"195","6805","富世達","2345","+120","+5.39","3,661","08/27","+41","+189","+229","+268","+119","+567","-399","+582","+1,107","+1,061"
"196","8027","鈦昇","185","+6","+3.35","4,671","08/27","+101","+238","+216","+268","+53","-1,430","-3,356","+59","+2,076","-88"
"197","4977","眾達-KY","172","+0.5","+0.29","3,490","08/27","+35","+36","+118","+265","+402","+261","-1,669","-3,825","-3,484","-2,924"
"198","8162","微矽電子-創","63.6","+0.8","+1.27","163","08/27","+15","+41","+185","+265","+431","+93","-104","+1,800","","+1,888"
"199","1217","愛之味","9.97","-0.03","-0.3","361","08/27","+93","+16","+38","+260","+256","+1,009","+628","+448","-162","+608"
"200","6244","茂迪","24.4","+0.15","+0.62","2,029","08/27","+115","+183","+198","+260","+199","-1,424","-3,019","-2,973","+2,157","+599"
"201","8436","大江","125.5","-1","-0.79","835","08/27","+44","+19","+43","+260","+164","+700","+621","+684","+413","-85"
"202","2025","千興","13.25","+0.05","+0.38","777","08/27","+74","+163","+186","+256","+256","+256","+256","+256","+256","+256"
"203","2106","建大","16.85","-0.25","-1.46","3,651","08/27","+138","+169","+226","+256","+380","+387","+265","+204","+975","+545"
"204","3444","利機","83","-1.8","-2.12","421","08/27","-16","-6","+206","+254","+246","+287","-1,452","+417","+481","-204"
"205","2883","凱基金","32.75","+0.6","+1.87","20,370","08/27","-155","-150","-188","+245","+837","-2,956","-5,722","-7,130","-12,372","-7,346"
"206","2441","超豐","118.5","+4.5","+3.95","4,798","08/27","+265","+157","+187","+236","-1,958","-505","-4,040","-6,511","+6,849","-12,025"
"207","00981D","主動中信非投等債","10.29","-0.05","-0.48","4,297","08/27","+4","+43","+100","+235","+682","+709","-1,641","-16,333","","-2,542"
"208","00763U","期街口道瓊銅","35.01","-0.07","-0.2","216","08/27","-22","+222","+155","+228","+348","+628","+349","-1,037","+1,490","-35"
"209","6530","創威","86.9","-2.1","-2.36","1,466","08/27","+115","+166","+194","+228","+237","+96","-753","-798","-420","-373"
"210","2345","智邦","2125","+35","+1.67","2,375","08/27","+18","+144","+176","+227","+82","+558","+455","+83","-442","-1,318"
