排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1855,6577,勁豐,80.7,0.0,0.0,26W34,08/21,30.0,0.0,31.7,0.0,68.3,0.0
1856,3703,欣陸,19.85,-0.05,-0.25,26W34,08/21,30.8,0.18,31.6,-0.05,68.4,0.05
1857,2029,盛餘,22.2,0.25,1.14,26W34,08/21,30.8,-0.25,31.6,0.01,68.4,-0.01
1858,8131,福懋科,62.4,-0.4,-0.64,26W34,08/21,30.3,0.49,31.5,0.92,68.5,-0.92
1859,3188,鑫龍騰,24.15,0.1,0.42,26W34,08/21,29.2,0.02,31.5,0.01,68.5,-0.01
1860,8374,羅昇,80.8,-2.3,-2.77,26W34,08/21,29.9,0.0,31.4,0.0,68.6,0.0
1861,1457,宜進,14.5,0.15,1.05,26W34,08/21,30.0,0.0,31.4,0.0,68.6,0.0
1862,2368,金像電,965.0,-60.0,-5.85,26W34,08/21,28.9,-0.08,31.4,-0.42,68.6,0.43
1863,7805,威聯通,678.0,-12.0,-1.74,26W34,08/21,31.3,-3.44,31.3,-3.44,68.7,3.44
1864,1434,福懋,18.1,0.4,2.26,26W34,08/21,30.5,-0.04,31.2,-0.17,68.8,0.17
1865,5465,富驊,24.1,-0.15,-0.62,26W34,08/21,31.2,0.0,31.2,0.0,68.8,0.0
1866,6835,圓裕,31.1,0.1,0.32,26W34,08/21,31.2,-0.03,31.2,-0.03,68.8,0.03
1867,6862,三集瑞-KY,137.0,0.0,0.0,26W34,08/21,31.2,0.0,31.2,0.0,68.8,0.0
1868,1475,業旺,26.5,0.4,1.53,26W34,08/21,29.8,-0.01,31.0,-0.01,69.0,0.01
1869,2948,寶陞,38.0,0.75,2.01,26W34,08/21,28.2,0.0,31.0,0.0,69.0,0.0
1870,3229,晟鈦,61.8,4.9,8.61,26W34,08/21,31.0,0.0,31.0,0.0,69.0,0.0
1871,6789,采鈺,424.0,-3.5,-0.82,26W34,08/21,29.8,-0.23,30.9,0.03,69.1,-0.03
1872,2884,玉山金,38.0,0.65,1.74,26W34,08/21,29.8,-0.05,30.9,-0.06,69.1,0.06
1873,1617,榮星,17.55,0.0,0.0,26W34,08/21,27.6,0.0,30.9,0.0,69.1,0.0
1874,1773,勝一,159.5,3.5,2.24,26W34,08/21,30.5,0.12,30.8,-0.79,69.2,0.79
1875,00695B,富邦美債7-10,34.91,-0.14,-0.4,26W34,08/21,28.5,-1.62,30.8,-1.65,69.2,1.65
1876,6884,海柏特,30.5,-0.5,-1.61,26W34,08/21,30.8,0.0,30.8,0.0,69.2,0.0
1877,1473,台南,19.95,-0.05,-0.25,26W34,08/21,30.2,0.0,30.8,0.0,69.2,0.0
1878,4584,君帆,38.8,-0.2,-0.51,26W34,08/21,21.4,0.0,30.7,0.0,69.3,0.0
1879,4545,銘鈺,32.15,0.15,0.47,26W34,08/21,29.5,0.07,30.7,0.02,69.3,-0.02
1880,8059,凱碩,13.5,-0.15,-1.1,26W34,08/21,29.7,0.0,30.6,0.0,69.4,0.0
1881,3516,亞帝歐,25.7,-0.1,-0.39,26W34,08/21,27.6,0.01,30.6,0.01,69.4,-0.01
1882,3044,健鼎,459.0,-26.5,-5.46,26W34,08/21,28.1,-0.11,30.5,0.42,69.5,-0.42
1883,2610,華航,20.4,0.4,2.0,26W34,08/21,29.7,0.34,30.5,0.34,69.5,-0.34
1884,9943,好樂迪,51.6,0.4,0.78,26W34,08/21,30.5,0.0,30.5,0.0,69.5,0.0
1885,1413,宏洲,9.37,0.05,0.54,26W34,08/21,27.6,-0.05,30.5,-0.05,69.5,0.05
1886,4439,冠星-KY,98.5,-0.7,-0.71,26W34,08/21,25.5,0.07,30.5,0.07,69.5,-0.07
1887,1905,華紙,13.65,0.15,1.11,26W34,08/21,30.1,-0.07,30.5,-0.08,69.5,0.08
1888,2423,固緯,75.6,0.2,0.27,26W34,08/21,29.3,0.0,30.5,0.0,69.5,0.0
