項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),448089,658400,12716,9289942,9066915
融券(交易單位),45136,41991,20470,261044,237429
融資金額(仟元),30988069,45300869,1323873,566648874,551012201
