單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"5,821,952,327","7,048,030,507","-1,226,078,180"
自營商(避險),"52,163,429,575","82,667,084,907","-30,503,655,332"
投信,"19,122,530,378","16,769,062,008","2,353,468,370"
外資及陸資(不含外資自營商),"286,811,717,877","374,374,600,026","-87,562,882,149"
外資自營商,0,0,0
合計,"363,919,630,157","480,858,777,448","-116,939,147,291"
