排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,4989,榮科,99.9,-11.1,-10.0,07/07,0.0,4.01,8.64,10.3,9.63,9.87,11.4,8.46,9.0,8.94,,9.06
2,8033,雷虎,207.0,-15.0,-6.76,07/07,0.0,0.55,1.83,8.3,11.8,13.1,12.9,13.0,22.7,12.5,12.6,13.0
3,6994,富威電力,44.15,-1.9,-4.13,07/07,0.0,-0.53,5.33,7.9,7.54,8.38,7.72,7.27,7.41,,,7.67
4,3605,宏致,84.9,-2.8,-3.19,07/07,0.03,-0.68,-0.42,5.0,5.51,6.64,7.32,5.21,1.44,7.83,7.37,4.26
5,4541,晟田,61.1,-5.6,-8.4,07/07,2.01,2.35,3.57,4.89,5.41,9.95,11.7,14.0,13.8,13.9,12.6,14.5
6,3055,蔚華科,176.0,15.5,9.66,07/07,-0.01,0.54,2.69,4.79,4.21,3.06,3.96,3.6,4.81,2.21,1.86,3.77
7,00983A,主動中信ARK創新,12.53,0.06,0.48,07/07,0.0,-0.12,0.12,4.69,9.79,32.1,68.2,65.9,59.4,,,66.8
8,6907,雅特力-KY,172.0,-15.5,-8.27,07/07,0.36,3.5,4.05,4.1,3.11,3.28,4.4,,,,,
9,00696B,富邦美債20年,29.48,-0.1,-0.34,07/07,-0.01,0.19,0.28,3.83,8.14,10.2,19.1,54.0,100.0,197.0,,69.2
10,5351,鈺創,93.1,3.2,3.56,07/07,3.73,6.24,5.39,3.57,-0.03,4.91,2.87,6.05,14.8,15.4,8.38,9.68
11,7402,邑錡,123.5,-12.5,-9.19,07/07,2.23,1.58,1.83,3.42,2.51,2.85,1.45,1.33,3.27,2.25,1.84,0.72
12,1717,長興,77.1,-8.3,-9.72,07/07,0.0,2.02,3.2,3.3,3.58,3.09,2.57,0.4,-0.19,-1.25,1.15,0.76
13,00653L,富邦印度正2,48.28,0.21,0.44,07/07,2.52,2.51,2.91,3.27,3.42,3.93,4.12,4.07,4.67,5.43,136.0,4.01
14,3213,茂訊,136.5,2.5,1.87,07/07,0.07,-0.07,2.15,3.25,2.37,3.13,9.6,9.37,7.58,4.36,7.76,9.01
15,2436,偉詮電,70.3,-7.4,-9.52,07/07,-0.01,1.39,1.72,3.11,2.99,5.09,3.83,11.6,9.61,6.53,10.5,11.9
16,5483,中美晶,198.5,-11.0,-5.25,07/07,1.19,0.73,1.53,3.11,2.52,3.41,7.3,8.92,5.96,-5.25,9.05,8.34
17,6182,合晶,145.5,-10.5,-6.73,07/07,0.07,-0.86,-0.22,2.97,1.22,-1.5,10.7,10.4,4.83,6.45,6.82,9.96
18,3317,尼克森,96.9,-8.6,-8.15,07/07,1.06,2.58,1.65,2.89,-0.04,2.21,5.3,4.54,3.31,5.49,5.96,4.38
19,6491,晶碩,378.0,4.0,1.07,07/07,0.0,0.57,2.61,2.7,3.82,6.3,9.76,11.0,12.1,10.5,,10.8
20,6727,亞泰金屬,495.0,5.5,1.12,07/07,2.32,2.73,2.86,2.55,2.48,-3.15,-3.28,1.32,1.92,4.51,,-1.54
21,6174,安碁,57.9,-5.1,-8.1,07/07,0.55,0.59,1.53,2.53,1.03,2.19,2.13,2.08,2.17,1.46,2.39,2.1
