項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),645505,596232,12593,9308567,9345247
融券(交易單位),17409,33109,3382,192039,204357
融資金額(仟元),52359121,43477739,594963,584760128,593046547
