排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1801,7769,鴻勁,6320.0,-155.0,-2.39,26M06,6.58,-9.0,36.6,0,0,0.0,0.0,0.0,0,0,6.58,-9.0,36.6,0,0
1802,7770,君曜,39.95,0.55,1.4,26M06,0.4,480.0,13.4,0,0,0.0,0.0,0.0,0,0,0.4,480.0,13.4,0,0
1803,7772,耀穎,91.0,-3.4,-3.6,26M06,0.74,0.0,27.9,0,0,0.0,0.0,0.0,0,0,0.74,0.0,27.9,0,0
1804,7777,能率亞洲,40.35,-1.35,-3.24,26M06,8.42,-9.0,46.1,0,0,0.0,0.0,0.0,0,0,8.42,-9.0,46.1,0,0
1805,7782,光速火箭,25.8,0.0,0.0,26M06,0.69,0.0,29.6,0,0,0.0,0.0,0.0,0,0,0.69,0.0,29.6,0,0
1806,7788,松川精密,235.0,17.0,7.8,26M06,1.54,0.0,19.3,0,0,0.0,0.0,0.0,0,0,1.54,0.0,19.3,0,0
1807,7791,皇家可口,59.6,0.0,0.0,26M06,4.83,0.0,60.3,0,0,0.0,0.0,0.0,0,0,4.83,0.0,60.3,0,0
1808,7792,安葆,207.0,-10.0,-4.61,26M06,1.38,0.0,29.5,0,0,0.0,0.0,0.0,0,0,1.38,0.0,29.5,0,0
1809,7794,宏碁智新,29.3,0.25,0.86,26M06,1.41,0.0,50.5,0,0,0.0,0.0,0.02,0,0,1.41,0.0,50.5,0,0
1810,7795,長廣,428.5,7.5,1.78,26M06,4.96,0.0,62.9,0,0,0.0,0.0,0.0,0,0,4.96,0.0,62.9,0,0
1811,7799,禾榮科,355.0,-2.0,-0.56,26M06,6.73,0.0,42.6,0,0,0.0,0.0,0.0,0,0,6.73,0.0,42.6,0,0
1812,7803,雲象科技-創,19.8,-0.9,-4.35,26M06,3.07,6158.0,32.5,0,0,0.0,0.0,0.0,0,0,3.07,6158.0,32.5,0,0
1813,7805,威聯通,644.0,2.0,0.31,26M06,1.07,0.0,32.2,0,0,0.0,0.0,0.0,0,0,1.07,0.0,32.2,0,0
1814,7810,捷創科技,200.5,4.5,2.3,26M06,0.74,0.0,36.3,0,0,0.0,0.0,0.0,0,0,0.74,0.0,36.3,0,0
1815,7811,民盛,71.1,0.1,0.14,26M06,2.08,0.0,62.2,0,0,0.0,0.0,0.0,0,0,2.08,0.0,62.2,0,0
1816,7814,海昌生技,30.15,0.15,0.5,26M06,3.07,0.0,76.8,0,0,0.0,0.0,0.0,0,0,3.07,0.0,76.8,0,0
1817,7818,溢泰實業,61.6,-0.4,-0.65,26M06,5.51,680.0,32.8,0,0,0.0,0.0,0.0,0,0,5.51,680.0,32.8,0,0
1818,7819,精誠金融,34.8,0.35,1.02,26M06,1.4,100.0,55.4,0,0,0.0,0.0,0.0,0,0,1.4,100.0,55.4,0,0
1819,7820,立盈,110.0,10.0,10.0,26M06,1.43,0.0,37.8,0,0,0.0,0.0,0.0,0,0,1.43,0.0,37.8,0,0
1820,7821,神數,40.6,0.45,1.12,26M06,6.98,0.0,57.2,0,0,0.0,0.0,0.0,0,0,6.98,0.0,57.2,0,0
1821,7822,倍利科,850.0,-17.0,-1.96,26M06,2.26,0.0,49.5,0,0,0.0,0.0,0.0,0,0,2.26,0.0,49.5,0,0
1822,7823,奧義賽博-KY創,85.1,0.1,0.12,26M06,0.76,0.0,22.7,0,0,0.0,0.0,0.0,0,0,0.76,0.0,22.7,0,0
1823,7827,漢康-KY創,156.0,-0.5,-0.32,26M06,5.73,-70.0,41.0,0,0,0.0,0.0,0.01,0,0,5.73,-70.0,41.1,0,0
1824,7828,創新服務,1710.0,-45.0,-2.56,26M06,1.22,0.0,30.1,0,0,0.0,0.0,0.0,0,0,1.22,0.0,30.1,0,0
1825,7835,永悅健康-創,27.3,2.05,8.12,26M06,2.17,2671.0,,0,0,0.0,0.0,,0,0,2.17,2671.0,,0,0
1826,7839,達人網,45.0,-0.75,-1.64,26M06,0.91,-100.0,68.4,0,0,0.0,0.0,0.0,0,0,0.91,-100.0,68.4,0,0
1827,7842,天能綠電,83.3,7.5,9.89,26M06,1.16,56.0,63.8,0,0,0.0,0.0,0.0,0,0,1.16,56.0,63.8,0,0
1828,8021,尖點,395.0,-22.5,-5.39,26M06,1.22,0.0,8.43,0,0,0.0,0.0,0.0,0,0,1.22,0.0,8.43,0,0
1829,8024,佑華,14.4,-0.15,-1.03,26M06,0.62,0.0,13.8,0,0,0.0,0.0,0.0,0,0,0.62,0.0,13.8,0,0
1830,8028,昇陽半導體,254.0,-20.5,-7.47,26M06,2.3,0.0,12.8,0,0,0.0,0.0,0.0,0,0,2.3,0.0,12.8,0,0
1831,8032,光菱,36.1,-0.2,-0.55,26M06,2.5,-136.0,48.2,0,0,0.0,0.0,0.0,0,0,2.5,-136.0,48.2,0,0
1832,8038,長園科,32.1,-0.15,-0.47,26M06,0.7,3153.0,11.3,0,0,0.0,0.0,0.0,0,0,0.7,3153.0,11.3,0,0
1833,8039,台虹,237.5,21.5,9.95,26M06,2.94,2040.0,11.1,0,0,0.0,0.0,0.0,0,0,2.94,2040.0,11.1,0,0
1834,8040,九暘,73.0,0.8,1.11,26M06,2.82,0.0,29.3,0,0,0.0,0.0,0.0,0,0,2.82,0.0,29.3,0,0
1835,8043,蜜望實,126.0,-9.0,-6.67,26M06,0.96,0.0,12.0,0,0,0.0,0.0,0.0,0,0,0.96,0.0,12.0,0,0
1836,8044,網家,28.0,0.65,2.38,26M06,8.54,0.0,41.7,0,0,0.0,0.0,0.0,0,0,8.54,0.0,41.7,0,0
1837,8046,南電,1080.0,-25.0,-2.26,26M06,39.6,-13039.0,61.4,0,0,0.0,0.0,0.0,0,0,39.6,-13039.0,61.4,0,0
1838,8047,星雲,48.5,4.3,9.73,26M06,1.25,0.0,30.0,0,0,0.0,0.0,0.0,0,0,1.25,0.0,30.0,0,0
1839,8048,德勝,52.2,-1.8,-3.33,26M06,0.51,0.0,8.78,0,0,0.0,0.0,0.05,0,0,0.51,0.0,8.82,0,0
1840,8049,晶采,26.4,0.1,0.38,26M06,0.54,-3503.0,4.6,0,0,0.02,0.0,0.17,0,0,0.56,-3503.0,4.77,0,0
1841,8054,安國,82.8,-0.6,-0.72,26M06,2.16,-10.0,20.4,0,0,0.0,0.0,0.0,0,0,2.16,-10.0,20.4,0,0
1842,8059,凱碩,15.1,-0.05,-0.33,26M06,13.0,0.0,67.0,0,0,0.0,0.0,0.0,0,0,13.0,0.0,67.0,0,0
1843,8066,來思達,14.75,0.0,0.0,26M06,0.56,2004.0,15.2,0,0,0.0,0.0,0.0,0,0,0.56,2004.0,15.2,0,0
1844,8067,志旭,13.35,0.1,0.75,26M06,0.44,-6275.0,21.4,0,0,0.0,0.0,0.0,0,0,0.44,-6275.0,21.4,0,0
1845,8068,全達,17.9,-0.25,-1.38,26M06,1.88,-1076.0,23.2,0,0,0.0,-2.0,0.0,0,0,1.88,-1078.0,23.2,0,0
1846,8069,元太,196.0,0.0,0.0,26M06,3.32,0.0,2.87,0,0,0.0,0.0,0.0,0,0,3.32,0.0,2.87,0,0
1847,8070,長華*,47.35,0.1,0.21,26M06,22.0,0.0,30.3,0,0,0.0,0.0,0.0,0,0,22.0,0.0,30.3,0,0
1848,8071,能率網通,23.15,0.0,0.0,26M06,0.89,-1.0,14.7,0,0,0.0,0.0,0.0,0,0,0.89,-1.0,14.7,0,0
1849,8072,陞泰,26.1,-0.1,-0.38,26M06,3.11,0.0,38.8,0,0,0.0,0.0,0.0,0,0,3.11,0.0,38.8,0,0
1850,8074,鉅橡,53.4,-2.1,-3.78,26M06,0.94,526.0,10.8,0,0,0.0,0.0,0.06,0,0,0.94,526.0,10.8,0,0
1851,8077,洛碁,47.0,0.0,0.0,26M06,1.31,0.0,59.9,0,0,0.0,0.0,0.0,0,0,1.31,0.0,59.9,0,0
1852,8080,泰霖,27.5,0.25,0.92,26M06,3.23,0.0,48.1,0,0,0.0,0.0,0.0,0,0,3.23,0.0,48.1,0,0
1853,8081,致新,256.0,-5.0,-1.92,26M06,0.83,0.0,9.68,0,0,0.0,0.0,0.0,0,0,0.83,0.0,9.68,0,0
1854,8084,巨虹,44.4,1.95,4.59,26M06,0.37,0.0,5.29,0,0,0.0,0.0,0.0,0,0,0.37,0.0,5.29,0,0
1855,8085,福華,11.3,0.15,1.35,26M06,3.16,0.0,22.6,0,0,0.0,0.0,0.0,0,0,3.16,0.0,22.6,0,0
1856,8086,宏捷科,111.5,-12.0,-9.72,26M06,6.26,0.0,31.9,0,0,0.0,0.0,0.0,0,0,6.26,0.0,31.9,0,0
1857,8088,品安,47.1,-1.3,-2.69,26M06,0.65,-72.2,10.7,0,0,0.0,5.0,0.01,0,0,0.65,-67.2,10.7,0,0
1858,8089,康全電訊,18.15,-0.35,-1.89,26M06,2.21,0.0,33.5,0,0,0.0,0.0,0.0,0,0,2.21,0.0,33.5,0,0
1859,8091,翔名,225.0,-4.0,-1.75,26M06,0.31,0.0,5.84,0,0,0.01,0.0,0.16,0,0,0.32,0.0,6.0,0,0
