"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"831","3563","牧德","697","+4","+0.58","26W32","08/07","39.1","-1.18","44.4","-0.6","50.1","-1.2","58.4","-0.46"
"832","2496","卓越","54.6","+0.1","+0.18","26W32","08/07","38.2","+0.53","46.6","-0.03","50.4","0","60.6","0"
"833","6625","必應","77","-0.8","-1.03","26W32","08/07","38.5","-0.47","43.4","-0.33","51.1","0","51.9","0"
"834","6279","胡連","127","-0.5","-0.39","26W32","08/07","41","-0.57","46.1","-0.52","53.6","-0.08","57.9","-0.01"
"835","00714","群益道瓊美國地產","21.89","-0.24","-1.08","26W32","08/07","41","-1.04","47","-1.41","49.2","-1.46","59","-4.32"
"836","4590","富田-創","89.4","-0.6","-0.67","26W32","08/07","38.9","+0.3","45.6","+0.16","51.9","+0.83","55.6","+0.01"
"837","4121","優盛","13.15","-0.05","-0.38","26W32","08/07","43","+0.07","46.9","+0.06","50.3","+0.09","52.7","+0.09"
"838","6695","芯鼎","49.2","+0.9","+1.86","26W32","08/07","39","-0.53","45.1","+0.2","50.3","+0.06","51.1","+0.06"
"839","5009","榮剛","33.3","-0.3","-0.89","26W32","08/07","40.2","-0.12","46","-0.09","51","-0.21","53.6","-0.2"
"840","2548","華固","93.8","-2.1","-2.19","26W32","08/07","38.2","+0.64","43.4","+0.61","49.5","+0.7","53.6","+0.42"
"841","2329","華泰","44.1","+0.3","+0.68","26W32","08/07","43.8","-0.15","46.8","-0.26","49.8","-0.35","51.6","-0.16"
"842","1788","杏昌","129","-0.5","-0.39","26W32","08/07","37.1","+0.05","39.8","+0.05","50.1","+0.05","53.4","+0.05"
"843","3708","上緯投控","101","-2","-1.94","26W32","08/07","41.1","-0.15","45.1","+0.15","50.5","-0.14","55.2","-0.14"
"844","4972","湯石照明","16.75","+0.05","+0.3","26W32","08/07","39.3","-0.04","45","-0.04","50.3","-0.04","54.8","-0.03"
"845","4729","熒茂","18.7","-0.35","-1.84","26W32","08/07","36.1","-0.2","40.9","-0.68","49.1","+0.03","49.8","-0.01"
