排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
200,6117,迎廣,85.5,-9.5,-10.0,05/27,-188,-378,-412,-400,-247,-197.0,-588.0,-797.0,-794.0,-705.0
201,00985B,群益ESG投等債0-5,10.14,-0.02,-0.2,05/27,0,-98,-190,-399,-399,-11.0,4669.0,5445.0,,5445.0
202,6462,神盾,133.0,-13.5,-9.22,05/27,241,102,42,-394,-346,-427.0,-1154.0,-1834.0,3161.0,-1792.0
203,1723,中碳,81.0,-1.0,-1.22,05/27,-258,-305,-388,-393,-755,-847.0,-3325.0,-2535.0,4731.0,-3942.0
204,8415,大國鋼,34.85,-0.05,-0.14,05/27,35,-127,-238,-391,-627,-672.0,987.0,725.0,-892.0,702.0
205,8054,安國,107.5,-4.5,-4.02,05/27,-153,-116,-289,-387,-186,1361.0,-387.0,-662.0,1622.0,-427.0
206,2478,大毅,120.0,1.0,0.84,05/27,-124,-41,13,-383,264,695.0,-1179.0,-2918.0,1402.0,-3617.0
207,2368,金像電,1375.0,-70.0,-4.84,05/27,-374,-308,-195,-382,-1601,-3678.0,-5165.0,-13335.0,-5011.0,-7239.0
208,3491,昇達科,2080.0,5.0,0.24,05/27,-120,-203,-246,-374,155,369.0,-25.0,-3083.0,-571.0,-437.0
209,00881,國泰台灣科技龍頭,54.75,1.25,2.34,05/27,508,80,-98,-373,-379,-662.0,4501.0,20407.0,21791.0,16214.0
210,3563,牧德,842.0,-48.0,-5.39,05/27,-90,-100,-382,-372,-325,-348.0,-869.0,-698.0,1732.0,-461.0
211,3026,禾伸堂,608.0,38.0,6.67,05/27,-400,-370,-365,-369,-1257,702.0,579.0,-1484.0,1443.0,-1313.0
212,6284,佳邦,113.0,-4.5,-3.83,05/27,-150,-241,-301,-365,-540,-431.0,-117.0,-1817.0,-1140.0,-2921.0
213,009813,貝萊德標普卓越50,11.3,-0.07,-0.62,05/27,0,0,-352,-352,-356,-1673.0,-1787.0,-7341.0,,-1511.0
214,6173,信昌電,226.0,2.0,0.89,05/27,-143,-143,-143,-352,-444,-312.0,-2438.0,-3679.0,-886.0,-5048.0
215,6449,鈺邦,370.0,18.0,5.11,05/27,-5,-5,-109,-351,-507,-615.0,-913.0,-837.0,-370.0,-872.0
