" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1101台泥","水泥","7.94","7.94","8.1","41","0.16"," ","613,954","613,954","625,627","41","11,673","24.40","0.75"," "
" "," ","","1102亞泥","水泥","26.19","26.19","26.19","32","0.00"," ","929,013","929,011","929,011","21","-2","34.00","1.60"," "
" "," ","","1103嘉泥","水泥","17.4","17.4","17.4","32","0.00"," ","137,537","137,537","137,537","32","0","13.45","0.25"," "
" "," ","","1104環泥","水泥","25.19","25.19","25.19","32","0.00"," ","172,990","172,995","172,995","40","5","27.45","0.25"," "
" "," ","","1108幸福","水泥","3.95","3.95","3.95","32","0.00"," ","16,005","16,005","16,005","32","0","13.70","0.15"," "
" "," ","","1109信大","水泥","35.01","35.02","35.02","40","0.01"," ","119,455","119,485","119,485","40","30","14.60","0.15"," "
" "," ","","1110東泥","水泥","31.4","31.4","31.4","32","0.00"," ","179,633","179,633","179,633","32","0","14.60","0.60"," "
" "," ","","1201味全","食品","14.55","14.55","14.55","32","0.00"," ","73,648","73,648","73,648","32","0","12.10","0.10"," "
" "," ","","1203味王","食品","33.27","33.29","33.29","40","0.02"," ","79,855","79,915","79,915","40","60","43.55","0.55"," "
" "," ","","1210大成","食品","17.74","17.74","17.74","32","0.00"," ","158,744","158,764","158,764","40","20","52.60","0.80"," "
" "," ","","1213大飲","食品","28.14","28.14","28.14","32","0.00"," ","15,935","15,935","15,935","32","0","8.31","0.15"," "
" "," ","","1215卜蜂","食品","28.38","28.38","28.38","32","0.00"," ","83,677","83,677","83,677","32","0","125.00","-2.50"," "
" "," ","","1216統一","食品","9.88","9.88","9.88","32","0.00"," ","561,746","561,746","561,746","32","0","71.80","1.00"," "
" "," ","","1217愛之味","食品","12.69","12.74","12.74","40","0.05"," ","62,764","63,010","63,010","40","246","9.72","0.08"," "
" "," ","","1218泰山","食品","11.65","11.65","11.65","32","0.00"," ","58,279","58,279","58,279","32","0","18.75","0.25"," "
" "," ","","1219福壽","食品","9.91","9.91","9.91","32","0.00"," ","33,848","33,848","33,848","32","0","12.65","0.15"," "
" "," ","","1220台榮","食品","23.33","23.33","23.33","32","0.00"," ","41,318","41,318","41,318","32","0","11.65","0.00"," "
" "," ","","1225福懋油","食品","14.95","14.97","2.53","30","-12.42"," ","36,241","36,271","6,130","30","-30,111","29.25","0.05"," "
" "," ","","1227佳格","食品","3.2","3.2","3.2","32","0.00"," ","29,320","29,320","29,320","32","0","27.95","0.05"," "
" "," ","","1229聯華","食品","24.16","24.16","24.16","32","0.00"," ","433,995","433,995","433,995","32","0","39.90","0.50"," "
" "," ","","1231聯華食","食品","21.21","21.21","21.21","32","0.00"," ","63,328","63,328","63,328","32","0","85.50","0.80"," "
" "," ","","1232大統益","食品","61.13","61.02","60.96","10","-0.17"," ","97,794","97,624","97,532","10","-262","147.50","0.00"," "
" "," ","","1233天仁","食品","11.85","11.85","11.85","32","0.00"," ","10,740","10,740","10,740","32","0","28.00","0.00"," "
" "," ","","1234黑松","食品","13.15","13.15","13.13","20","-0.02"," ","52,866","52,866","52,801","20","-65","34.40","0.20"," "
" "," ","","1235興泰","食品","3.26","31.46","31.46","40","28.20"," ","6,158","59,330","59,330","40","53,172","41.10","0.30"," "
" "," ","","1236宏亞","食品","16.74","16.74","16.74","32","0.00"," ","14,512","14,512","14,512","32","0","24.40","0.10"," "
