代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2542,興富發,47.0,-0.75,-1.57,26W35,08/28,3,34464,25.8,1.6,17,144636,14.4,6.72,7,7316,2.43,0.34,3,43450,32.5,2.02
2855,統一證,48.55,0.75,1.57,26W35,08/28,-7,-17459,-11.5,-1.09,13,93467,16.4,5.84,0,0,0.0,0.0,3,5620,10.8,0.35
6187,萬潤,1365.0,-65.0,-4.55,26W35,08/28,1,170,0.95,0.17,8,3614,2.83,3.68,4,206,0.25,0.21,5,6465,6.82,6.58
006205,富邦上証,40.62,-0.12,-0.29,26W35,08/28,-4,-424,-6.85,-0.45,7,521,2.95,0.55,1,105,11.9,0.11,1,76,8.63,0.08
00645,富邦日本,58.5,0.35,0.6,26W35,08/28,-3,-266,-16.8,-0.62,7,734,14.3,1.71,-2,-222,-23.9,-0.52,1,58,13.3,0.13
00652,富邦印度,33.0,-0.07,-0.21,26W35,08/28,-1,-55,-6.94,-0.09,7,699,7.35,1.15,-2,-166,-9.7,-0.27,1,30,3.78,0.05
00662,富邦NASDAQ,120.05,0.2,0.17,26W35,08/28,1,285,2.46,0.03,7,962,0.75,0.11,-22,-161427,-31.3,-17.9,-22,-153638,-29.8,-17.1
00709,富邦歐洲,40.83,-0.53,-1.28,26W35,08/28,-3,-6,-0.35,-0.04,7,976,28.9,6.52,5,1041,39.2,6.96,19,3874,46.6,25.9
009814,富邦標普500,11.37,-0.02,-0.18,26W35,08/28,-4,-1208,-5.87,-0.81,7,10275,27.8,6.87,-4,-6353,-30.9,-4.25,-2,-3104,-25.7,-2.08
2486,一詮,261.0,2.0,0.77,26W35,08/28,-3,-5834,-4.04,-2.49,7,5765,1.76,2.46,-1,-21,-0.04,-0.01,-1,-395,-0.75,-0.17
