"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1062","3321","同泰","18.3","-0.15","-0.81","26M05","0.69","0","8.05","0","0","0","0","0","0","0","0.69","0","8.05","0","0"
"1063","3322","建舜電","11.4","-0.2","-1.72","26M05","1.15","0","8.35","0","0","0","0","0","0","0","1.15","0","8.35","0","0"
"1064","3325","旭品","11.4","-0.25","-2.15","26M05","1.07","0","9.75","0","0","0","0","0","0","0","1.07","0","9.75","0","0"
"1065","3332","幸康","64","+1.5","+2.4","26M05","1.89","0","39.4","0","0","0","0","0","0","0","1.89","0","39.4","0","0"
"1066","3349","寶德","23","0","0","26M05","0.53","0","11.6","0","0","0","0","0","0","0","0.53","0","11.6","0","0"
"1067","3354","律勝","20.7","+0.1","+0.49","26M05","2.65","0","37.7","0","0","0","0","0","0","0","2.65","0","37.7","0","0"
"1068","3356","奇偶","65.5","+2.6","+4.13","26M05","0.82","-6,628","10.3","0","0","0.01","0","0.12","0","0","0.83","-6,628","10.4","0","0"
"1069","3357","臺慶科","228.5","-25","-9.86","26M05","2.79","+7,000","24.3","0","0","0","0","0","0","0","2.79","+7,000","24.3","0","0"
"1070","3360","尚立","16.3","-0.8","-4.68","26M05","0.84","0","11","0","0","0","0","0.04","0","0","0.85","0","11.1","0","0"
"1071","3372","典範","15.7","-0.4","-2.48","26M05","1.35","0","7.67","0","0","0","0","0","0","0","1.35","0","7.67","0","0"
"1072","3374","精材","325","0","0","26M05","11.1","0","41","0","0","0","0","0","0","0","11.1","0","41","0","0"
"1073","3379","彬台","29.65","0","0","26M05","0.6","0","15.7","0","0","0","0","0","0","0","0.6","0","15.7","0","0"
"1074","3380","明泰","27.8","-0.5","-1.77","26M05","29.6","0","54.6","0","0","0","0","0","0","0","29.6","0","54.6","0","0"
"1075","3388","崇越電","83.9","+7.6","+9.96","26M05","2.31","0","31.2","0","0","0.01","0","0.07","0","0","2.31","0","31.2","0","0"
"1076","3390","旭軟","22.1","-0.25","-1.12","26M05","1.32","0","16.8","0","0","0.01","0","0.13","0","0","1.33","0","16.9","0","0"
"1077","3402","漢科","125.5","-2.5","-1.95","26M05","1.41","0","19.3","0","0","0","0","0","0","0","1.41","0","19.3","0","0"
"1078","3413","京鼎","295.5","-6.5","-2.15","26M05","0.72","0","6.5","0","0","0","0","0","0","0","0.72","0","6.5","0","0"
"1079","3419","譁裕","12.1","+0.1","+0.83","26M05","1.58","+1,022","13.1","0","0","0","0","0","0","0","1.58","+1,022","13.1","0","0"
"1080","3430","奇鈦科","118","-1","-0.84","26M05","0.39","0","11.4","0","0","0","0","0","0","0","0.39","0","11.4","0","0"
"1081","3432","台端","15.4","-0.5","-3.14","26M05","0.7","0","16.7","0","0","0","0","0","0","0","0.7","0","16.7","0","0"
"1082","3434","哲固","30.7","+0.7","+2.33","26M05","0.69","+160","19.2","0","0","0","0","0","0","0","0.69","+160","19.2","0","0"
"1083","3437","榮創","17.5","-0.2","-1.13","26M05","0.43","0","2.96","0","0","0","0","0","0","0","0.43","0","2.96","0","0"
"1084","3438","類比科","58.8","-1.4","-2.33","26M05","2.05","0","43.5","0","0","0","0","0","0","0","2.05","0","43.5","0","0"
"1085","3441","聯一光","83.8","-1.2","-1.41","26M05","0.61","0","15.1","0","0","0","-17","0.01","0","0","0.61","-17","15.2","0","0"
"1086","3443","創意","5465","-75","-1.35","26M05","4.67","0","34.8","0","0","0","0","0","0","0","4.67","0","34.8","0","0"
"1087","3444","利機","76.5","-2.2","-2.8","26M05","0.55","0","12.3","0","0","0","0","0","0","0","0.55","0","12.3","0","0"
"1088","3447","展達","27.1","-0.75","-2.69","26M05","3.62","0","46.7","0","0","0","0","0","0","0","3.62","0","46.7","0","0"
"1089","3450","聯鈞","510","-17","-3.23","26M05","1.12","0","7.69","0","0","0.04","0","0.28","0","0","1.16","0","7.96","0","0"
"1090","3455","由田","230","+5","+2.22","26M05","0.35","0","5.82","0","0","0","0","0","0","0","0.35","0","5.82","0","0"
"1091","3465","進泰電子","29.5","-0.4","-1.34","26M05","1.24","0","35.2","0","0","0","0","0.04","0","0","1.24","0","35.2","0","0"
"1092","3467","台灣精材","46.6","+0.8","+1.75","26M05","0.67","0","21.7","0","0","0","0","0","0","0","0.67","0","21.7","0","0"
"1093","3479","安勤","129.5","-10","-7.17","26M05","1.74","0","24","0","0","0","0","0","0","0","1.74","0","24","0","0"
"1094","3481","群創","50.1","+0.7","+1.42","26M05","0.47","0","0.06","0","0","0","0","0","0","0","0.47","0","0.06","0","0"
"1095","3483","力致","73.4","-0.6","-0.81","26M05","0.36","0","3.61","0","0","0","+2","0.02","0","0","0.36","+2","3.63","0","0"
"1096","3484","崧騰","51.6","+1.3","+2.58","26M05","0.68","0","8.57","0","0","0","0","0","0","0","0.68","0","8.57","0","0"
"1097","3485","敘豐","207","-7","-3.27","26M05","0.64","+90","18.7","0","0","0","-45.7","0","0","0","0.64","+44.3","18.7","0","0"
"1098","3489","森寶","26.05","+0.15","+0.58","26M05","5.63","0","62.2","0","0","0","0","0","0","0","5.63","0","62.2","0","0"
"1099","3492","長盛","21.25","-1.15","-5.13","26M05","1.5","0","42.1","0","0","0","0","0","0","0","1.5","0","42.1","0","0"
"1100","3494","誠研","7.11","0","0","26M05","1.25","0","13.2","0","0","0.01","0","0.12","0","0","1.26","0","13.3","0","0"
"1101","3498","陽程","158","+14","+9.72","26M05","0.51","0","8.27","0","0","0","0","0","0","0","0.51","0","8.27","0","0"
"1102","3499","環天科","12.95","-0.05","-0.38","26M05","0.45","0","8.16","0","0","0","0","0","0","0","0.45","0","8.16","0","0"
"1103","3501","維熹","40.2","+0.45","+1.13","26M05","2.51","0","21.2","0","0","0","0","0.01","0","0","2.51","0","21.3","0","0"
"1104","3504","揚明光","74.1","-1.9","-2.5","26M05","3.72","0","32.6","0","0","0","0","0","0","0","3.72","0","32.6","0","0"
"1105","3508","位速","19.25","+1.65","+9.38","26M05","1.03","0","9.9","0","0","0","0","0","0","0","1.03","0","9.9","0","0"
"1106","3511","矽瑪","20.3","-0.25","-1.22","26M05","3","0","37.5","0","0","0","0","0","0","0","3","0","37.5","0","0"
"1107","3512","皇龍","19.7","0","0","26M05","4.63","+20","41","0","0","0","0","0.01","0","0","4.63","+20","41","0","0"
"1108","3515","華擎","228","-8","-3.39","26M05","5.72","0","46.3","0","0","0","0","0","0","0","5.72","0","46.3","0","0"
"1109","3516","亞帝歐","25.2","-0.2","-0.79","26M05","0.65","0","10.9","0","0","0","0","0","0","0","0.65","0","10.9","0","0"
"1110","3520","華盈","18.2","-0.05","-0.27","26M05","1.74","+11,007","25.2","0","0","0","0","0","0","0","1.74","+11,007","25.2","0","0"
"1111","3521","台鋼建設","12.25","-0.4","-3.16","26M05","0.01","0","0.06","0","0","0","0","0","0","0","0.01","0","0.06","0","0"
"1112","3523","迎輝","14.65","-0.35","-2.33","26M05","2.37","0","36.9","0","0","0","0","0","0","0","2.37","0","36.9","0","0"
"1113","3527","聚積","51.9","-0.5","-0.95","26M05","0.59","0","13.3","0","0","0","0","0","0","0","0.59","0","13.3","0","0"
"1114","3528","安馳","90","0","0","26M05","3.76","0","56.5","0","0","0","0","0","0","0","3.76","0","56.5","0","0"
"1115","3530","晶相光","56.2","-0.5","-0.88","26M05","1.77","0","22.8","0","0","0","0","0","0","0","1.77","0","22.8","0","0"
"1116","3531","先益","21.4","-0.3","-1.38","26M05","1.07","0","17.4","0","0","0","0","0","0","0","1.07","0","17.4","0","0"
"1117","3532","台勝科","356","+13","+3.79","26M05","27","0","69.7","0","0","0","0","0","0","0","27","0","69.7","0","0"
"1118","3533","嘉澤","1720","-90","-4.97","26M05","2.08","0","18.4","0","0","0","0","0","0","0","2.08","0","18.4","0","0"
"1119","3535","晶彩科","92","-0.3","-0.33","26M05","1.23","0","15.5","0","0","0","0","0","0","0","1.23","0","15.5","0","0"
"1120","3537","堡達","56.5","-2.1","-3.58","26M05","0.99","-81","17.6","0","0","0","0","0","0","0","0.99","-81","17.6","0","0"
"1121","3543","州巧","40.1","0","0","26M05","1.64","0","14.9","0","0","0.01","0","0.12","0","0","1.66","0","15","0","0"
"1122","3545","敦泰","48.8","-1.6","-3.17","26M05","1.48","+102","6.7","0","0","0","0","0","0","0","1.48","+102","6.7","0","0"
"1123","3546","宇峻","73.6","0","0","26M05","0.61","0","10.5","0","0","0","0","0","0","0","0.61","0","10.5","0","0"
"1124","3548","兆利","75.6","-1.4","-1.82","26M05","1.18","0","17.4","0","0","0","0","0","0","0","1.18","0","17.4","0","0"
"1125","3551","世禾","175","-4.5","-2.51","26M05","1.11","0","17.7","0","0","0","0","0","0","0","1.11","0","17.7","0","0"
"1126","3552","同致","45","-0.5","-1.1","26M05","1.98","0","20.2","0","0","0","0","0.01","0","0","1.98","0","20.2","0","0"
"1127","3555","博士旺","162","-5","-2.99","26M05","1.54","0","38.6","0","0","0","0","0","0","0","1.54","0","38.6","0","0"
"1128","3556","禾瑞亞","63.7","-1.2","-1.85","26M05","0.65","0","10.1","0","0","0","0","0","0","0","0.65","0","10.1","0","0"
"1129","3558","神準","130","-1","-0.76","26M05","2.13","0","36","0","0","0","0","0","0","0","2.13","0","36","0","0"
"1130","3563","牧德","687","-16","-2.28","26M05","1.99","0","31.1","0","0","0","0","0","0","0","1.99","0","31.1","0","0"
"1131","3564","其陽","46.15","-2.2","-4.55","26M05","3.58","0","60.5","0","0","0","0","0","0","0","3.58","0","60.5","0","0"
"1132","3567","逸昌","25.75","-0.2","-0.77","26M05","0.11","0","3.33","0","0","0","0","0","0","0","0.11","0","3.33","0","0"
"1133","3570","大塚","163.5","-1","-0.61","26M05","0.73","0","42.5","0","0","0","0","0","0","0","0.73","0","42.5","0","0"
"1134","3576","聯合再生","17.75","-0.15","-0.84","26M05","19.5","0","12","0","0","0","0","0","0","0","19.5","0","12","0","0"
"1135","3583","辛耘","711","-8","-1.11","26M05","0.99","0","12.3","0","0","0","0","0","0","0","0.99","0","12.3","0","0"
"1136","3588","通嘉","54.5","-0.9","-1.62","26M05","0.51","0","8.19","0","0","0","0","0","0","0","0.51","0","8.19","0","0"
"1137","3591","艾笛森","20.55","-0.4","-1.91","26M05","1.01","0","6.92","0","0","0","0","0","0","0","1.01","0","6.92","0","0"
"1138","3592","瑞鼎","231","-4.5","-1.91","26M05","1.18","-494","15.6","0","0","0","0","0","0","0","1.18","-494","15.6","0","0"
"1139","3593","力銘","11.6","-0.4","-3.33","26M05","1.55","0","25.4","0","0","0","0","0","0","0","1.55","0","25.4","0","0"
"1140","3596","智易","165","-1","-0.6","26M05","4.15","0","18.8","0","0","0","0","0","0","0","4.15","0","18.8","0","0"
"1141","3597","映興","26.7","+0.05","+0.19","26M05","0.65","0","16.7","0","0","0","0","0","0","0","0.65","0","16.7","0","0"
"1142","3607","谷崧","14.2","-0.1","-0.7","26M05","1.09","0","8.99","0","0","0","0","0.04","0","0","1.1","0","9.03","0","0"
"1143","3609","三一東林","25.05","+0.05","+0.2","26M05","0.36","0","9.48","0","0","0","0","0","0","0","0.36","0","9.48","0","0"
"1144","3611","鼎翰","189","+0.5","+0.27","26M05","1.83","0","38.6","0","0","0","0","0.09","0","0","1.84","0","38.6","0","0"
"1145","3622","洋華","52.1","-3.1","-5.62","26M05","5.3","+0.64","35","0","0","0","0","0","0","0","5.3","+0.64","35","0","0"
"1146","3623","富晶通","21.65","+0.05","+0.23","26M05","1.43","0","48.8","0","0","0","0","0","0","0","1.43","0","48.8","0","0"
"1147","3624","光頡","89.5","-5.6","-5.89","26M05","4.72","0","40.2","0","0","0","0","0","0","0","4.72","0","40.2","0","0"
