排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1,2424,隴華,8.63,0.04,0.47,26M06,0.99,8173.0,16.5,0.99,100.0,0.0,0.0,0.0,0,0,0.99,8173.0,16.5,0.99,100.0
2,4502,健信,15.7,0.0,0.0,26M06,1.26,0.0,21.9,1.25,99.8,0.0,0.0,0.0,0,0,1.26,0.0,21.9,1.25,99.8
3,3040,遠見,38.45,0.35,0.92,26M06,2.4,0.0,36.3,2.39,99.6,0.01,0.0,0.08,0,0,2.41,0.0,36.4,2.39,99.4
4,6994,富威電力,36.1,0.15,0.42,26M06,2.26,-7384.0,30.4,2.24,99.0,0.0,0.0,0.02,0,0,2.26,-7384.0,30.5,2.24,99.0
5,2530,華建,19.45,0.2,1.04,26M06,28.4,250072.0,33.8,26.4,92.9,0.07,0.0,0.08,0,0,28.5,250072.0,33.9,26.4,92.7
6,8341,日友,76.0,0.7,0.93,26M06,5.11,0.0,39.3,4.57,89.4,0.0,0.0,0.0,0,0,5.11,0.0,39.3,4.57,89.4
7,8476,台境*,20.5,-0.4,-1.91,26M06,1.38,0.0,8.31,1.23,89.3,0.0,0.0,0.0,0,0,1.38,0.0,8.31,1.23,89.3
8,2020,美亞,21.55,0.4,1.89,26M06,4.47,102.0,16.8,3.98,89.0,0.0,0.0,0.0,0,0,4.47,102.0,16.8,3.98,89.0
9,3339,泰谷,37.8,-2.8,-6.9,26M06,0.58,44.0,8.68,0.5,86.6,0.0,0.0,0.0,0,0,0.58,44.0,8.68,0.5,86.6
10,6126,信音,31.75,0.2,0.63,26M06,1.24,20.0,9.52,1.07,86.5,0.0,0.0,0.0,0,0,1.24,20.0,9.52,1.07,86.5
11,4523,永彰,25.8,0.2,0.78,26M06,2.81,77.4,43.2,2.41,85.8,0.0,0.0,0.0,0,0,2.81,77.4,43.2,2.41,85.8
12,2514,龍邦,12.25,0.1,0.82,26M06,13.4,15.0,33.9,11.5,85.7,0.0,0.0,0.0,0,0,13.4,15.0,33.9,11.5,85.7
13,2740,華軒,30.9,0.5,1.64,26M06,0.43,0.0,25.8,0.37,85.0,0.0,0.0,0.0,0,0,0.43,0.0,25.8,0.37,85.0
14,7723,築間,20.35,1.85,10.0,26M06,0.82,0.0,16.6,0.7,84.9,0.0,0.0,0.0,0,0,0.82,0.0,16.6,0.7,84.9
15,3312,弘憶股,48.0,0.3,0.63,26M06,5.73,0.0,31.4,4.8,83.8,0.0,0.0,0.0,0,0,5.73,0.0,31.4,4.8,83.8
16,1718,中纖,9.91,-0.29,-2.84,26M06,9.63,0.0,5.71,8.06,83.6,0.0,0.0,0.0,0,0,9.63,0.0,5.71,8.06,83.6
17,2528,皇普,20.6,0.1,0.49,26M06,18.4,0.0,42.2,15.3,83.1,0.0,0.0,0.0,0,0,18.4,0.0,42.2,15.3,83.1
18,3338,泰碩,64.0,-1.2,-1.84,26M06,1.71,15.0,19.5,1.4,81.6,0.0,0.0,0.0,0,0,1.71,15.0,19.5,1.4,81.6
19,1314,中石化,7.8,-0.01,-0.13,26M06,26.1,0.0,6.91,21.1,80.6,0.0,0.0,0.0,0,0,26.1,0.0,6.91,21.1,80.6
20,3164,景岳,16.4,0.1,0.61,26M06,1.01,-10.0,11.7,0.81,80.0,0.0,30.0,0.03,0,0,1.01,20.0,11.8,0.81,79.7
21,4171,瑞基,17.05,-0.15,-0.87,26M06,0.51,1.0,8.86,0.41,79.7,0.0,0.0,0.0,0,0,0.51,1.0,8.86,0.41,79.7
22,6179,亞通,27.05,0.7,2.66,26M06,1.08,117.0,6.12,0.86,79.4,0.0,0.0,0.0,0,0,1.08,117.0,6.12,0.86,79.4
23,4994,傳奇,87.2,0.5,0.58,26M06,1.8,330.0,27.1,1.42,78.8,0.0,0.0,0.0,0,0,1.8,330.0,27.1,1.42,78.8
24,2414,精技,55.7,-0.8,-1.42,26M06,5.37,0.0,33.2,4.27,79.6,0.06,0.0,0.34,0,0,5.42,0.0,33.5,4.27,78.8
25,1338,廣華-KY,15.25,0.0,0.0,26M06,1.53,0.0,18.3,1.2,78.2,0.0,0.0,0.0,0,0,1.53,0.0,18.3,1.2,78.2
26,5531,鄉林,7.71,0.04,0.52,26M06,25.2,0.0,25.7,19.0,75.6,0.0,0.0,0.0,0,0,25.2,0.0,25.7,19.0,75.6
27,6662,樂斯科,28.4,-0.25,-0.87,26M06,0.03,-2239.0,1.23,0.02,75.1,0.0,0.0,0.0,0,0,0.03,-2239.0,1.23,0.02,75.1
28,6111,光聚晶電,37.0,0.1,0.27,26M06,2.4,0.0,22.1,1.8,75.1,0.0,0.0,0.0,0,0,2.4,0.0,22.1,1.8,75.1
29,4707,磐亞,31.9,-1.95,-5.76,26M06,2.83,-17777.0,7.01,2.11,74.6,0.0,0.0,0.0,0,0,2.83,-17777.0,7.01,2.11,74.6
30,6160,欣技,14.05,-0.1,-0.71,26M06,1.29,0.0,18.9,0.98,76.2,0.05,0.0,0.79,0,0,1.35,0.0,19.7,0.98,73.1
31,1464,得力,10.35,-0.05,-0.48,26M06,4.31,3199.0,10.1,3.15,73.1,0.0,-14.1,0.0,0,0,4.31,3185.0,10.1,3.15,73.1
32,3207,耀勝,41.4,-0.2,-0.48,26M06,0.65,-758.0,9.79,0.47,72.3,0.0,0.0,0.0,0,0,0.65,-758.0,9.79,0.47,72.3
33,2905,三商,16.4,0.2,1.23,26M06,48.5,0.0,43.7,34.4,70.8,0.0,0.0,0.0,0,0,48.5,0.0,43.7,34.4,70.8
34,4174,浩鼎,25.95,0.0,0.0,26M06,1.29,0.0,9.79,0.9,69.9,0.0,0.0,0.0,0,0,1.29,0.0,9.79,0.9,69.9
35,8443,阿瘦,11.4,-0.05,-0.44,26M06,1.38,0.0,20.7,0.94,68.1,0.0,0.0,0.0,0,0,1.38,0.0,20.7,0.94,68.1
36,2461,光群雷,17.35,0.7,4.2,26M06,1.62,0.0,9.23,1.1,68.0,0.0,0.0,0.0,0,0,1.62,0.0,9.23,1.1,68.0
37,1598,岱宇,20.3,0.3,1.5,26M06,1.49,0.0,8.3,1.0,67.0,0.0,0.0,0.0,0,0,1.49,0.0,8.3,1.0,67.0
38,2524,京城,34.15,0.1,0.29,26M06,4.97,0.0,13.6,3.27,65.8,0.0,-1387.0,0.0,0,0,4.97,-1387.0,13.6,3.27,65.8
39,2732,六角,64.0,0.0,0.0,26M06,1.43,0.0,30.7,0.93,65.1,0.0,0.0,0.0,0,0,1.43,0.0,30.7,0.93,65.1
40,6165,浪凡,50.6,1.1,2.22,26M06,0.0,0.0,0.05,0.0,68.4,0.0,0.0,0.0,0,0,0.0,0.0,0.05,0.0,65.0
41,2241,艾姆勒,32.65,-2.45,-6.98,26M06,1.11,0.0,10.6,0.72,64.9,0.0,0.0,0.0,0,0,1.11,0.0,10.6,0.72,64.9
42,4113,聯上,14.8,0.05,0.34,26M06,5.95,0.0,25.7,3.89,65.4,0.07,0.0,0.28,0,0,6.01,0.0,26.0,3.89,64.7
43,3466,德晉,24.5,0.15,0.62,26M06,0.92,2.0,11.9,0.6,64.5,0.0,0.0,0.0,0,0,0.92,2.0,11.9,0.6,64.5
44,8941,關中,43.4,0.0,0.0,26M06,1.17,-636.0,33.5,0.74,63.5,0.0,0.0,0.0,0,0,1.17,-636.0,33.5,0.74,63.5
45,1432,大魯閣,15.1,-0.05,-0.33,26M06,0.99,0.0,9.19,0.61,61.7,0.0,0.0,0.0,0,0,0.99,0.0,9.19,0.61,61.7
