"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"72","8437","大地-KY","10.5","0","0","26W18","04/30","32.1","+0.09","29.2","+0.03","25.2","+0.01"
"73","8921","沈氏","18.3","+0.1","+0.55","26W18","04/30","76.5","-0.01","67.9","-0.01","62.1","0"
"74","00957B","兆豐US優選投等債","13.5","+0.02","+0.15","26W18","04/30","47.3","-0.36","45.8","-0.09","43.1","+0.27"
"75","3008","大立光","4165","+35","+0.85","26W18","04/30","51.3","-0.47","47.2","-0.33","45.9","-0.37"
"76","3689","湧德","113.5","-1.5","-1.3","26W18","04/30","26","+1.78","22.9","+0.88","15.9","-0.11"
"77","2421","建準","142","-3","-2.07","26W18","04/30","50.6","+0.61","46.3","-0.07","44.1","+0.58"
"78","6026","福邦證","16.55","-0.15","-0.9","26W18","04/30","45.4","+0.86","43","+1.05","40.7","+0.56"
"79","4729","熒茂","21.1","-0.9","-4.09","26W18","04/30","50.4","+0.1","47.8","+0.04","46.8","+0.04"
"80","00731","復華富時高息低波","85.5","+0.15","+0.18","26W18","04/30","19","+4.02","14.2","+1.55","14.2","+4.42"
"81","5351","鈺創","84.3","-1.2","-1.4","26W18","04/30","27.3","+0.95","25.3","+0.7","22.4","+0.42"
"82","00966B","統一ESG投等債15+","13.98","+0.02","+0.14","26W18","04/30","35.7","+0.2","34.6","+0.73","32.5","+0.01"
"83","6442","光聖","1820","-70","-3.7","26W18","04/30","53.1","+0.6","43.2","+0.62","38.4","+0.56"
"84","3362","先進光","164","-7","-4.09","26W18","04/30","57.2","-0.11","51.7","-0.02","49.1","-0.02"
"85","3704","合勤控","45.95","+0.9","+2","26W18","04/30","53.4","-0.81","51.8","-0.61","50.7","-0.21"
"86","1605","華新","34.3","0","0","26W18","04/30","68.7","-0.09","68.1","-0.06","67.4","-0.1"
"87","1563","巧新","60","+2","+3.45","26W18","04/30","36.7","+0.21","34.2","+0.54","30.7","+0.16"
"88","1714","和桐","14.4","+1.3","+9.92","26W18","04/30","59.5","-0.16","57.5","-0.1","55.7","-0.2"
"89","00987B","野村10+澳洲公債","15.81","+0.02","+0.13","26W18","04/30","40.5","+0.71","37.2","-0.21","31.2","+0.85"
"90","1708","東鹼","45.55","-0.95","-2.04","26W18","04/30","46.5","+0.96","44.9","+1.76","41.7","+1.07"
"91","3675","德微","300","+4","+1.35","26W18","04/30","57.9","+1.26","55.4","0","55.4","0"
"92","2387","精元","39.9","-0.3","-0.75","26W18","04/30","55.2","-0.01","54","-0.01","51.3","0"
"93","4924","欣厚-KY","11.95","0","0","26W18","04/30","65.2","-0.24","59.9","-0.24","54.8","-0.24"
