" "," ","#","股票代號/名稱","類別","20260313","0320","0327","0402","0410","0417"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","3645達邁","電子零組件","10.70","-1.55","0.17","-0.41","-0.71","6.47"," ","31","14.67"," ","54.11","104.50","4.00"," "
" "," ","2","3026禾伸堂","電子零組件","-0.39","0.63","1.79","2.15","5.41","3.45"," ","30","13.04"," ","54.47","233.50","-7.00"," "
" "," ","3","2484希華","電子零組件","0.17","0.23","-0.70","0.90","0.83","11.08"," ","31","12.51"," ","33.26","42.40","2.10"," "
" "," ","4","3583辛耘","半導體","0.61","2.54","3.08","-0.51","3.19","1.93"," ","30","10.84"," ","62.61","760.00","56.00"," "
" "," ","5","1597直得","電機","0.49","0.16","1.61","-0.36","1.94","5.58"," ","50","9.42"," ","56.96","117.50","0.50"," "
" "," ","6","4989榮科","電子零組件","-0.33","-5.80","-3.97","-0.64","9.73","10.23"," ","50","9.22"," ","49.07","102.50","-2.50"," "
" "," ","7","6451訊芯-KY","半導體","0.46","6.06","2.62","0.34","1.33","-2.01"," ","30","8.80"," ","77.38","505.00","11.00"," "
" "," ","8","3057喬鼎","電腦週邊","0.14","0.00","0.00","0.00","0.00","8.63"," ","41","8.77"," ","30.91","18.60","0.50"," "
" "," ","9","3042晶技","電子零組件","-0.05","0.53","0.05","0.38","1.35","5.93"," ","50","8.19"," ","67.00","151.50","11.50"," "
" "," ","10","8112至上","電子通路","10.24","1.40","-2.15","-0.83","-0.01","-0.60"," ","30","8.05"," ","49.77","87.20","1.40"," "
" "," ","11","5243乙盛-KY","光電","-0.20","-0.95","-0.21","4.02","3.94","0.82"," ","10","7.42"," ","70.70","124.00","2.00"," "
" "," ","12","8021尖點","其他電子","0.47","2.97","0.90","-2.21","4.23","0.82"," ","30","7.18"," ","52.88","390.50","35.50"," "
" "," ","13","3450聯鈞","半導體","-3.60","-0.51","4.74","-6.14","7.35","5.16"," ","30","7.00"," ","43.10","366.00","25.00"," "
" "," ","14","8150南茂","半導體","-0.39","0.13","-0.04","-0.12","0.83","6.50"," ","50","6.91"," ","74.21","67.30","-6.40"," "
" "," ","15","2351順德","半導體","1.34","2.65","0.69","1.06","0.77","0.35"," ","10","6.86"," ","69.84","129.00","7.00"," "
" "," ","16","3209全科","電子通路","0.69","3.18","0.44","0.58","0.38","1.32"," ","31","6.59"," ","45.77","47.45","0.45"," "
