排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
81,8424,惠普,68.8,-0.1,-0.15,14,07/14,-25.0,-25.0,-25.0,-25.0,-25.0,-40.0,50.0,,-70.0,
82,2012,春雨,15.55,0.0,0.0,78,07/14,-1.04,-1.04,-16.2,-24.8,-26.0,148.0,198.0,70.5,52.8,27.3
83,6138,茂達,333.0,-15.0,-4.31,2431,07/14,-7.69,-17.4,-16.9,-24.4,22.6,29.3,82.1,70.3,4.19,102.0
84,3122,笙泉,28.4,-1.1,-3.73,183,07/14,-10.2,-11.7,-11.7,-24.3,-25.4,-33.8,-83.6,-91.5,-98.8,-92.1
85,00915,凱基優選高股息30,31.43,-0.33,-1.04,5741,07/14,0.0,-7.41,-7.41,-24.2,-34.2,-78.3,-82.9,-96.8,-98.0,-94.1
86,4938,和碩,82.1,-0.5,-0.61,8919,07/14,-14.7,-19.4,-19.2,-24.1,-32.4,10.4,3.83,-18.3,181.0,-17.2
87,1294,漢田生技,56.5,-1.2,-2.08,64,07/14,-8.59,-14.6,-13.4,-23.9,-22.6,-2.16,20.7,417.0,,805.0
88,4540,全球傳動,55.3,-3.2,-5.47,3795,07/14,-20.5,-21.5,-22.2,-23.9,-16.8,-21.3,-26.4,-6.53,-20.3,0.37
89,3221,台嘉碩,52.3,-3.7,-6.61,3665,07/14,-5.52,-8.97,-10.9,-23.9,-10.8,-15.6,6.34,143.0,166.0,157.0
90,6861,睿生光電,237.0,-26.0,-9.89,902,07/14,-8.37,-12.6,-13.9,-23.7,-21.6,-11.8,-2.31,347.0,456.0,493.0
91,00719B,元大美債1-3,31.46,0.03,0.1,3848,07/14,3.57,26.1,-13.4,-23.7,-31.0,-45.3,-35.6,-18.3,-79.1,-57.4
92,6195,詩肯,26.3,-0.05,-0.19,16,07/14,0.0,-23.5,-23.5,-23.5,-49.0,-57.4,8.33,-44.7,-40.9,-48.0
93,5489,彩富,50.1,-5.5,-9.89,592,07/14,-14.1,-24.5,-24.7,-23.4,-15.5,-6.07,-13.8,-33.8,-51.7,-33.9
94,00652,富邦印度,33.13,-0.05,-0.15,388,07/14,-21.8,-21.8,-23.2,-23.2,-25.9,-73.9,-17.3,79.2,7.5,-34.8
95,009824,群益美國科技巨頭,10.11,0.01,0.1,26043,07/14,-11.4,-15.5,-33.8,-23.2,-18.9,,,,,
96,00916,國泰全球品牌50,26.27,0.19,0.73,3291,07/14,-14.3,-16.8,-18.0,-23.2,-27.1,-53.9,3057.0,22000.0,761.0,22000.0
97,00661,元大日經225,87.3,1.05,1.22,118,07/14,-23.1,-23.1,-23.1,-23.1,-23.1,-16.7,-77.8,42.9,-83.3,-74.4
98,1236,宏亞,22.95,-0.35,-1.5,94,07/14,0.0,9.13,19.5,-23.1,-8.84,68.1,46.5,63.3,26.1,92.4
99,2480,敦陽科,158.5,-5.0,-3.06,373,07/14,-1.9,-11.3,-14.7,-23.0,-13.2,-26.0,-20.8,4.03,18.0,12.8
100,6887,寶綠特-KY,36.1,-1.05,-2.83,1103,07/14,-22.7,-22.8,-22.8,-22.9,-22.6,-24.0,-19.9,140.0,,157.0
101,1590,亞德客-KY,1290.0,-30.0,-2.27,602,07/14,-8.73,-14.2,-20.1,-22.8,-17.3,-34.3,-33.5,-25.8,-29.9,-33.1
102,1718,中纖,13.9,-0.45,-3.14,15878,07/14,-6.45,-9.16,-14.7,-22.7,5.89,84.4,37.5,36.8,-24.7,22.5
103,7402,邑錡,141.5,-2.0,-1.39,7831,07/14,-7.17,-17.2,-22.7,-22.6,-40.0,-42.0,-41.5,-54.4,-11.2,-52.3
104,00926,凱基全球菁英55,25.29,0.0,0.0,774,07/14,0.0,-22.2,-22.2,-22.2,-22.2,0.0,-73.4,-91.5,-93.4,-91.9
105,6741,91APP*-KY,57.3,-1.9,-3.21,1060,07/14,-23.6,-24.0,-23.5,-22.0,-19.3,-20.7,-32.9,-35.3,-1.57,-28.7
106,6739,竹陞科技,1085.0,35.0,3.33,309,07/14,-3.16,-7.05,-9.63,-21.8,-0.76,-5.7,-31.9,,,
107,8367,建新國際,40.3,-0.2,-0.49,31,07/14,0.0,-8.33,-26.7,-21.4,-62.1,-50.0,-71.8,-78.4,-91.9,-78.0
108,6435,大中,334.0,-8.5,-2.48,1742,07/14,-10.8,-21.1,-25.3,-21.4,0.65,32.8,22.1,97.9,96.8,101.0
109,6174,安碁,56.2,-0.3,-0.53,822,07/14,-3.3,-10.8,-14.2,-21.3,-3.82,-11.9,242.0,294.0,183.0,244.0
110,00639,富邦深100,17.68,0.49,2.85,1389,07/14,-22.7,-18.7,-17.9,-21.2,-17.6,-28.2,-8.12,-68.5,-87.4,-69.2
111,6021,美好證,37.75,-0.2,-0.53,352,07/14,-6.09,-9.98,-15.1,-21.1,-36.8,-52.6,16.6,-15.5,21.3,13.8
112,00947,台新臺灣IC設計,35.15,-1.04,-2.87,11175,07/14,-9.86,-18.6,-17.5,-20.8,-23.3,116.0,633.0,300.0,1080.0,1209.0
113,3264,欣銓,217.5,-7.5,-3.33,6872,07/14,-4.75,-4.34,-3.22,-20.5,-10.7,-12.7,-62.9,-62.1,-15.6,-63.8
114,1219,福壽,11.8,-0.1,-0.84,986,07/14,-7.18,-14.4,-20.9,-20.3,-14.3,-14.3,-6.51,-42.2,-70.1,-28.5
115,1762,中化生,37.35,-0.55,-1.45,322,07/14,1.46,0.29,1.75,-19.9,-14.7,-10.4,-19.0,-27.2,-12.9,-26.2
116,6719,力智,244.0,-8.5,-3.37,3324,07/14,-5.84,-11.6,-10.5,-19.9,-5.73,56.5,338.0,284.0,51.7,286.0
