"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","3481","群創","35.5","+3.2","+9.91","05/12","+11,005","-104,043","-109,880","-112,061","-112,696","-92,774","-111,358","+423,601","+554,733","+279,442"
"2","2317","鴻海","250","-2","-0.79","05/12","-945","-8,134","-9,456","-33,126","-37,784","-35,607","+19,943","+67,617","+12,513","+56,427"
"3","2887","台新新光金","23","-0.45","-1.92","05/12","-7,161","-11,445","-12,390","-29,869","-41,721","-30,541","+115,306","+168,403","-893,452","+8,171"
"4","2301","光寶科","234.5","+10.5","+4.69","05/12","-1,116","-16,325","-17,301","-27,546","-28,935","-26,081","+16,157","-56,821","+5,985","+21,072"
"5","0056","元大高股息","45.58","-0.18","-0.39","05/12","-17,539","-20,138","-19,763","-22,600","-32,714","-11,740","+42,194","+66,142","+81,983","-20,752"
"6","2881","富邦金","93.7","-1.8","-1.88","05/12","-15,285","-20,294","-21,214","-22,434","-26,689","-3,372","+101,417","+72,809","+221,074","+75,466"
"7","2882","國泰金","76.4","-2","-2.55","05/12","+851","-9,140","-5,913","-22,128","-23,879","+41,301","+121,453","-117,933","+196,181","+55,413"
"8","2356","英業達","48.7","-1.5","-2.99","05/12","-2,752","-4,537","-6,636","-21,894","-43,614","-67,766","-69,058","-15,808","-89,494","-34,937"
"9","2027","大成鋼","39.7","-0.25","-0.63","05/12","-3,907","-15,565","-18,095","-18,466","-24,249","-9,504","+46,696","+100,966","+105,244","+67,242"
"10","2408","南亞科","321","+20","+6.64","05/12","-2,129","-2,519","-4,728","-11,448","-15,785","-15,501","+20,349","+33,058","-49,333","+21,120"
"11","00900","富邦特選高股息30","17.25","-0.01","-0.06","05/12","-1,932","-3,765","-8,995","-11,275","-8,396","-6,076","+18,629","-34,383","+9,682","-3,073"
"12","00878","國泰永續高股息","28.13","-0.15","-0.53","05/12","-1,653","-596","-4,213","-8,266","+15","-12,522","+11,100","-14,411","-39,444","+9,115"
"13","6116","彩晶","10.65","+0.94","+9.68","05/12","-5,287","-7,129","-7,918","-8,170","-7,762","-21,427","+14,540","+115,325","+96,189","+118,892"
