排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
153,2404,漢唐,市,1340.0,-25.0,-1.83,4492,06/26,365,425,-95,694,69.5,36.5,＋＋－
154,8299,群聯,櫃,2310.0,-165.0,-6.67,5854,06/26,174,19,-165,28,80.4,36.4,＋＋－
155,3264,欣銓,櫃,214.5,-13.5,-5.92,7215,06/26,-193,-623,-109,-925,176.0,36.0,－－－
156,8096,擎亞,櫃,145.0,-10.5,-6.75,2660,06/26,100,0,-50,50,53.6,35.9,＋・－
157,2049,上銀,市,307.0,-27.5,-8.22,4272,06/26,-579,1,-46,-624,126.0,35.7,－＋－
158,2395,研華,市,455.5,-24.5,-5.1,2470,06/26,-536,192,-26,-370,306.0,35.3,－＋－
159,2449,京元電子,市,308.0,-26.5,-7.92,52126,06/26,2555,-2593,-418,-455,429.0,35.1,＋－－
160,2891,中信金,市,70.3,-0.3,-0.42,43250,06/26,-918,350,2557,1989,6823.0,34.7,－＋＋
161,6239,力成,市,314.0,-12.0,-3.68,34384,06/26,7045,-2868,-2229,1948,263.0,34.6,＋－－
162,1303,南亞,市,148.0,-7.0,-4.52,30181,06/26,-1014,3628,-3915,-1301,2745.0,34.6,－＋－
163,3596,智易,市,181.5,-13.5,-6.92,3323,06/26,-1721,593,-26,-1154,74.6,33.8,－＋－
164,2324,仁寶,市,34.8,-2.05,-5.56,80548,06/26,-16040,-3499,-963,-20502,1478.0,33.5,－－－
165,6144,得利影,櫃,14.65,-0.1,-0.68,15,06/26,1,0,0,1,12.8,33.4,＋・・
166,3008,大立光,市,4720.0,-445.0,-8.62,3386,06/26,-173,-138,-37,-348,43.6,33.3,－－－
167,3131,弘塑,櫃,3310.0,-260.0,-7.28,327,06/26,-6,25,-8,11,9.85,33.3,－＋－
168,1301,台塑,市,52.2,-5.8,-10.0,62631,06/26,-23336,0,-1596,-24933,2115.0,33.2,－・－
169,3006,晶豪科,市,227.0,-13.0,-5.42,11222,06/26,253,16,-147,121,98.8,33.2,＋＋－
170,2357,華碩,市,701.0,-47.0,-6.28,7061,06/26,-473,-1326,93,-1706,245.0,33.0,－－＋
171,5434,崇越,市,490.0,-15.0,-2.97,1862,06/26,-530,500,4,-27,63.9,33.0,－＋＋
172,1521,大億,市,25.9,-0.5,-1.89,44,06/26,-9,0,0,-9,25.1,32.9,－・・
173,8358,金居,櫃,570.0,-60.0,-9.52,16346,06/26,-3187,192,-272,-3266,83.1,32.9,－＋－
174,1342,八貫,市,111.0,-2.0,-1.77,718,06/26,383,0,0,383,25.6,32.8,＋・・
175,2337,旺宏,市,162.5,1.0,0.62,191101,06/26,57327,-3505,1915,55737,651.0,32.8,＋－＋
176,6176,瑞儀,市,87.7,-3.0,-3.31,8059,06/26,-2377,-1489,-135,-4001,152.0,32.8,－－－
177,6271,同欣電,市,255.0,-16.5,-6.08,29441,06/26,-2119,70,-117,-2166,67.2,32.1,－＋－
178,6139,亞翔,市,878.0,3.0,0.34,10134,06/26,2859,379,-263,2975,75.2,31.9,＋＋－
179,2243,宏旭-KY,市,53.0,-2.5,-4.5,674,06/26,-3,0,-1,-4,22.0,31.6,－・－
180,6442,光聖,市,1680.0,-185.0,-9.92,3965,06/26,-375,-315,-1,-690,24.6,31.4,－－－
181,5347,世界,櫃,202.0,-18.0,-8.18,61374,06/26,-6069,10171,-885,3218,585.0,31.1,－＋－
182,4557,永新-KY,市,46.8,-0.3,-0.64,51,06/26,-8,0,1,-7,14.9,31.1,－・＋
183,3491,昇達科,櫃,1230.0,-110.0,-8.21,2302,06/26,355,-59,-25,271,21.4,31.0,＋－－
184,1216,統一,市,74.6,-1.0,-1.32,9814,06/26,-2686,1940,709,-37,1758.0,30.9,－＋＋
185,6146,耕興,櫃,190.0,-5.5,-2.81,266,06/26,22,-3,-1,18,31.5,30.9,＋－－
186,6854,錼創科技-KY創,市,121.0,-3.0,-2.42,609,06/26,-102,0,-2,-104,36.3,30.9,－・－
187,2884,玉山金,市,34.55,-0.9,-2.54,41921,06/26,-17609,3718,1863,-12028,4977.0,30.8,－＋＋
188,6274,台燿,櫃,1580.0,-120.0,-7.06,6162,06/26,539,56,-69,527,87.9,30.4,＋＋－
189,5904,寶雅,櫃,636.0,-24.0,-3.64,378,06/26,35,6,-7,33,32.4,30.4,＋＋－
190,1503,士電,市,233.5,-10.0,-4.11,4752,06/26,506,0,-150,356,158.0,30.3,＋・－
191,6257,矽格,市,224.0,-14.0,-5.88,13707,06/26,-3465,-811,-402,-4679,146.0,30.2,－－－
192,4154,樂威科-KY,櫃,12.95,0.0,0.0,0,06/26,0,0,0,0,11.5,30.0,・・・
193,6641,基士德-KY,市,17.95,-0.2,-1.1,61,06/26,-24,0,0,-24,10.9,30.0,－・・
194,2347,聯強,市,92.8,-2.2,-2.32,7520,06/26,-1334,1130,142,-62,497.0,29.8,－＋＋
195,2727,王品,市,246.5,-2.5,-1.0,544,06/26,-57,1,1,-54,24.7,29.8,－＋＋
196,6921,嘉雨思-創,市,68.3,-1.4,-2.01,40,06/26,-28,0,3,-25,9.42,29.6,－・＋
197,2890,永豐金,市,39.15,-0.8,-2.0,43325,06/26,416,6708,2062,9186,4289.0,29.6,＋＋＋
198,4706,大恭,櫃,32.1,-1.45,-4.32,7,06/26,2,0,1,3,23.3,29.5,＋・＋
199,2393,億光,市,67.6,-1.5,-2.17,2735,06/26,548,-746,-29,-227,130.0,29.3,＋－－
200,4545,銘鈺,市,37.0,0.3,0.82,295,06/26,95,0,0,95,22.6,29.3,＋・・
201,6669,緯穎,市,4280.0,-265.0,-5.83,1721,06/26,-52,5,-96,-143,54.2,29.2,－＋－
202,6223,旺矽,櫃,6500.0,-405.0,-5.87,753,06/26,-14,66,-13,39,28.5,29.1,－＋－
203,1304,台聚,市,13.2,-0.2,-1.49,5259,06/26,465,0,-126,339,341.0,28.7,＋・－
204,8429,金麗-KY,市,6.17,-0.1,-1.59,171,06/26,-8,0,-1,-9,53.3,28.7,－・－
205,7744,崴寶,櫃,441.0,-9.0,-2.0,94,06/26,0,0,-4,-4,9.19,28.6,－・－
206,2421,建準,市,137.0,-8.5,-5.84,3674,06/26,-1379,0,-96,-1476,81.8,28.5,－・－
207,4737,華廣,市,57.0,-0.1,-0.18,130,06/26,-57,0,-2,-59,22.0,28.5,－・－
208,4764,雙鍵,市,275.5,-27.5,-9.08,1258,06/26,149,0,6,155,24.3,28.4,＋・＋
209,9904,寶成,市,25.3,-0.65,-2.5,42079,06/26,-24806,-5982,76,-30713,837.0,28.4,－－＋
210,1476,儒鴻,市,315.5,-5.5,-1.71,1471,06/26,-119,278,1,160,77.6,28.3,－＋＋
211,6933,AMAX-KY,市,137.5,-7.5,-5.17,236,06/26,-13,0,-5,-18,12.0,28.2,－・－
212,4938,和碩,市,81.0,-5.0,-5.81,23507,06/26,-5282,-5739,-124,-11145,757.0,28.2,－－－
213,6531,愛普*,市,990.0,-110.0,-10.0,4499,06/26,-1181,117,22,-1042,45.4,27.8,－＋＋
214,9921,巨大,市,76.5,2.0,2.68,2017,06/26,957,0,0,958,109.0,27.8,＋・＋
215,00943,兆豐電子高息等權,市,21.63,-1.17,-5.13,163,06/26,-65,0,-45,-110,11.6,27.8,－・－
216,4915,致伸,市,73.5,-0.1,-0.14,6935,06/26,-1121,2033,-151,761,130.0,27.6,－＋－
217,2455,全新,市,348.0,-38.0,-9.84,2530,06/26,131,-552,63,-359,51.0,27.6,＋－＋
218,6187,萬潤,櫃,1075.0,-30.0,-2.71,1331,06/26,160,1,1,162,27.1,27.6,＋＋＋
219,6488,環球晶,櫃,936.0,-104.0,-10.0,2432,06/26,-29,-747,-179,-955,131.0,27.5,－－－
220,3211,順達,櫃,390.0,-18.0,-4.41,4461,06/26,-669,135,-65,-599,42.1,27.3,－＋－
221,5457,宣德,櫃,34.0,-2.1,-5.82,1577,06/26,-74,0,-19,-93,53.6,27.3,－・－
222,6672,騰輝電子-KY,市,292.0,2.5,0.86,16711,06/26,491,0,-89,402,19.3,27.0,＋・－
223,2885,元大金,市,66.3,-0.4,-0.6,29838,06/26,7331,-10291,1134,-1827,3586.0,26.9,＋－＋
224,2368,金像電,市,1190.0,-50.0,-4.03,5855,06/26,1993,-440,-135,1418,139.0,26.9,＋－－
225,3036,文曄,市,215.5,-2.0,-0.92,10428,06/26,3612,-2696,-52,864,339.0,26.7,＋－－
226,1337,再生-KY,市,4.83,-0.09,-1.83,733,06/26,-111,0,-2,-113,71.3,26.5,－・－
227,3653,健策,市,3405.0,15.0,0.44,1905,06/26,824,-95,-17,712,38.9,26.5,＋－－
228,3231,緯創,市,153.0,-7.0,-4.38,43076,06/26,-22368,3594,-206,-18980,842.0,26.5,－＋－
229,4414,如興,市,8.38,-0.22,-2.56,320,06/26,-111,0,-35,-146,69.8,26.5,－・－
230,5215,科嘉-KY,市,42.95,-1.25,-2.83,300,06/26,91,0,0,91,17.0,26.4,＋・・
231,4935,茂林-KY,市,36.45,-1.4,-3.7,172,06/26,-52,0,1,-51,34.0,26.4,－・＋
232,3443,創意,市,4420.0,-430.0,-8.87,2292,06/26,-98,39,-184,-243,35.3,26.3,－＋－
233,6592,和潤企業,市,64.5,-0.9,-1.38,1394,06/26,-575,2,-16,-590,163.0,26.2,－＋－
234,3081,聯亞,櫃,2035.0,-85.0,-4.01,2488,06/26,152,26,-9,169,24.2,26.2,＋＋－
235,1259,安心,櫃,56.1,-0.3,-0.53,15,06/26,3,0,0,3,8.47,26.1,＋・・
236,1340,勝悅-KY,市,5.29,-0.08,-1.49,259,06/26,24,0,-3,21,40.0,26.1,＋・－
