排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,25.9,0.4,1.57,56,06/04,24,0,-5,19,1730.0,99.4,＋・－
2,8482,商億-KY,市,49.9,0.8,1.63,5,06/04,1,0,0,1,98.6,91.8,＋・・
3,8455,大拓-KY,櫃,36.65,-4.05,-9.95,79,06/04,0,0,0,0,22.1,87.8,・・・
4,6890,來億-KY,市,231.5,21.0,9.98,5825,06/04,-743,1890,26,1172,218.0,87.3,－＋＋
5,6230,尼得科超眾,市,142.5,-0.5,-0.35,100,06/04,-31,0,0,-31,75.2,87.1,－・－
6,4560,強信-KY,市,32.95,0.75,2.33,475,06/04,66,0,-3,63,57.8,84.8,＋・－
7,2762,世界健身-KY,市,85.7,0.2,0.23,118,06/04,22,0,0,22,93.0,82.7,＋・・
8,6415,矽力*-KY,市,570.0,-29.0,-4.84,3132,06/04,234,-213,-8,13,313.0,80.6,＋－－
9,1590,亞德客-KY,市,1310.0,-60.0,-4.38,644,06/04,-58,-30,-1,-88,160.0,80.2,－－－
10,1341,富林-KY,市,63.5,0.7,1.11,18,06/04,1,0,0,1,42.2,79.9,＋・・
11,006203,元大MSCI台灣,市,192.6,-2.4,-1.23,10,06/04,1,0,-3,-2,8.02,78.5,＋・－
12,6965,中傑-KY,市,81.8,0.0,0.0,32,06/04,11,0,0,11,121.0,77.3,＋・・
13,3711,日月光投控,市,593.0,-25.0,-4.05,21218,06/04,1534,-4838,234,-3070,3454.0,77.2,＋－＋
14,5276,達輝-KY,櫃,19.9,0.8,4.19,47,06/04,6,0,0,6,30.4,77.0,＋・・
15,6629,泰金-KY,櫃,118.5,0.5,0.42,48,06/04,17,0,-1,16,29.5,77.0,＋・－
16,6924,榮惠-KY創,市,169.5,-18.5,-9.84,168,06/04,-15,0,5,-10,15.8,76.6,－・＋
17,2239,英利-KY,市,25.0,0.05,0.2,49,06/04,-10,0,2,-8,88.7,75.4,－・＋
18,6666,羅麗芬-KY,市,40.65,-0.1,-0.25,11,06/04,-2,0,0,-2,35.6,75.2,－・・
19,8291,尚茂,櫃,78.8,-8.7,-9.94,20,06/04,0,0,0,0,12.8,73.5,・・・
20,8499,鼎炫-KY,市,297.0,0.5,0.17,47,06/04,-9,0,0,-8,29.7,72.1,－・＋
21,4148,全宇生技-KY,市,32.4,-0.1,-0.31,33,06/04,3,0,-3,0,47.8,71.1,＋・－
22,2330,台積電,市,2385.0,-40.0,-1.65,32543,06/04,-11256,538,1099,-9619,18250.0,70.4,－＋＋
23,8488,吉源-KY,市,10.1,-0.1,-0.98,15,06/04,3,0,1,4,51.1,69.6,＋・＋
24,6863,永道-KY,市,106.5,-1.5,-1.39,79,06/04,-25,0,0,-24,52.0,69.4,－・＋
25,6451,訊芯-KY,市,680.0,-44.0,-6.08,11188,06/04,157,0,-129,27,74.5,69.3,＋・－
26,6550,北極星藥業-KY,市,13.1,-0.15,-1.13,1635,06/04,-189,0,-4,-193,614.0,68.6,－・－
27,3093,港建*,櫃,61.7,5.6,9.98,6184,06/04,696,0,4,701,98.6,68.0,＋・＋
28,2754,亞洲藏壽司,櫃,68.2,-0.4,-0.58,21,06/04,-7,0,0,-7,31.8,67.9,－・・
29,6781,AES-KY,市,1155.0,-55.0,-4.55,2000,06/04,-204,-41,-60,-305,57.9,67.8,－－－
30,8426,紅木-KY,櫃,21.95,-0.25,-1.13,34,06/04,0,0,0,0,34.0,67.6,・・・
31,4569,六方科-KY,市,169.5,-2.5,-1.45,59,06/04,7,0,0,7,20.5,67.0,＋・・
32,4807,日成-KY,市,35.35,3.2,9.95,1091,06/04,75,0,11,86,32.8,67.0,＋・＋
33,2924,宏太-KY,櫃,17.25,1.55,9.87,38,06/04,2,0,0,2,34.8,66.8,＋・・
34,6862,三集瑞-KY,市,186.0,-8.5,-4.37,902,06/04,55,0,-17,39,33.4,66.8,＋・－
35,2029,盛餘,市,20.9,0.1,0.48,254,06/04,64,0,2,66,214.0,66.7,＋・＋
36,4571,鈞興-KY,市,191.5,-3.5,-1.79,482,06/04,59,0,-3,56,35.2,66.4,＋・－
37,3529,力旺,櫃,3545.0,-25.0,-0.7,870,06/04,-62,-122,0,-184,48.3,64.7,－－＋
38,2308,台達電,市,2425.0,-30.0,-1.22,9416,06/04,-154,222,128,195,1673.0,64.4,－＋＋
39,5538,東明-KY,市,35.2,-0.65,-1.81,26,06/04,-4,0,0,-4,128.0,63.8,－・・
40,4958,臻鼎-KY,市,492.5,-17.5,-3.43,10609,06/04,-1096,-2516,187,-3425,681.0,63.6,－－＋
41,4439,冠星-KY,市,90.8,0.5,0.55,31,06/04,9,0,0,9,23.4,61.4,＋・・
42,3675,德微,櫃,361.0,-10.0,-2.7,483,06/04,4,0,-7,-3,32.5,61.2,＋・－
43,4442,竣邦-KY,櫃,51.0,-0.2,-0.39,20,06/04,-1,0,0,-1,19.6,61.0,－・・
44,7722,LINEPAY,市,278.0,1.0,0.36,169,06/04,-32,0,-1,-32,40.5,59.6,－・－
45,2849,安泰銀,市,14.2,0.2,1.43,269,06/04,68,0,2,70,1153.0,58.9,＋・＋
46,4190,佐登-KY,市,24.8,0.15,0.61,47,06/04,9,0,0,9,36.1,58.8,＋・・
47,5288,豐祥-KY,市,166.5,0.0,0.0,127,06/04,23,0,0,23,41.0,58.8,＋・・
48,8444,綠河-KY,櫃,5.12,-0.01,-0.19,70,06/04,0,0,0,0,65.1,58.6,・・・
49,2345,智邦,市,2510.0,-75.0,-2.9,2462,06/04,-352,11,-149,-490,328.0,58.4,－＋－
50,2360,致茂,市,2620.0,75.0,2.95,2502,06/04,224,-56,14,181,248.0,58.2,＋－＋
51,6768,志強-KY,市,95.7,-1.2,-1.24,1266,06/04,184,-4,0,181,114.0,57.0,＋－＋
52,6431,光麗-KY,市,18.35,-0.35,-1.87,70,06/04,0,0,0,0,55.3,56.8,・・・
53,3665,貿聯-KY,市,2155.0,-150.0,-6.51,3373,06/04,-679,44,1,-634,110.0,56.4,－＋＋
54,2454,聯發科,市,4430.0,-115.0,-2.53,11204,06/04,317,-352,-67,-101,903.0,56.3,＋－－
55,6616,特昇-KY,櫃,9.75,0.74,8.21,408,06/04,24,0,1,25,19.8,55.9,＋・＋
56,5243,乙盛-KY,市,119.0,-9.5,-7.39,6989,06/04,-2644,0,-254,-2897,94.2,55.9,－・－
57,8442,威宏-KY,市,40.0,0.2,0.5,129,06/04,60,0,0,60,39.2,55.9,＋・・
58,4137,麗豐-KY,市,111.5,3.0,2.76,391,06/04,125,0,-4,121,45.9,55.7,＋・－
59,00985D,主動貝萊德優投等,櫃,10.15,-0.01,-0.1,187,06/04,-1,0,-20,-21,39.8,54.7,－・－
60,6573,虹揚-KY,市,16.65,-1.4,-7.76,1062,06/04,141,0,-1,140,43.9,54.6,＋・－
61,5530,龍巖,櫃,54.8,0.8,1.48,3389,06/04,-504,0,-11,-515,229.0,54.5,－・－
