"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","00988A","主動統一全球創新","19.93","+0.91","+4.78","108,107","05/12","+9,629","+9,642","+10,593","+8,136","+10,095","+10,660","+10,693","+10,758","","+10,747"
"2","2303","聯電","104.5","+9.5","+10","383,024","05/12","+1,379","+1,477","+824","+1,821","+2,840","+3,666","+745","+3,475","+136","+3,377"
"3","3717","聯嘉投控","22.8","-0.5","-2.15","2,514","05/12","-215","-283","+16","+1,284","+1,254","+1,186","+1,086","+1,570","","+1,572"
"4","6173","信昌電","147","+13","+9.7","6,911","05/12","-661","+933","+944","+1,123","+1,132","+1,205","+747","+747","+1,254","+333"
"5","2344","華邦電","121.5","+4","+3.4","317,629","05/12","+304","+1,118","+122","+1,079","+1,321","+1,391","-9,729","-16,265","+1,016","-25,914"
"6","6116","彩晶","10.65","+0.94","+9.68","134,250","05/12","+591","+675","+580","+847","+856","+859","+452","+831","+772","+690"
"7","00631L","元大台灣50正2","32.52","-0.14","-0.43","170,405","05/12","+227","+513","+884","+640","+1,920","+5,344","+13,344","+12,387","+11,381","+13,735"
"8","4123","晟德","38.35","+0.05","+0.13","1,785","05/12","+73","+339","+406","+589","+551","+774","-327","+794","+810","+503"
"9","2301","光寶科","234.5","+10.5","+4.69","91,946","05/12","+45","+238","+375","+549","+558","+562","+428","+197","+16","+135"
"10","2492","華新科","188.5","+17","+9.91","41,347","05/12","+295","+484","+464","+542","+605","+628","+479","+136","+635","+328"
"11","3450","聯鈞","470.5","+42.5","+9.93","19,390","05/12","+288","+293","+484","+520","+1,141","+947","+917","+790","+124","+553"
"12","00735","國泰臺韓科技","100","-0.7","-0.7","4,206","05/12","-274","-721","-854","+511","+512","+515","+524","+529","+529","+529"
"13","2436","偉詮電","76.6","+0.7","+0.92","14,213","05/12","-21","+68","+49","+510","+439","+2,302","+2,201","+2,282","+1,825","+2,278"
"14","6432","今展科","47.3","-1.3","-2.67","6,481","05/12","+188","+303","+323","+474","+563","+693","+582","+352","+695","+453"
"15","3026","禾伸堂","330","+0.5","+0.15","2,669","05/12","-682","+246","+368","+461","+493","+311","+567","+549","+575","+565"
"16","8150","南茂","87","-4","-4.4","34,359","05/12","+447","+439","+77","+438","+620","+612","+539","+481","+737","+477"
"17","4979","華星光","659","-13","-1.93","19,147","05/12","+367","+382","+372","+401","+394","+540","-279","+163","-135","-1,572"
"18","6015","宏遠證","16.4","-0.5","-2.96","8,437","05/12","+187","+114","+124","+386","+854","+977","+791","+946","+935","+946"
"19","6182","合晶","56.3","-2.3","-3.92","20,610","05/12","-343","+104","-179","+381","+1,185","+1,512","+373","+396","+1,497","+300"
"20","2367","燿華","64.8","+2.2","+3.51","57,458","05/12","+140","+173","+164","+379","+410","+1,858","-1,414","+1,892","+1,760","+1,769"
"21","3702","大聯大","114","0","0","13,479","05/12","+9","+206","+362","+375","+529","+31","+409","+322","+470","+430"
"22","2327","國巨*","419.5","+28","+7.15","63,365","05/12","+110","+84","+148","+364","+303","+723","+732","+346","+869","+747"
"23","1310","台苯","8.52","-0.12","-1.39","2,618","05/12","+338","+357","+357","+356","+357","+293","+353","+345","+358","+349"
"24","5464","霖宏","63.3","+5.7","+9.9","1,162","05/12","+185","+238","+277","+356","+375","+375","+375","+375","+374","+373"
"25","8042","金山電","97.7","+8.8","+9.9","2,882","05/12","+53","+23","+126","+353","+370","+372","+174","+328","+371","-27"
