代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
1475,業旺,25.1,0.0,0.0,05/25,2,13,11.6,0.02,0,0,0.0,0.0,1,2,2.91,0.0,2,15,13.4,0.02
1531,高林股,12.2,-0.15,-1.21,05/25,2,91,15.3,0.05,0,0,0.0,0.0,-1,-1,-0.22,0.0,3,94,13.4,0.05
1597,直得,201.0,18.0,9.84,05/25,2,520,7.13,0.58,0,0,0.0,0.0,5,207,1.18,0.23,2,636,8.72,0.71
1762,中化生,40.2,2.25,5.93,05/25,2,412,27.2,0.54,0,0,0.0,0.0,2,21,1.39,0.03,2,433,28.6,0.56
1805,寶徠,10.0,-0.1,-0.99,05/25,2,15,4.15,0.01,0,0,0.0,0.0,2,10,2.77,0.01,2,25,6.92,0.02
1817,凱撒衛,39.3,-0.05,-0.13,05/25,2,16,10.3,0.02,0,0,0.0,0.0,5,10,1.48,0.01,2,16,10.6,0.02
2033,佳大,15.6,0.15,0.97,05/25,2,50,7.99,0.06,0,0,0.0,0.0,-1,-7,-1.52,-0.01,3,45,6.2,0.06
2109,華豐,13.95,-0.05,-0.36,05/25,2,50,15.3,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,50,15.3,0.02
2221,大甲,44.35,-0.05,-0.11,05/25,2,175,10.9,0.41,0,0,0.0,0.0,0,0,0.0,0.0,2,170,10.6,0.4
2227,裕日車,48.95,-0.25,-0.51,05/25,2,3,7.54,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,3,7.54,0.0
2301,光寶科,227.5,20.5,9.9,05/25,2,8160,15.1,0.35,1,365,1.09,0.02,1,1107,3.3,0.05,2,9565,17.7,0.41
2313,華通,298.5,20.5,7.37,05/25,2,38691,19.3,3.25,2,192,0.1,0.02,3,4053,1.5,0.34,2,41879,20.9,3.51
2329,華泰,56.4,1.8,3.3,05/25,2,1780,7.8,0.27,5,192,0.37,0.03,1,170,1.5,0.03,2,1850,8.11,0.28
2337,旺宏,152.5,3.0,2.01,05/25,2,21235,8.54,1.07,-1,-659,-0.49,-0.03,-1,-54,-0.04,0.0,2,21144,8.5,1.07
2344,華邦電,128.5,3.5,2.8,05/25,2,123534,22.4,2.75,1,5251,1.47,0.12,3,3366,0.44,0.07,2,129782,23.6,2.88
2354,鴻準,61.1,0.9,1.5,05/25,2,2997,12.7,0.21,1,11,0.08,0.0,-1,-25,-0.18,0.0,2,3021,12.8,0.21
2438,翔耀,22.5,0.5,2.27,05/25,2,117,29.3,0.16,0,0,0.0,0.0,0,0,0.0,0.0,2,116,29.1,0.16
