代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
9914,美利達,76.6,1.8,2.41,07/03,1,552,33.3,0.18,3,280,4.35,0.09,1,58,3.49,0.02,1,642,38.7,0.21
9946,三發地產,19.9,0.15,0.76,07/03,-1,-26,-4.55,-0.01,3,105,7.01,0.03,0,0,0.0,0.0,9,1009,18.3,0.31
9958,世紀鋼,120.0,3.0,2.56,07/03,1,162,5.23,0.07,3,187,2.84,0.08,1,71,2.3,0.03,1,256,8.27,0.1
1102,亞泥,36.45,0.05,0.14,07/03,-1,-2633,-15.0,-0.07,2,1085,2.54,0.03,14,10144,3.18,0.29,-1,-2142,-12.2,-0.06
1104,環泥,27.4,0.45,1.67,07/03,1,224,18.4,0.03,2,6,0.33,0.0,-1,-6,-0.53,0.0,1,219,18.0,0.03
1215,卜蜂,112.5,2.0,1.81,07/03,1,178,18.1,0.06,2,4,0.09,0.0,-1,-5,-0.52,0.0,1,175,17.8,0.06
1227,佳格,30.0,0.75,2.56,07/03,2,1313,41.5,0.14,2,4,0.13,0.0,2,227,7.18,0.02,2,1544,48.8,0.17
1434,福懋,18.9,1.4,8.0,07/03,-1,-4555,-13.1,-0.27,2,7,0.02,0.0,2,49,0.12,0.0,-1,-4507,-13.0,-0.27
1440,南紡,14.45,0.5,3.58,07/03,2,3332,21.3,0.2,2,13,0.08,0.0,3,37,0.19,0.0,2,3378,21.6,0.2
1476,儒鴻,323.5,8.5,2.7,07/03,2,753,39.1,0.27,2,19,0.99,0.01,-2,-22,-1.15,-0.01,2,750,38.9,0.27
1503,士電,238.0,0.0,0.0,07/03,1,135,8.64,0.03,2,3,0.08,0.0,1,4,0.27,0.0,1,141,8.97,0.03
1609,大亞,39.8,1.65,4.33,07/03,1,3915,23.8,0.5,2,3,0.01,0.0,1,224,1.36,0.03,1,4140,25.2,0.53
1722,台肥,48.75,0.65,1.35,07/03,3,2608,41.0,0.27,2,8,0.16,0.0,-1,-8,-0.25,0.0,3,2620,41.2,0.27
1773,勝一,177.5,4.5,2.6,07/03,3,453,34.6,0.15,2,5,0.49,0.0,3,5,0.4,0.0,3,464,35.4,0.15
1795,美時,199.5,7.5,3.91,07/03,2,1072,23.2,0.4,2,55,1.19,0.02,2,190,4.11,0.07,2,1317,28.4,0.49
1904,正隆,23.2,1.25,5.69,07/03,2,3652,40.9,0.33,2,9,0.1,0.0,-2,-26,-0.3,0.0,2,3634,40.7,0.33
2023,燁輝,13.65,0.2,1.49,07/03,1,521,19.0,0.03,2,13,0.13,0.0,-1,-14,-0.51,0.0,1,511,18.6,0.03
2059,川湖,8000.0,120.0,1.52,07/03,-4,-246,-14.3,-0.26,2,37,5.14,0.04,-1,-7,-1.84,-0.01,-4,-201,-11.7,-0.21
2201,裕隆,28.8,1.0,3.6,07/03,2,4624,36.1,0.43,2,7,0.05,0.0,2,17,0.13,0.0,2,4648,36.3,0.43
2206,三陽工業,64.0,2.0,3.23,07/03,2,1990,55.7,0.26,2,219,6.13,0.03,-1,-8,-0.29,0.0,2,2205,61.8,0.29
2317,鴻海,240.5,1.5,0.63,07/03,1,586,1.15,0.0,2,2659,2.24,0.02,1,912,1.79,0.01,1,2602,5.1,0.02
2337,旺宏,142.5,-3.0,-2.06,07/03,-5,-105008,-24.0,-5.3,2,386,0.31,0.02,-1,-52,-0.1,0.0,-5,-112617,-25.8,-5.68
2374,佳能,77.1,0.1,0.13,07/03,2,2090,14.9,0.62,2,3,0.02,0.0,-1,-71,-1.72,-0.02,2,2221,15.8,0.66
2383,台光電,6080.0,425.0,7.52,07/03,1,335,10.5,0.09,2,121,2.91,0.03,4,198,3.11,0.06,2,511,12.3,0.14
2392,正崴,39.75,1.85,4.88,07/03,2,1152,30.2,0.22,2,4,0.1,0.0,1,50,1.8,0.01,2,1204,31.6,0.23
2395,研華,521.0,11.0,2.16,07/03,5,3362,24.2,0.39,2,122,3.05,0.01,5,131,0.94,0.02,5,3621,26.1,0.42
2409,友達,30.0,-0.5,-1.64,07/03,-3,-232203,-17.4,-3.08,2,105,0.02,0.0,-3,-14035,-1.05,-0.19,-3,-246431,-18.5,-3.27
2421,建準,149.0,1.0,0.68,07/03,5,1694,18.1,0.59,2,4,0.14,0.0,2,25,0.84,0.01,5,1935,20.7,0.67
2489,瑞軒,41.7,0.1,0.24,07/03,-5,-7351,-11.7,-1.21,2,3,0.02,0.0,1,39,0.58,0.01,-9,-18710,-12.0,-3.07
2520,冠德,34.85,0.25,0.72,07/03,3,1658,45.4,0.27,2,6,0.26,0.0,-2,-10,-0.44,0.0,3,1655,45.3,0.27
2535,達欣工,89.3,0.4,0.45,07/03,-5,-296,-13.1,-0.11,2,3,0.55,0.0,-1,-3,-1.14,0.0,-1,-14,-5.25,-0.01
2543,皇昌,39.2,0.9,2.35,07/03,1,219,25.7,0.04,2,3,0.17,0.0,-6,-50,-0.74,-0.01,1,214,25.2,0.04
2605,新興,30.8,1.75,6.02,07/03,2,3198,27.9,0.55,2,6,0.05,0.0,1,270,3.2,0.05,1,3460,41.0,0.59
2606,裕民,61.8,1.8,3.0,07/03,1,1991,42.2,0.24,2,170,2.43,0.02,3,104,1.01,0.01,2,2129,30.4,0.25
2834,臺企銀,17.95,0.2,1.13,07/03,2,24320,45.3,0.25,2,45,0.08,0.0,-1,-67,-0.21,0.0,2,24298,45.3,0.25
2838,聯邦銀,22.9,0.1,0.44,07/03,-1,-165,-7.3,0.0,2,24,0.62,0.0,2,80,2.03,0.0,-1,-81,-3.57,0.0
2880,華南金,37.65,1.05,2.87,07/03,1,1225,7.47,0.01,2,5224,16.1,0.04,9,7491,2.69,0.05,1,5293,32.3,0.04
2885,元大金,67.2,1.4,2.13,07/03,1,6786,37.2,0.05,2,4291,10.9,0.03,3,1802,3.04,0.01,1,9576,52.5,0.07
2891,中信金,70.6,0.7,1.0,07/03,-4,-37350,-19.7,-0.19,2,8865,9.6,0.05,6,11907,4.35,0.06,2,2835,3.07,0.01
3034,聯詠,538.0,-3.0,-0.55,07/03,-2,-1933,-26.1,-0.32,2,594,8.02,0.1,4,437,2.15,0.07,-2,-1163,-15.7,-0.19
3042,晶技,249.0,22.5,9.93,07/03,-1,-3249,-3.49,-0.95,2,2264,1.35,0.66,-1,-105,-0.11,-0.03,-1,-1945,-2.09,-0.57
3131,弘塑,3785.0,-120.0,-3.07,07/03,-2,-39,-3.93,-0.13,2,161,16.4,0.54,-3,-28,-2.11,-0.09,6,305,11.7,1.03
3260,威剛,411.5,3.5,0.86,07/03,-1,-173,-2.87,-0.05,2,600,4.29,0.18,2,42,0.3,0.01,2,1153,8.25,0.35
3380,明泰,36.0,1.95,5.73,07/03,1,1713,26.9,0.32,2,4,0.05,0.0,2,28,0.35,0.01,1,1725,27.1,0.32
3563,牧德,787.0,-22.0,-2.72,07/03,-7,-803,-9.93,-1.26,2,143,2.63,0.22,-1,-17,-1.31,-0.03,-3,-404,-6.84,-0.63
3703,欣陸,20.85,0.35,1.71,07/03,1,345,25.4,0.04,2,3,0.12,0.0,-1,-11,-0.78,0.0,1,335,24.7,0.04
4766,南寶,370.5,10.0,2.77,07/03,9,2739,41.2,2.27,2,239,15.5,0.2,4,38,1.35,0.03,9,2908,43.7,2.41
4966,譜瑞-KY,654.0,-2.0,-0.3,07/03,-2,-186,-8.05,-0.24,2,459,19.8,0.58,-1,-11,-1.34,-0.01,3,299,7.46,0.38
5483,中美晶,210.5,9.5,4.73,07/03,1,5108,15.7,0.8,2,1489,1.26,0.23,1,373,1.15,0.06,1,5821,17.9,0.91
5880,合庫金,24.7,0.15,0.61,07/03,1,4532,40.9,0.03,2,157,0.65,0.0,11,2225,0.94,0.01,1,4658,42.0,0.03
6121,新普,425.0,7.5,1.8,07/03,-1,-297,-26.5,-0.16,2,565,20.5,0.31,2,18,0.63,0.01,2,427,15.5,0.23
6196,帆宣,588.0,0.0,0.0,07/03,4,878,10.1,0.4,2,39,1.12,0.02,-1,-9,-0.53,0.0,5,1040,9.62,0.47
6197,佳必琪,372.5,9.0,2.48,07/03,2,1268,18.8,1.04,2,2,0.03,0.0,2,220,3.25,0.18,2,1489,22.0,1.22
6223,旺矽,7380.0,125.0,1.72,07/03,3,337,11.5,0.34,2,257,11.6,0.26,-2,-12,-0.54,-0.01,3,577,19.7,0.59
6269,台郡,66.8,1.1,1.67,07/03,-9,-15285,-14.8,-4.72,2,3,0.04,0.0,1,44,1.25,0.01,-9,-16398,-15.8,-5.06
6285,啟碁,258.0,0.0,0.0,07/03,-1,-377,-6.33,-0.08,2,43,0.37,0.01,2,172,1.48,0.04,-1,-309,-5.19,-0.06
6442,光聖,1640.0,5.0,0.31,07/03,-2,-227,-5.67,-0.29,2,271,6.78,0.35,1,19,1.06,0.02,-1,-123,-6.89,-0.16
6505,台塑化,58.9,1.3,2.26,07/03,-1,-533,-1.26,-0.01,2,116,0.17,0.0,1,285,0.68,0.0,-1,-169,-0.4,0.0
6515,穎崴,9900.0,590.0,6.34,07/03,-1,-101,-17.0,-0.28,2,167,13.8,0.46,-2,-28,-2.31,-0.08,3,65,4.42,0.18
6605,帝寶,137.5,4.5,3.38,07/03,-7,-1885,-34.9,-1.14,2,2,0.15,0.0,-6,-23,-0.52,-0.01,-7,-1900,-35.2,-1.15
6805,富世達,1630.0,-40.0,-2.4,07/03,-2,-628,-26.2,-0.92,2,308,12.8,0.45,1,3,0.26,0.0,-2,-326,-13.6,-0.48
8131,福懋科,74.8,4.4,6.25,07/03,2,2134,22.1,0.48,2,3,0.03,0.0,2,227,2.35,0.05,2,2365,24.4,0.53
9802,鈺齊-KY,74.4,1.6,2.2,07/03,2,437,38.2,0.22,2,2,0.17,0.0,0,0,0.0,0.0,2,439,38.3,0.22
9904,寶成,24.45,0.35,1.45,07/03,1,8217,32.0,0.28,2,129,0.19,0.0,1,366,1.42,0.01,1,8608,33.5,0.29
9911,櫻花,85.2,1.1,1.31,07/03,3,609,45.7,0.27,2,3,0.37,0.0,-1,-1,-0.21,0.0,3,608,45.7,0.27
9917,中保科,107.0,2.0,1.9,07/03,1,433,45.9,0.1,2,52,3.58,0.01,-1,-4,-0.42,0.0,1,480,50.9,0.11
9939,宏全,122.0,4.0,3.39,07/03,1,1528,65.0,0.52,2,250,2.87,0.08,-2,-91,-1.05,-0.03,2,1545,17.7,0.52
