排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
218,1907,永豐餘,27.35,0.35,1.3,06/29,1.08,0.38,0.93,0.43,0.16,0.22,0.31,0.47,0.75,6.08,1.4,0.48
219,1612,宏泰,37.0,-0.05,-0.13,06/29,0.0,0.0,0.0,0.43,0.44,0.38,0.54,0.29,0.24,0.14,0.08,0.29
220,00881,國泰台灣科技龍頭,53.0,0.3,0.57,06/29,2.13,0.63,0.84,0.42,0.38,0.21,0.36,0.47,0.31,0.36,,0.46
221,7765,中華資安,220.5,2.0,0.92,06/29,0.0,0.0,0.8,0.42,0.37,0.38,0.48,0.29,,,,0.52
222,2597,潤弘,163.5,-0.5,-0.3,06/29,0.4,1.05,0.73,0.41,0.14,0.03,0.47,0.42,2.54,2.85,1.72,0.42
223,6279,胡連,116.5,0.0,0.0,06/29,0.0,0.0,0.0,0.41,0.32,1.55,1.52,1.67,2.07,3.37,2.73,1.67
224,3131,弘塑,3560.0,250.0,7.55,06/29,0.0,0.54,0.4,0.4,2.49,2.55,5.11,3.86,4.61,4.54,4.05,3.9
225,00935,野村臺灣新科技50,58.95,0.15,0.26,06/29,0.0,0.89,0.72,0.39,0.24,0.35,0.79,1.73,1.32,,,1.74
226,3376,新日興,194.5,0.0,0.0,06/29,2.91,1.02,0.55,0.38,0.2,0.49,0.64,0.58,1.8,2.13,2.84,0.56
227,3029,零壹,97.4,1.6,1.67,06/29,0.0,0.38,0.38,0.37,0.35,0.2,0.29,0.3,0.47,0.33,0.16,0.3
228,2451,創見,275.0,-3.5,-1.26,06/29,0.09,0.22,0.2,0.36,0.39,14.4,5.71,3.98,4.75,5.25,4.45,3.75
229,8091,翔名,263.0,8.0,3.14,06/29,2.26,1.08,0.53,0.32,0.15,0.11,0.04,0.04,0.03,0.01,0.0,0.04
230,1810,和成,19.9,0.5,2.58,06/29,0.0,0.0,0.56,0.31,0.29,0.16,0.27,0.42,0.56,0.39,0.15,0.43
231,1735,日勝化,21.95,0.55,2.57,06/29,0.0,0.0,0.0,0.3,0.12,0.07,0.02,0.01,0.01,0.01,0.0,0.01
232,1608,華榮,32.95,0.15,0.46,06/29,0.13,0.04,0.19,0.3,0.3,0.19,0.33,0.28,0.11,0.06,0.04,0.29
233,00735,國泰臺韓科技,112.0,-1.5,-1.32,06/29,0.0,0.91,0.64,0.3,0.19,0.08,0.04,0.02,0.02,0.02,,0.02
234,3217,優群,178.0,-4.0,-2.2,06/29,2.37,0.84,0.42,0.3,0.2,1.35,2.46,1.93,2.87,3.76,2.87,1.94
235,9938,百和,44.45,1.2,2.77,06/29,0.0,0.0,0.0,0.29,0.37,0.67,2.34,1.46,0.68,0.24,0.06,2.8
236,3455,由田,220.5,-1.0,-0.45,06/29,3.34,1.29,0.72,0.29,0.15,0.25,0.06,0.2,0.18,0.34,0.44,0.21
237,3533,嘉澤,2135.0,30.0,1.43,06/29,0.0,0.0,0.1,0.29,9.89,9.64,6.3,4.16,4.8,5.45,5.97,4.11
238,2480,敦陽科,150.0,-3.0,-1.96,06/29,0.0,0.0,0.0,0.29,0.23,1.07,0.93,0.79,1.46,1.03,0.94,0.79
239,1402,遠東新,29.05,0.55,1.93,06/29,0.11,0.26,0.26,0.28,0.17,10.3,10.4,9.93,8.79,11.7,6.01,9.91
240,4532,瑞智,26.15,2.35,9.87,06/29,0.0,0.0,0.0,0.27,0.39,0.75,1.2,0.99,1.36,0.31,0.79,1.01
241,2542,興富發,43.1,0.2,0.47,06/29,0.46,0.17,0.11,0.27,0.09,0.03,1.92,2.56,2.72,2.97,3.09,2.56
242,2801,彰銀,23.55,0.15,0.64,06/29,0.94,0.47,0.32,0.27,0.27,0.46,1.55,5.62,4.14,3.63,1.77,4.96
243,2539,櫻花建,39.3,1.2,3.15,06/29,0.0,0.0,0.43,0.26,1.03,0.45,0.31,0.43,1.48,0.83,0.61,0.43
244,3040,遠見,37.65,0.15,0.4,06/29,0.0,0.0,0.0,0.26,0.12,0.08,0.12,0.04,0.01,0.0,0.01,0.04
245,5292,華懋,212.0,4.0,1.92,06/29,0.0,0.0,0.21,0.25,0.14,0.12,0.21,0.14,0.11,,,0.14
246,1216,統一,75.7,1.1,1.47,06/29,0.62,0.3,0.26,0.25,1.83,1.99,7.07,8.87,7.29,8.05,3.69,8.92
247,2912,統一超,224.0,1.0,0.45,06/29,0.94,0.4,0.35,0.24,0.21,0.46,1.54,6.26,6.11,4.14,2.68,6.25
248,6613,朋億*,340.0,3.0,0.89,06/29,0.62,0.69,0.53,0.24,0.06,0.05,1.32,1.17,0.97,0.8,,1.17
249,5880,合庫金,24.85,0.15,0.61,06/29,1.01,0.48,0.27,0.23,1.11,0.61,0.62,0.76,1.21,0.97,0.5,0.71
250,2327,國巨*,1040.0,25.0,2.46,06/29,0.31,0.15,0.21,0.23,0.55,0.41,0.88,1.28,1.09,1.19,1.21,1.23
251,2812,台中銀,19.95,0.15,0.76,06/29,1.49,0.52,0.29,0.22,0.12,0.09,0.07,0.21,0.87,0.59,0.54,0.21
252,2206,三陽工業,62.0,0.5,0.81,06/29,0.33,0.16,0.35,0.22,0.22,1.15,4.01,6.76,9.15,3.43,1.4,6.7
253,6139,亞翔,955.0,77.0,8.77,06/29,0.03,0.06,0.04,0.22,0.2,1.1,1.86,1.55,1.96,1.11,0.74,1.51
254,00772B,中信高評級公司債,34.27,0.01,0.03,06/29,0.0,0.0,0.0,0.22,0.13,0.07,0.02,0.01,0.01,0.0,,0.01
255,5483,中美晶,164.0,0.0,0.0,06/29,0.79,0.45,0.26,0.22,0.14,2.49,2.31,2.48,3.56,5.93,2.6,2.51
256,2412,中華電,142.0,-1.0,-0.7,06/29,0.24,0.14,0.18,0.22,0.97,0.71,2.59,2.3,2.54,2.53,2.09,2.28
257,6189,豐藝,49.25,-1.25,-2.48,06/29,0.08,0.04,0.02,0.21,0.12,0.6,0.7,0.47,0.63,1.22,0.93,0.47
258,2886,兆豐金,46.2,0.05,0.11,06/29,0.92,0.4,0.24,0.21,0.79,0.45,2.94,3.06,7.33,6.35,3.56,3.03
259,3583,辛耘,861.0,49.0,6.03,06/29,0.0,0.0,0.03,0.21,0.11,1.95,1.08,0.64,1.02,0.8,0.96,0.64
260,1722,台肥,47.7,0.5,1.06,06/29,0.32,0.12,0.35,0.21,0.11,0.08,0.04,0.19,1.28,3.82,1.89,0.19
261,2049,上銀,318.5,11.5,3.75,06/29,0.07,0.03,0.04,0.2,2.59,1.52,0.64,0.53,0.66,1.93,1.51,0.53
262,2753,八方雲集,189.0,-1.0,-0.53,06/29,0.0,0.0,0.0,0.2,0.22,0.41,0.49,0.62,0.66,2.04,,0.62
263,8109,博大,120.5,3.5,2.99,06/29,0.0,0.0,0.16,0.19,0.84,0.38,0.11,0.07,0.03,0.04,0.01,0.07
