排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,8342,益張,91.0,0.0,0.0,07/14,100.0,98.9,98.9,45.1,30.7,11.7,7.3,3.23,1.97,0.35,,3.44
2,00836B,永豐10年A公司債,28.63,0.0,0.0,07/14,0.0,0.0,96.2,95.0,44.9,43.6,44.4,18.8,2.46,2.39,,2.89
3,00793B,群益AAA-A醫療債,30.66,-0.14,-0.45,07/14,99.8,97.5,92.6,17.2,7.78,7.37,1.54,2.66,1.81,1.08,,2.53
4,00968B,元大優息投等債,9.22,-0.02,-0.22,07/14,92.2,92.0,87.8,78.3,42.6,26.6,18.4,22.2,11.5,,,21.0
5,1102,亞泥,34.2,-0.7,-2.01,07/14,86.5,88.5,87.3,84.7,43.9,44.2,64.2,64.6,64.3,55.5,49.3,64.3
6,00943,兆豐電子高息等權,21.89,-0.41,-1.84,07/14,73.3,64.1,84.1,80.1,58.3,46.0,23.6,12.6,10.4,,,11.9
7,00761B,國泰A級公司債,34.25,-0.05,-0.15,07/14,52.1,82.8,79.7,62.2,37.3,27.2,27.2,15.4,14.7,13.4,,15.1
8,2885,元大金,66.7,-1.6,-2.34,07/14,86.6,81.0,77.2,69.2,67.0,56.1,54.3,58.7,53.6,53.2,48.4,56.9
9,3533,嘉澤,1925.0,-55.0,-2.78,07/14,71.3,76.5,75.7,73.6,61.4,49.7,49.0,46.2,47.2,48.2,29.1,45.8
10,2330,台積電,2420.0,-20.0,-0.82,07/14,71.8,71.6,75.3,71.5,69.3,67.7,65.4,64.2,58.7,57.6,60.1,63.9
11,2834,臺企銀,17.65,-0.1,-0.56,07/14,68.0,76.5,75.3,55.4,50.5,41.7,41.5,48.0,42.5,38.3,33.8,47.8
12,2941,米斯特,31.45,-1.0,-3.08,07/14,50.0,49.4,74.5,26.9,23.3,8.56,4.07,3.54,1.78,,,3.43
13,2762,世界健身-KY,81.2,-0.8,-0.98,07/14,80.5,70.7,74.2,71.8,75.7,66.2,39.6,36.3,24.8,,,36.3
14,1101,台泥,22.7,-0.15,-0.66,07/14,52.6,65.0,73.6,73.1,66.7,63.2,58.6,52.6,47.4,48.5,45.8,50.7
15,2506,太設,8.85,-0.04,-0.45,07/14,87.6,83.4,72.7,54.0,22.9,15.6,15.1,16.3,15.0,22.9,18.0,15.3
16,9904,寶成,24.05,-0.2,-0.82,07/14,67.8,66.4,69.7,68.0,48.5,55.7,57.9,48.6,24.7,8.63,3.82,47.0
17,2890,永豐金,39.65,-0.55,-1.37,07/14,70.1,67.8,69.2,60.6,63.7,61.6,52.1,53.3,51.9,51.0,45.7,53.4
18,00933B,國泰10Y+金融債,16.0,-0.06,-0.37,07/14,74.2,74.6,68.0,57.6,37.9,17.3,10.8,11.0,10.0,,,11.0
19,1590,亞德客-KY,1290.0,-30.0,-2.27,07/14,68.2,61.6,67.5,65.4,69.0,76.3,75.1,73.2,73.1,72.5,54.7,72.6
20,5292,華懋,173.5,-6.5,-3.61,07/14,49.4,59.0,67.5,63.2,56.3,45.8,35.2,30.0,26.6,,,28.9
21,8213,志超,33.4,-0.8,-2.34,07/14,77.1,73.1,67.3,65.1,57.6,38.7,29.8,21.0,13.2,5.62,0.87,21.2
22,2308,台達電,1855.0,-35.0,-1.85,07/14,61.6,64.7,67.3,65.7,62.8,59.0,56.3,53.2,51.7,54.3,55.9,52.0
23,6115,鎰勝,45.25,-0.5,-1.09,07/14,73.0,70.5,67.0,61.9,47.2,37.7,26.6,25.5,23.9,22.8,21.3,25.3
24,00687B,國泰20年美債,27.78,-0.05,-0.18,07/14,60.0,54.9,66.8,59.6,24.8,15.3,11.9,11.6,10.4,11.6,,10.6
25,2548,華固,99.3,-0.7,-0.7,07/14,58.3,64.2,66.1,71.5,60.1,47.3,43.6,37.9,36.0,36.6,34.8,37.8
26,00982B,FT投資級債20+,9.8,-0.03,-0.31,07/14,16.2,74.8,65.8,60.6,15.5,13.8,2.15,1.76,1.49,,,1.77
27,00780B,國泰A級金融債,37.33,-0.13,-0.35,07/14,81.9,72.2,65.6,59.3,45.6,29.7,23.2,6.71,3.39,3.27,,6.61
28,2880,華南金,39.25,0.25,0.64,07/14,63.3,62.8,64.9,54.6,53.7,54.5,63.9,63.8,62.4,56.6,48.2,63.7
29,2387,精元,38.4,-0.45,-1.16,07/14,58.5,64.3,64.8,54.6,40.6,39.8,32.2,31.8,37.2,29.1,17.4,32.0
30,00937B,群益ESG投等債20+,14.77,-0.02,-0.14,07/14,38.8,69.2,64.6,58.0,42.4,21.1,10.4,13.5,12.3,,,12.7
31,2207,和泰車,480.0,5.0,1.05,07/14,56.0,62.5,64.6,63.2,66.0,38.5,55.5,59.3,63.4,66.7,60.6,59.7
32,00786B,元大10年IG銀行債,32.71,-0.17,-0.52,07/14,3.12,69.4,64.2,40.4,13.5,9.52,10.0,16.7,21.9,9.75,,20.4
33,00723B,群益投資級科技債,30.49,-0.08,-0.26,07/14,23.7,62.2,64.2,34.9,19.4,16.7,14.9,16.7,13.6,7.09,,16.2
34,2360,致茂,1820.0,-30.0,-1.62,07/14,64.9,71.7,63.7,58.8,63.4,60.1,59.9,58.5,60.8,62.9,54.6,57.7
35,2881,富邦金,125.0,-2.0,-1.57,07/14,62.1,61.3,63.7,59.3,42.3,47.6,44.1,48.3,51.2,50.7,48.0,48.1
36,00720B,元大投資級公司債,33.02,-0.08,-0.24,07/14,50.5,65.6,63.7,57.2,42.1,24.7,17.5,17.9,15.6,14.0,,17.5
37,2393,億光,67.6,-1.5,-2.17,07/14,77.4,76.4,63.5,51.5,45.0,45.5,46.6,41.4,40.9,41.6,31.0,41.4
38,9910,豐泰,66.9,-0.5,-0.74,07/14,62.6,64.0,63.4,58.4,47.6,37.4,50.8,37.0,27.0,12.9,4.51,37.5
39,2892,第一金,33.55,-0.1,-0.3,07/14,68.5,63.2,63.3,41.4,61.9,58.8,58.5,58.6,54.5,53.2,46.1,58.5
40,3130,一零四,204.0,-2.5,-1.21,07/14,53.2,60.6,62.9,66.0,68.7,62.0,48.8,45.6,45.1,47.5,46.1,45.7
