排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
139,9136,巨騰-DR,14.0,-0.1,-0.71,247,07/01,22,-191,-477,-632,-251,-321.0,1853.0,3564.0,2848.0,3564.0
140,6153,嘉聯益,20.3,-1.15,-5.36,8845,07/01,71,412,56,-626,1549,4956.0,2505.0,-515.0,-2022.0,-515.0
141,1785,光洋科,142.0,-2.5,-1.73,10087,07/01,-105,396,236,-625,1757,-3836.0,8695.0,10978.0,15289.0,10978.0
142,2867,三商壽,8.25,-0.09,-1.08,32159,07/01,-2,46,58,-618,-1967,2547.0,3165.0,3165.0,3165.0,3165.0
143,1568,倉佑,38.0,0.6,1.6,609,07/01,-125,-75,-92,-597,-182,-947.0,4494.0,4393.0,4093.0,4393.0
144,4991,環宇-KY,543.0,13.0,2.45,632,07/01,-154,-167,-287,-590,-1402,-28.0,-625.0,-3331.0,-5308.0,-3331.0
145,00982A,主動群益台灣強棒,24.98,0.37,1.5,34498,07/01,-343,-527,-600,-586,-996,-3130.0,-39.0,-6197.0,1310.0,-6197.0
146,2891,中信金,70.6,-0.4,-0.56,49008,07/01,-253,-388,-600,-586,-101,119.0,-42.0,-841.0,-4265.0,-841.0
147,3094,聯傑,38.45,-1.0,-2.53,3599,07/01,30,104,100,-586,693,352.0,1263.0,1736.0,1419.0,1736.0
148,2365,昆盈,34.25,0.55,1.63,3545,07/01,-158,-250,-472,-581,-534,-590.0,-628.0,-2837.0,-1259.0,-2837.0
149,4977,眾達-KY,157.0,-12.5,-7.37,2266,07/01,-128,-65,-94,-581,-233,-827.0,-620.0,-2040.0,-497.0,-2040.0
150,2301,光寶科,219.5,-2.5,-1.13,17253,07/01,-311,-738,-1054,-576,1505,792.0,3038.0,-985.0,11511.0,-985.0
151,009805,新光美國電力基建,17.34,0.29,1.7,7300,07/01,25,-311,-408,-575,-673,-1770.0,-994.0,13281.0,16108.0,13281.0
152,3706,神達,91.3,4.0,4.58,67277,07/01,-1042,-315,-771,-572,-49,1212.0,-2871.0,-10360.0,-11736.0,-10360.0
153,4919,新唐,168.5,-5.0,-2.88,10781,07/01,-322,-1015,-884,-566,453,-626.0,4875.0,11767.0,13419.0,11767.0
154,6505,台塑化,53.6,-1.5,-2.72,8055,07/01,407,407,287,-564,-1164,-2865.0,-6903.0,3933.0,745.0,3933.0
155,5351,鈺創,81.9,-4.9,-5.65,22334,07/01,52,353,279,-563,47,-1595.0,2525.0,1502.0,6279.0,1502.0
156,5880,合庫金,24.85,0.0,0.0,12600,07/01,-24,-77,-68,-561,115,60.0,1260.0,1619.0,695.0,1619.0
157,00402A,主動安聯美國科技,10.05,0.09,0.9,45479,07/01,-193,-275,-378,-560,-454,,,,,
158,6588,東典光電,85.0,-3.2,-3.63,476,07/01,-14,-4,-413,-560,-549,-382.0,-700.0,-151.0,,-151.0
159,4931,新盛力,236.0,-3.0,-1.26,2499,07/01,21,121,22,-545,-535,314.0,-74.0,-1558.0,-1299.0,-1558.0
160,6290,良維,308.0,-0.5,-0.16,4209,07/01,-41,-244,-328,-545,-424,-1866.0,295.0,597.0,5616.0,597.0
161,2316,楠梓電,218.0,1.0,0.46,778,07/01,7,-103,-17,-544,-503,-1142.0,-2010.0,-1154.0,405.0,-1154.0
162,3033,威健,49.8,0.4,0.81,9804,07/01,-205,-139,11,-542,-1011,470.0,5162.0,5933.0,5598.0,5933.0
163,4130,健亞,26.45,0.8,3.12,510,07/01,-177,-426,-520,-534,-574,-657.0,-4051.0,-3949.0,-433.0,-3949.0
164,2369,菱生,38.35,-0.85,-2.17,15545,07/01,86,-352,-440,-532,639,-152.0,-285.0,4959.0,7985.0,4959.0
165,8110,華東,54.1,-3.2,-5.58,9936,07/01,-220,-82,-225,-529,588,-884.0,-1069.0,3735.0,8651.0,3735.0
166,3663,鑫科,77.7,0.2,0.26,1670,07/01,-34,-4,12,-511,-64,-408.0,113.0,-160.0,-411.0,-160.0
167,6168,宏齊,30.15,-0.9,-2.9,5111,07/01,-224,29,-76,-511,240,282.0,1160.0,3079.0,2834.0,3079.0
168,6443,元晶,34.5,-0.95,-2.68,6087,07/01,-26,-98,-230,-505,-1063,-2479.0,-14569.0,-3100.0,3108.0,-3100.0
169,6695,芯鼎,59.0,-0.6,-1.01,2917,07/01,-315,-302,-359,-500,180,-285.0,808.0,224.0,-494.0,224.0
170,9945,潤泰新,26.6,-0.2,-0.75,12397,07/01,41,184,92,-495,-333,-1064.0,3425.0,-1168.0,4018.0,-1168.0
171,3090,日電貿,316.0,-6.5,-2.02,1399,07/01,32,-28,-117,-482,-2201,-889.0,-1266.0,-2207.0,1479.0,-2207.0
172,3675,德微,392.5,14.5,3.84,352,07/01,-70,-106,-172,-480,-125,-1175.0,863.0,483.0,965.0,483.0
173,6244,茂迪,26.75,-0.95,-3.43,4827,07/01,-10,-173,-31,-474,-628,-539.0,-1740.0,2500.0,4255.0,2500.0
174,8091,翔名,275.5,4.0,1.47,1743,07/01,-47,-67,-156,-469,259,2.0,1793.0,2003.0,1950.0,2003.0
175,3060,銘異,34.8,-1.95,-5.31,7691,07/01,-164,48,197,-467,1973,1721.0,2618.0,615.0,2440.0,615.0
176,2332,友訊,17.5,-0.8,-4.37,7187,07/01,307,-231,-313,-461,1662,3086.0,435.0,588.0,1466.0,588.0
177,6126,信音,35.2,-0.6,-1.68,1181,07/01,-67,-108,-154,-460,-816,544.0,488.0,1357.0,432.0,1357.0
178,2038,海光,13.05,-0.15,-1.14,401,07/01,-7,0,-20,-458,-1061,-1098.0,-1191.0,-715.0,-168.0,-715.0
179,6789,采鈺,535.0,22.0,4.29,2603,07/01,121,158,155,-457,-206,-2187.0,-6716.0,-3186.0,4302.0,-3186.0
180,1597,直得,143.0,2.0,1.42,981,07/01,36,-247,-267,-456,-158,-2509.0,-350.0,553.0,381.0,553.0
