排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
168,3042,晶技,187.5,2.0,1.08,13336,06/30,-17,-34,16,18,42.0,-77.0,35.0,-20.0,1.0,-20.0
169,3540,曜越,26.1,2.35,9.89,922,06/30,20,11,18,18,18.0,124.0,124.0,124.0,118.0,124.0
170,4147,中裕,65.0,1.2,1.88,2441,06/30,16,25,18,18,16.0,50.0,54.0,38.0,34.0,38.0
171,4960,誠美材,26.15,0.45,1.75,3251,06/30,-2,3,5,18,8.0,9.0,-505.0,115.0,105.0,115.0
172,5269,祥碩,1470.0,-5.0,-0.34,1322,06/30,-21,-20,18,18,-199.0,15.0,14.0,14.0,-2.0,12.0
173,3708,上緯投控,108.5,1.5,1.4,338,06/30,-1,-1,17,17,-74.0,-243.0,-34.0,-94.0,17.0,-95.0
174,6472,保瑞,422.0,-15.5,-3.54,1571,06/30,15,0,0,17,-6.0,10.0,21.0,-34.0,-10.0,-34.0
175,6592,和潤企業,58.7,-0.5,-0.84,1962,06/30,17,17,17,17,12.0,12.0,17.0,17.0,15.0,17.0
176,2376,技嘉,344.0,19.0,5.85,11369,06/30,9,9,20,16,40.0,137.0,360.0,93.0,-993.0,41.0
177,3294,英濟,36.95,1.05,2.92,604,06/30,13,5,-4,16,49.0,-210.0,112.0,-189.0,-1568.0,-164.0
178,3583,辛耘,904.0,43.0,4.99,2681,06/30,15,40,35,16,13.0,-770.0,95.0,90.0,84.0,90.0
179,1314,中石化,8.36,0.25,3.08,49594,06/30,15,14,-7,15,-15.0,56.0,-80.0,-93.0,-64.0,-92.0
180,3455,由田,235.0,14.5,6.58,1054,06/30,-14,-20,-11,15,8.0,-9.0,-4.0,18.0,24.0,-167.0
181,4739,康普,114.5,9.5,9.05,3542,06/30,5,7,-2,15,101.0,-65.0,81.0,69.0,84.0,69.0
