"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","93.1","-1.8","-1.9","26W21","05/19","-4","-397,773","-21.9","-2.12","+16","+106,319","1.08","0.57","-6","-232,864","-8.09","-1.24","-4","-558,492","-30.7","-2.98"
"6640","均華","1290","-15","-1.15","26W21","05/19","+1","+162","21.4","0.57","+8","+742","2.8","2.6","-1","-11","-1.47","-0.04","+1","+155","20.4","0.54"
"1785","光洋科","143","-0.5","-0.35","26W21","05/19","-4","-46,654","-8.3","-7.83","+7","+1,927","0.23","0.32","-2","-477","-0.25","-0.08","-4","-45,606","-8.11","-7.65"
"6679","鈺太","306.5","-6","-1.92","26W21","05/19","-2","-114","-3.23","-0.21","+7","+156","0.76","0.28","-2","-125","-3.53","-0.23","-2","-190","-5.37","-0.35"
"2072","世紀風電","174.5","0","0","26W21","05/19","-1","-340","-36.8","-0.18","+6","+814","4.95","0.42","-1","-6","-0.65","0","-1","-336","-36.4","-0.18"
"3711","日月光投控","472","-38","-7.45","26W21","05/19","-6","-43,324","-6.47","-0.98","+6","+22,791","3.41","0.52","+3","+171","0.05","0","-1","-9,581","-15.1","-0.22"
"6531","愛普*","1025","-110","-9.69","26W21","05/19","-4","-6,059","-7.18","-3.72","+6","+6,176","3.09","3.79","-1","-72","-0.51","-0.04","-1","-631","-4.52","-0.39"
"8210","勤誠","1325","-55","-3.99","26W21","05/19","-4","-4,542","-8.08","-3.62","+6","+7,142","7.56","5.7","-2","-216","-1.15","-0.17","+3","+2,950","6.98","2.35"
"2330","台積電","2205","-35","-1.56","26W21","05/19","-4","-147,310","-20.3","-0.57","+5","+51,332","5.59","0.2","+1","+720","0.92","0","-2","-35,180","-11.9","-0.14"
"3026","禾伸堂","365","+5.5","+1.53","26W21","05/19","+3","+4,814","3.72","2.9","+5","+10,346","5.52","6.24","-1","-123","-3.48","-0.07","+3","+14,540","11.2","8.76"
"1560","中砂","644","-5","-0.77","26W21","05/19","+1","+108","3.89","0.07","+4","+547","1.13","0.37","-3","-251","-0.65","-0.17","+1","+71","2.57","0.05"
"2313","華通","256","-3","-1.16","26W21","05/19","+1","+20,144","8.33","1.69","+4","+8,161","0.58","0.68","-3","-3,005","-0.27","-0.25","+1","+24,452","10.1","2.05"
"2327","國巨*","497","-4","-0.8","26W21","05/19","-2","-19,536","-4.04","-0.94","+4","+43,297","4.7","2.09","-1","-1,136","-0.63","-0.05","+4","+52,711","5.73","2.54"
"2344","華邦電","117.5","-13","-9.96","26W21","05/19","-1","-68,116","-18","-1.51","+4","+99,721","2.74","2.22","-1","-2,886","-0.76","-0.06","-1","-57,320","-15.2","-1.27"
"3583","辛耘","842","-58","-6.44","26W21","05/19","-6","-5,005","-5.97","-6.23","+4","+2,567","4.28","3.19","-2","-224","-0.76","-0.28","-2","-539","-1.81","-0.67"
"3706","神達","80.7","+0.6","+0.75","26W21","05/19","-2","-25,845","-24.1","-1.95","+4","+2,736","1.15","0.21","+1","+259","1.58","0.02","-2","-24,508","-22.8","-1.85"
