"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"301","3339","泰谷","45.4","-3.45","-7.06","26W19","05/08","1.7","-105","-0.61","1.28","-128","-0.99","1.28","-128","-0.99"
"302","00741B","富邦全球非投等債","37.15","+0.02","+0.05","26W19","05/08","0.66","+31","+0.47","0.66","+31","+0.47","0.66","+31","+0.47"
"303","6120","達運","14.35","-0.95","-6.21","26W19","05/08","34.6","+157","+0.05","33.7","+172","+0.05","32.6","-1,629","-0.5"
"304","2108","南帝","29.3","-2.85","-8.86","26W19","05/08","33.4","-755","-0.23","32.4","-3,004","-0.92","31.5","-2,889","-0.91"
"305","00752","中信中國50","22.66","-0.35","-1.52","26W19","05/08","11.9","-606","-0.51","11.5","-1,269","-1.09","11.2","-1,285","-1.13"
"306","2104","國際中橡","10.55","-0.35","-3.21","26W19","05/08","41.6","+2,697","+0.65","38.7","-159","-0.04","37.1","+3,314","+0.9"
"307","3515","華擎","243.5","-6","-2.4","26W19","05/08","8.32","-26.2","-0.03","8.25","-26","-0.03","7.97","-24","-0.03"
"308","6703","軒郁","108","-2","-1.82","26W19","05/08","1.43","0","0","1.37","0","0","1.27","0","0"
"309","1326","台化","48.75","-4.05","-7.67","26W19","05/08","476","+1,951","+0.04","471","-3,400","-0.07","468","+2,293","+0.05"
"310","2462","良得電","24.2","-0.75","-3.01","26W19","05/08","7.99","-682","-0.85","7.73","+25","+0.03","7.56","+25","+0.03"
"311","3236","千如","53","-0.9","-1.67","26W19","05/08","3.11","+638","+2.09","3.05","-5.6","-0.02","2.88","-5.6","-0.02"
"312","00651R","復華香港反1","5.41","+0.1","+1.88","26W19","05/08","2.03","-20.9","-0.1","1.76","-20.9","-0.12","1.67","-919","-5.22"
"313","5902","德記","35.3","-0.15","-0.42","26W19","05/08","7.79","+27","+0.03","7.73","+27","+0.03","7.46","+38","+0.05"
"314","2382","廣達","376.5","-14","-3.59","26W19","05/08","328","+6,583","+0.2","323","+9,075","+0.28","317","+5,935","+0.19"
"315","5488","松普","12.55","-0.45","-3.46","26W19","05/08","3.41","+24","+0.07","3.27","+24","+0.07","3.19","+17","+0.05"
"316","2887","台新新光金","27.75","-0.85","-2.97","26W19","05/08","1,769","-6,001","-0.03","1,735","-5,929","-0.03","1,708","-15,760","-0.09"
"317","1314","中石化","7.94","-0.15","-1.85","26W19","05/08","132","+531","+0.04","122","+2,614","+0.21","116","+1,079","+0.09"
"318","8444","綠河-KY","4.56","-0.34","-6.94","26W19","05/08","8.63","+610","+0.71","8.36","-25","-0.03","8.28","-25","-0.03"
"319","3622","洋華","56.1","-3","-5.08","26W19","05/08","8.67","+14","+0.02","8.4","+10","+0.01","8.12","+10","+0.01"
"320","4532","瑞智","24.2","-0.35","-1.43","26W19","05/08","33.2","-455","-0.14","32.4","-475","-0.15","31.4","-1,303","-0.41"
"321","5469","瀚宇博","80.1","-3.9","-4.64","26W19","05/08","33.6","-2,788","-0.82","32.7","-2,485","-0.75","31.8","-4,181","-1.3"
"322","1416","廣豐","11.65","-0.05","-0.43","26W19","05/08","9.76","-620","-0.63","9.3","+10.8","+0.01","9.04","-1.16","0"
"323","4523","永彰","28.65","-1.45","-4.82","26W19","05/08","3.58","+2","+0.01","3.43","+2","+0.01","3.34","+2","+0.01"
"324","3694","海華","62","-5","-7.46","26W19","05/08","9.19","-590","-0.64","9.06","+207","+0.23","8.89","+181","+0.2"
"325","00959B","大華投等美債15Y+","9.35","-0.03","-0.32","26W19","05/08","26.7","-1,580","-0.59","25.3","-819","-0.32","24.4","-1,633","-0.66"
"326","1504","東元","71.6","-6.8","-8.67","26W19","05/08","172","-9,933","-0.57","170","-10,544","-0.62","168","-6,961","-0.41"
"327","3357","臺慶科","283","-13","-4.39","26W19","05/08","6.1","-2,257","-3.57","5.38","-971","-1.77","4.76","-100","-0.21"
"328","6271","同欣電","218.5","-18","-7.61","26W19","05/08","9","-6,106","-6.35","8.51","-6,856","-7.46","8.05","-2,462","-2.97"
"329","6231","系微","295.5","-16.5","-5.29","26W19","05/08","1.43","+23.4","+0.16","1.17","+13.5","+0.11","1.17","+13.5","+0.11"
"330","00887","永豐中國科技50大","16.88","-0.81","-4.58","26W19","05/08","9.42","-8,505","-8.28","8.34","-9,204","-9.94","7.13","-9,070","-11.3"
"331","6213","聯茂","243.5","-11","-4.32","26W19","05/08","21.4","+3,962","+1.89","20.5","+1,295","+0.64","20","+2,911","+1.48"
"332","2883","凱基金","26.75","-0.85","-3.08","26W19","05/08","1,098","+69,007","+0.63","1,078","+75,004","+0.7","1,063","+80,124","+0.76"
"333","6527","明達醫","71.5","+0.2","+0.28","26W19","05/08","0.8","+7","+0.09","0.67","+29","+0.43","0.67","+29","+0.43"
"334","6672","騰輝電子-KY","217","-2","-0.91","26W19","05/08","2.2","+4,836","+28.2","1.71","+4,072","+31.3","1.53","+2,295","+17.6"
"335","6890","來億-KY","249.5","+7","+2.89","26W19","05/08","22","-685","-0.31","21.9","-2.18","0","21.8","-2.18","0"
"336","1304","台聚","12.8","-0.6","-4.48","26W19","05/08","69.5","+6,814","+0.99","68.3","+4,074","+0.6","67.6","+3,051","+0.45"
"337","1618","合機","40.85","-1.15","-2.74","26W19","05/08","10.7","-61.7","-0.06","10.3","-20.3","-0.02","10.2","0","0"
"338","4915","致伸","74.8","-2.6","-3.36","26W19","05/08","31.1","-2,255","-0.72","30","-4,110","-1.35","28.2","-2,573","-0.9"
"339","00725B","國泰投資級公司債","35.13","-0.15","-0.43","26W19","05/08","300","+3,137","+0.1","298","+2,650","+0.09","297","+1,490","+0.05"
