"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"301","3339","泰谷","45.4","-3.45","-7.06","26W21","05/22","1.61","+669","+4.33","1.26","-55","-0.44","1.26","-55","-0.44"
"302","00741B","富邦全球非投等債","37.15","+0.02","+0.05","26W21","05/22","0.66","+17","+0.26","0.66","+17","+0.26","0.66","+17","+0.26"
"303","6120","達運","14.35","-0.95","-6.21","26W21","05/22","34.6","+1,817","+0.53","33.8","+4,595","+1.38","33.1","+4,829","+1.48"
"304","2108","南帝","29.3","-2.85","-8.86","26W21","05/22","33.5","+181","+0.05","32.7","+899","+0.28","31.7","+752","+0.24"
"305","00752","中信中國50","22.66","-0.35","-1.52","26W21","05/22","11.7","-1,573","-1.33","11.2","-1,699","-1.5","10.9","-1,726","-1.56"
"306","2104","國際中橡","10.55","-0.35","-3.21","26W21","05/22","41.3","-2,282","-0.55","38.4","-2,227","-0.58","36.5","-2,493","-0.68"
"307","3515","華擎","243.5","-6","-2.4","26W21","05/22","8.28","-208","-0.25","8.14","-850","-1.03","7.76","-4.56","-0.01"
"308","6703","軒郁","108","-2","-1.82","26W21","05/22","1.43","-5","-0.03","1.37","-5","-0.04","1.27","0","0"
"309","1326","台化","48.75","-4.05","-7.67","26W21","05/22","471","-17,699","-0.37","466","-18,888","-0.4","463","-19,770","-0.43"
"310","2462","良得電","24.2","-0.75","-3.01","26W21","05/22","7.99","+666","+0.84","7.73","+18","+0.02","7.56","+15","+0.02"
"311","3236","千如","53","-0.9","-1.67","26W21","05/22","3.68","+4,848","+15.2","3.68","+5,585","+17.9","3.13","+2,625","+9.14"
"312","00651R","復華香港反1","5.41","+0.1","+1.88","26W21","05/22","1.96","-679","-3.35","1.74","-51","-0.29","1.56","-1,034","-6.23"
"313","5902","德記","35.3","-0.15","-0.42","26W21","05/22","7.8","+57","+0.07","7.74","+55","+0.07","7.46","+17","+0.02"
"314","2382","廣達","376.5","-14","-3.59","26W21","05/22","324","-37,211","-1.14","319","-33,183","-1.03","314","-32,525","-1.03"
"315","5488","松普","12.55","-0.45","-3.46","26W21","05/22","3.49","+773","+2.27","3.28","+46","+0.14","3.2","+44","+0.14"
"316","2887","台新新光金","27.75","-0.85","-2.97","26W21","05/22","1,768","+36,450","+0.21","1,734","+40,066","+0.23","1,708","+40,952","+0.24"
"317","1314","中石化","7.94","-0.15","-1.85","26W21","05/22","132","+3,444","+0.26","122","+3,770","+0.31","116","+4,210","+0.37"
"318","8444","綠河-KY","4.56","-0.34","-6.94","26W21","05/22","8.64","+47","+0.05","8.36","0","0","8.28","0","0"
"319","3622","洋華","56.1","-3","-5.08","26W21","05/22","8.67","+6","+0.01","8.4","-27","-0.03","8.12","-27","-0.03"
"320","4532","瑞智","24.2","-0.35","-1.43","26W21","05/22","33","-51.1","-0.02","32.1","+679","+0.21","31.4","+1,679","+0.54"
