項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),510834,638563,7660,9177016,9041627
融券(交易單位),29057,43418,10814,216203,219750
融資金額(仟元),38210576,54411056,864791,563876896,546811625
