項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),768515,737619,5061,9373138,9398973
融券(交易單位),31390,36315,5177,260047,259795
融資金額(仟元),51749599,49761767,561429,566968920,568395323
