"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","009804","聯邦台精彩50","23.56","-0.04","-0.17","07/13","-91.6","-82.7","-80.7","-79.1","-65.6","-53.2","-19.6","-17.6","-10.8","","","-16.2"
"2","00961","FT臺灣永續高息","12.67","-0.02","-0.16","07/13","-86.5","-82.7","-81.8","-78.7","-72.3","-62.1","-35.5","-27.5","-8.57","","","-21.2"
"3","00984A","主動安聯台灣高息","16.2","-0.1","-0.61","07/13","-67.9","-63.9","-71.6","-75.9","-63.4","-48.7","-24.5","-22.4","-22","","","-23.4"
"4","00842B","台新美元銀行債","31.1","-0.25","-0.8","07/13","-88","-69.9","-69.5","-68.9","-39.6","-25.2","-20.3","-22.8","-16.6","-8.19","","-24.1"
"5","00685L","群益臺灣加權正2","12.08","-0.01","-0.08","07/13","-24.6","-35.4","-49.4","-68.9","-68.6","-67.9","-66.2","-64.4","-61.9","-55.2","","-64.2"
"6","1101B","台泥乙特","43.75","-0.05","-0.11","07/13","0","0","-76.6","-66.8","-20.6","-21.5","-23.8","-34.2","-23.7","-9.05","","-33.4"
"7","00988B","玉山嚴選非投債","19.97","-0.03","-0.15","07/13","-90.5","-89.2","-68.9","-63.2","-64.1","-49.3","-41.9","","","","",""
"8","3130","一零四","221","+0.5","+0.23","07/13","-43.6","-48.3","-50.4","-62","-57.2","-44.5","-27.6","-26.7","-19.6","-26.6","-17.9","-27"
"9","1102","亞泥","34.9","-0.8","-2.24","07/13","-78","-73.9","-71.3","-61.1","-26.5","-24.5","-22.1","-22.5","-16.2","-2.47","-1.08","-21.4"
"10","020027","元大上櫃ESG成長N","10.8","-0.25","-2.26","07/13","+33.3","+36.8","-46.9","-60.7","+2.51","+7.99","+7.49","+12.3","+15.4","+14.4","","+14.6"
"11","00634R","富邦上証反1","3.16","+0.06","+1.94","07/13","-83.2","-71.4","-72.3","-59.2","-22.5","-9.62","+5.9","+5.95","+2.19","+3.92","+0.87","+5.26"
"12","00666R","富邦恒生國企反1","9.53","-0.12","-1.24","07/13","-60.1","-75.9","-64.4","-58.9","-32.6","-7.89","+9.13","+6.62","+6.94","-0.7","","+10.1"
"13","00405A","主動富邦台灣龍耀","8.61","-0.16","-1.82","07/13","-51.5","-17.1","-33.7","-58.1","-32.6","-29","","","","","",""
"14","00888","永豐台灣ESG","36.89","+0.02","+0.05","07/13","-42.6","-44.1","-45.6","-58","-55","-43.4","-16.8","-18.9","-12.9","+6.79","","-18.5"
"15","00927","群益半導體收益","41.03","-0.58","-1.39","07/13","-66.4","-58.5","-55.8","-57.9","-59.3","-51.9","-25.5","-21.3","-12.5","-14.2","","-23.7"
"16","00406A","主動中信台灣收益","9.73","-0.13","-1.32","07/13","-57.1","-30.5","-49.2","-56","-8.72","-13.3","","","","","",""
