排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00990B,國泰收益非投等債,10.03,0.02,0.2,26W29,07/17,46.2,24.2,45.0,24.0,40.0,26.3
2,4971,IET-KY,375.0,-41.5,-9.96,26W29,07/17,35.5,14.0,24.2,14.7,22.1,15.0
3,00876,元大全球5G,87.25,-6.55,-6.98,26W29,07/17,24.2,14.1,22.5,13.5,21.6,12.5
4,1312,國喬,12.85,-0.6,-4.46,26W29,07/17,58.1,9.28,57.0,9.35,56.1,10.2
5,8039,台虹,192.5,-7.0,-3.51,26W29,07/17,65.3,10.5,61.8,10.0,60.1,9.92
6,00989B,台新美國非投等債,10.22,0.01,0.1,26W29,07/17,56.5,7.89,54.6,7.27,50.4,8.45
7,00988B,玉山嚴選非投債,19.96,-0.05,-0.25,26W29,07/17,25.7,8.19,25.7,8.19,21.8,8.1
8,1586,和勤,18.0,0.0,0.0,26W29,07/17,72.4,6.33,70.1,7.29,67.4,7.1
9,00406A,主動中信台灣收益,8.82,-0.82,-8.51,26W29,07/17,15.4,6.37,14.9,6.29,13.2,6.69
10,00685L,群益臺灣加權正2,10.54,-1.63,-13.4,26W29,07/17,28.4,5.27,25.0,6.04,22.5,6.4
11,4714,永捷,10.95,-0.3,-2.67,26W29,07/17,25.8,6.51,23.5,7.76,22.0,6.19
12,00782B,國泰A級公用債,30.4,0.1,0.33,26W29,07/17,18.2,1.18,18.2,1.18,13.1,5.9
13,006207,復華滬深,32.17,-1.26,-3.77,26W29,07/17,11.5,5.06,5.62,5.62,5.62,5.62
14,5351,鈺創,88.0,-9.7,-9.93,26W29,07/17,37.9,5.05,36.0,5.21,34.1,5.45
15,00681R,元大美債20反1,21.39,0.0,0.0,26W29,07/17,90.3,5.21,81.0,5.21,81.0,5.21
16,00763U,期街口道瓊銅,33.08,-1.02,-2.99,26W29,07/17,50.1,6.54,47.1,5.04,45.1,4.97
17,4939,亞電,60.2,-6.6,-9.88,26W29,07/17,32.6,4.15,30.4,4.1,29.6,4.94
18,00911,兆豐洲際半導體,53.6,-3.5,-6.13,26W29,07/17,10.0,0.93,4.81,4.81,4.81,4.81
19,1316,上曜,10.05,-0.3,-2.9,26W29,07/17,38.6,4.47,35.1,4.38,32.7,4.55
20,00988A,主動統一全球創新,16.24,-1.97,-10.8,26W29,07/17,21.2,4.46,19.8,4.34,18.5,4.54
