項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),665649,820878,6465,9462358,9300664
融券(交易單位),28627,31574,959,202267,204255
融資金額(仟元),55168608,65694790,586667,605041986,593929137
