排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (萬張),超過 600張 增減 (張),超過 600張 增減 (%),持股 超過 800張 (萬張),超過 800張 增減 (張),超過 800張 增減 (%),持股 超過 1千張 (萬張),超過 1千張 增減 (張),超過 1千張 增減 (%)
301,00648R,元大S&P500反1,4.05,0.08,2.02,26W23,06/05,6.33,187.0,0.3,5.84,847.0,1.47,5.56,2847.0,5.4
302,3050,鈺德,12.8,-0.65,-4.83,26W23,06/05,7.68,1207.0,1.6,7.33,1061.0,1.47,6.98,1108.0,1.61
303,3501,維熹,42.1,-1.65,-3.77,26W23,06/05,5.78,202.0,0.35,5.71,823.0,1.46,5.54,18.0,0.03
304,1733,五鼎,29.9,-0.9,-2.92,26W23,06/05,3.82,513.0,1.36,3.6,513.0,1.44,3.13,556.0,1.81
305,2834,臺企銀,16.45,-0.45,-2.66,26W23,06/05,563.0,77398.0,1.39,546.0,77676.0,1.44,534.0,76823.0,1.46
306,00665L,富邦恒生國企正2,9.16,-0.25,-2.66,26W23,06/05,26.1,3583.0,1.39,23.7,3338.0,1.43,22.5,4606.0,2.09
307,00634R,富邦上証反1,3.13,0.08,2.62,26W23,06/05,2.49,320.0,1.3,2.28,320.0,1.42,2.09,320.0,1.55
308,6277,宏正,75.5,-1.6,-2.08,26W23,06/05,6.14,80.0,0.13,5.73,803.0,1.42,5.3,-15.0,-0.03
309,7827,漢康-KY創,156.5,-3.0,-1.88,26W23,06/05,9.98,550.0,0.55,9.64,1350.0,1.42,9.3,-1152.0,-1.22
310,00727B,國泰優選非投等債,39.39,0.0,0.0,26W23,06/05,5.07,20.1,0.04,5.07,710.0,1.42,4.99,-128.0,-0.26
311,5464,霖宏,63.8,-3.8,-5.62,26W23,06/05,4.85,740.0,1.55,4.57,638.0,1.42,4.02,648.0,1.64
312,3066,李洲,20.45,-1.15,-5.32,26W23,06/05,5.97,60.0,0.1,5.84,813.0,1.41,5.67,-28.0,-0.05
313,3663,鑫科,72.3,-6.2,-7.9,26W23,06/05,6.43,-497.0,-0.77,6.36,879.0,1.4,6.28,-10.0,-0.02
314,3167,大量,865.0,-85.0,-8.95,26W23,06/05,4.99,1143.0,2.34,4.58,630.0,1.4,4.4,620.0,1.43
