"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"131","2027","大成鋼","39.6","+0.5","+1.28","05/08","2.75","1.43","2.35","2.09","1.45","1.91","1.01","0.59","3.07","4.25","2.46","0.73"
"132","3211","順達","381.5","-2.5","-0.65","05/08","0.53","0.63","2.15","2.08","6.97","7.26","4.13","4.53","4.49","2.55","1.91","4.68"
"133","3491","昇達科","1655","+35","+2.16","05/08","0.34","5.74","3.5","2.04","1.62","1.21","1.49","0.96","1.74","1.74","1.35","1.42"
"134","5469","瀚宇博","81.8","-2.5","-2.97","05/08","0","2.21","1.29","2.04","1.62","2.05","1.89","0.62","0.35","2.35","1.15","1.17"
"135","7769","鴻勁","5800","-35","-0.6","05/08","9.39","5.62","3.26","2.04","3.21","5.87","3.9","","","","","3.56"
"136","2610","華航","18.55","-0.05","-0.27","05/08","1.47","1.11","0.97","2.01","4.08","6.35","4.52","4.29","5.38","1.7","0.97","4.92"
"137","2615","萬海","76.5","-1.7","-2.17","05/08","2.08","1.73","1.77","2.01","1.37","3.13","4.91","10.9","4.84","2.18","1.14","4.81"
"138","3529","力旺","4335","-370","-7.86","05/08","0","0","1","1.99","8.04","4.71","3.16","3.65","4.75","4.93","4.09","3.39"
"139","3293","鈊象","735","+15","+2.08","05/08","0.05","0.36","0.94","1.98","3.8","7.09","4.09","3.29","3.3","4.03","2.94","4.65"
"140","6415","矽力*-KY","425.5","+1","+0.24","05/08","0","0.09","0.17","1.98","2.04","1.32","1.45","1.8","1.97","2.13","2.26","2.07"
"141","2303","聯電","91.3","-5.2","-5.39","05/08","1.21","0.57","0.82","1.94","2.84","4","4.19","5.35","6.74","5.28","2.1","3.82"
"142","7734","印能科技","3630","-40","-1.09","05/08","0","3.45","1.93","1.9","0.68","1.66","0.81","0.59","0.41","","","0.63"
"143","6414","樺漢","346.5","-5","-1.42","05/08","1.97","1.92","1.78","1.88","3.36","4.69","4.22","4.25","6.19","4.27","3.12","5.02"
"144","2049","上銀","319.5","+1.5","+0.47","05/08","0","5.38","3.42","1.84","1.49","0.53","0.59","0.47","0.72","2.08","1.52","0.48"
"145","8422","可寧衛*","27.9","-0.5","-1.76","05/08","1.74","1.13","1.26","1.81","2.11","3.44","1.96","1.56","1.55","1.58","1.57","1.55"
"146","2379","瑞昱","592","+53","+9.83","05/08","2.86","2.24","2.22","1.78","3.71","8.5","10.8","8.98","9.45","8.46","4.45","8.96"
"147","2451","創見","312.5","+10","+3.31","05/08","1.7","1.13","0.98","1.69","2.01","2.85","1.84","3.37","4.81","4.78","4.12","2.4"
"148","2852","第一保","26.15","+0.05","+0.19","05/08","1.2","0.53","0.48","1.68","1.51","3.2","1.06","0.84","2.02","0.55","0.26","1.08"
"149","2360","致茂","2230","-95","-4.09","05/08","1.07","3.58","2.28","1.67","5.35","4.1","3.14","3.6","3.19","3.92","3.08","3.52"
"150","2331","精英","20.35","-0.25","-1.21","05/08","1.17","0.97","1.11","1.66","1.54","1.37","0.6","0.19","0.14","0.04","0.03","0.27"
"151","3406","玉晶光","506","-7","-1.36","05/08","2.5","3.36","3.16","1.63","18.8","11.7","8.96","6.08","3.94","2.28","0.68","7.99"
"152","2441","超豐","90.5","-2.9","-3.1","05/08","0.31","0.91","2.19","1.63","1.12","1.16","3.38","1.84","2.12","2.08","3.02","2.45"
"153","6584","南俊國際","669","-42","-5.91","05/08","1.31","0.86","0.85","1.6","4.44","3.04","1.31","2.52","1.53","","","2.86"
"154","2481","強茂","99.5","-4","-3.86","05/08","1.45","0.79","0.47","1.6","1.28","1.19","1.84","1.74","1.51","1.39","1.61","1.8"
"155","4583","台灣精銳","762","+7","+0.93","05/08","0","0","0","1.54","0.68","1.24","3.84","1.58","1.51","0.76","","2.1"
"156","2753","八方雲集","180.5","0","0","05/08","2.16","3.2","2.97","1.53","0.69","0.35","0.12","0.45","0.87","2.22","","0.67"
"157","3711","日月光投控","516","-24","-4.44","05/08","0.12","1.1","0.84","1.52","1.61","2.59","2.42","5.89","6.84","5.49","","2.59"
"158","1402","遠東新","26.1","+0.1","+0.38","05/08","1.23","1.13","1.3","1.51","2.28","1.59","4.3","6.2","11.4","11.3","5.41","5.99"
"159","2355","敬鵬","51.8","-0.9","-1.71","05/08","0","0.01","0.05","1.49","0.97","0.43","0.17","0.17","0.21","0.13","0.51","0.17"
"160","3044","健鼎","481","-19","-3.8","05/08","0.52","0.33","0.73","1.45","2.12","3.72","5.94","10.2","10.4","7.98","5.71","6.89"
"161","5434","崇越","423","+4.5","+1.08","05/08","0.88","1.52","1.15","1.39","5.76","2.63","5.07","6.85","6.23","4.95","2.59","4.62"
"162","8070","長華*","48.2","-0.25","-0.52","05/08","0.51","0.57","0.5","1.39","0.94","3.09","4.93","5.78","2.76","3.45","2","5.89"
"163","6239","力成","222","-8.5","-3.69","05/08","2.11","0.89","1.1","1.38","2.22","4.95","6","6.96","7","6.87","4.41","4.38"
"164","2324","仁寶","29.65","+0.2","+0.68","05/08","0.79","0.78","0.65","1.36","5.37","8.72","7.29","8.24","7.53","5.49","3.87","6.7"
"165","3034","聯詠","498","+45","+9.93","05/08","1.28","1.07","1.05","1.3","4.86","5.93","9.22","11.7","15.8","8.99","4.02","10.4"
"166","3008","大立光","2570","-5","-0.19","05/08","0.01","0.5","0.37","1.3","1.78","3.54","3.66","2.9","2.88","3.48","2.17","3.47"
"167","2382","廣達","340.5","-3.5","-1.02","05/08","0.58","0.77","1.04","1.29","3.04","2.9","1.77","2.44","3.33","2.74","2.48","1.96"
"168","3264","欣銓","224","-24.5","-9.86","05/08","0.24","0.26","0.73","1.28","1.89","1.78","2.54","2.09","4.47","5.33","4.02","2.28"
"169","1558","伸興","91.3","0","0","05/08","0.5","0.33","0.35","1.27","0.94","1.29","0.93","0.59","0.43","0.11","0.82","1.02"
"170","5347","世界","167.5","-18","-9.7","05/08","2.36","1.63","1.09","1.26","4.64","7.01","5.36","7.67","9.77","7.6","4.96","6.74"
"171","00953B","群益優選非投等債","9.56","-0.01","-0.1","05/08","0","3.19","1.97","1.25","1.2","0.98","0.56","0.74","1.56","","","0.85"
"172","3563","牧德","802","-14","-1.72","05/08","0","1.28","0.75","1.25","2.9","1.78","0.95","1.23","1.27","0.75","1.45","1.21"
"173","5289","宜鼎","1600","+25","+1.59","05/08","0.02","2.5","1.67","1.24","0.92","1.83","2.18","1.77","2.25","3.17","2.44","1.65"
"174","4766","南寶","392","+21","+5.66","05/08","1.35","1.24","1.08","1.24","1.8","3.1","2.97","4.22","5.32","4.61","","3.24"
"175","9924","福興","43.3","-0.1","-0.23","05/08","0.92","0.32","0.29","1.24","1.31","1.53","0.91","0.81","1.16","1.49","2.64","1.05"
"176","6189","豐藝","49","+0.65","+1.34","05/08","1.98","2.8","2.28","1.23","0.85","0.82","0.41","0.23","3.43","1.24","0.94","0.28"
"177","2233","宇隆","292","-3","-1.02","05/08","0","6.64","2.98","1.19","0.73","0.7","0.65","0.38","0.51","0.83","2.35","0.43"
"178","3218","大學光","132.5","-1.5","-1.12","05/08","1.24","2.33","2.15","1.15","0.36","0.24","0.12","0.06","0.05","1.77","0.79","0.09"
"179","6754","匯僑設計","45.95","+0.4","+0.88","05/08","0.59","0.27","0.25","1.15","1.55","1.28","0.63","0.67","0.44","0.04","","0.67"
"180","3265","台星科","179","-6","-3.24","05/08","8.22","3.89","2.43","1.14","0.86","0.35","1.33","0.64","0.65","0.49","0.39","0.82"
"181","4123","晟德","37.95","-0.15","-0.39","05/08","0","0","0","1.12","0.71","0.27","0.1","0.11","0.2","0.08","0.05","0.13"
"182","6285","啟碁","247.5","-8.5","-3.32","05/08","1.5","0.78","0.95","1.12","1.42","1.6","1.25","1","2.07","3.22","3.18","0.98"
"183","2031","新光鋼","39.65","-0.1","-0.25","05/08","2.35","3.78","1.66","1.11","0.7","0.47","0.19","0.1","0.82","2.47","1.53","0.13"
"184","2356","英業達","49.55","-0.4","-0.8","05/08","0.43","0.32","0.38","1.07","1.74","5.8","3.37","3.04","5.5","2.45","2.52","2.6"
