排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
272,3010,華立,113.0,-4.5,-3.83,07/17,-182,-180,-220,-170,-407,-3127,-1012.0,-271.0,-339.0,-788.0
273,6168,宏齊,24.75,-2.0,-7.48,07/17,201,-537,-352,-169,-256,-2998,-1677.0,-167.0,2257.0,-535.0
274,6605,帝寶,129.0,-2.0,-1.53,07/17,20,-155,-138,-166,511,1353,2769.0,3623.0,4313.0,2265.0
275,6830,汎銓,358.5,-37.0,-9.36,07/17,1,-139,-159,-165,-344,-302,-61.0,63.0,-234.0,-567.0
276,8240,華宏,42.75,-3.55,-7.67,07/17,0,17,-98,-165,-117,-30,-15.0,88.0,0.0,588.0
277,6469,大樹,77.8,-0.7,-0.89,07/17,-54,-105,-147,-162,-204,-505,-426.0,1055.0,0.0,1209.0
278,3501,維熹,39.95,-0.7,-1.72,07/17,22,-220,-181,-159,-114,-360,-43.0,-121.0,353.0,-236.0
279,3138,耀登,100.5,-8.5,-7.8,07/17,-71,-187,-212,-158,-277,-457,134.0,260.0,557.0,277.0
280,6279,胡連,115.5,-4.0,-3.35,07/17,-35,-164,-190,-158,-503,-502,1447.0,-176.0,0.0,204.0
281,009803,玉山市值動能50,20.0,-1.3,-6.1,07/17,86,-14,-12,-157,-173,-94,232.0,-360.0,-738.0,-360.0
282,5465,富驊,21.9,-1.7,-7.2,07/17,18,22,0,-157,-281,-540,-833.0,-587.0,0.0,-452.0
283,1434,福懋,19.2,-0.25,-1.29,07/17,254,384,560,-156,910,-3576,-636.0,1006.0,-10294.0,-1600.0
284,2228,劍麟,78.3,-2.4,-2.97,07/17,35,18,4,-155,-186,-384,-424.0,-1034.0,2431.0,-923.0
285,6112,邁達特,41.55,-0.7,-1.66,07/17,-159,-187,-206,-155,-287,268,1536.0,1329.0,-1196.0,859.0
286,6525,捷敏-KY,172.5,-19.0,-9.92,07/17,69,-88,-48,-155,6,459,1466.0,1429.0,1459.0,1449.0
287,9924,福興,40.25,-0.45,-1.11,07/17,-63,-159,-154,-153,-110,-162,181.0,510.0,-177.0,547.0
288,1529,樂事綠能,20.25,-0.3,-1.46,07/17,-54,-54,-101,-151,-442,-782,-308.0,497.0,-995.0,941.0
289,2611,志信,14.0,-0.25,-1.75,07/17,10,-204,-204,-148,-11,-375,282.0,-467.0,-77.0,-438.0
290,3709,鑫聯大投控,74.0,-4.0,-5.13,07/17,-157,-167,-176,-145,-75,164,52.0,350.0,546.0,-580.0
291,8040,九暘,75.4,-7.1,-8.61,07/17,10,74,-11,-145,-158,731,1334.0,1383.0,0.0,1382.0
292,00663L,國泰臺灣加權正2,92.25,-14.5,-13.6,07/17,50,-158,-158,-144,-81,688,3275.0,5488.0,7200.0,5381.0
293,1459,聯發,11.7,0.0,0.0,07/17,0,0,-134,-143,-147,-130,-254.0,-114.0,0.0,-114.0
294,4540,全球傳動,51.6,-4.9,-8.67,07/17,-130,-245,-243,-141,98,424,3001.0,235.0,1285.0,1382.0
295,8222,寶一,37.25,-2.95,-7.34,07/17,-60,-61,-37,-141,-267,-198,-709.0,-2209.0,-56.0,-2454.0
296,2912,統一超,243.0,-2.5,-1.02,07/17,13,342,79,-139,-1663,1869,24882.0,14110.0,20994.0,15246.0
297,3551,世禾,192.5,-20.5,-9.62,07/17,-144,-184,-186,-139,-52,-543,198.0,-274.0,616.0,666.0
298,6873,泓德能源,81.4,-5.4,-6.22,07/17,31,-96,-152,-139,-127,-107,-9.0,-1313.0,2104.0,-1417.0
299,3540,曜越,21.35,-0.2,-0.93,07/17,-105,-117,-134,-133,-121,-31,346.0,1203.0,190.0,1187.0
300,2617,台航,28.45,-0.55,-1.9,07/17,0,-212,-191,-132,-128,-830,-662.0,-1044.0,-3235.0,-928.0
